"","Tm","R/G","Outs","RC","RC/G","AIR","BAbip","BA","lgBA","OBP","lgOBP","SLG","lgSLG","OPS","lgOPS","OPS+","OWn%","BtRuns","BtWins","TotA","SecA","ISO","PwrSpd","Year"
"159","Colorado Rockies","4.57","4344","786","4.8","118",".307",".267",".282",".333",".354",".411",".449",".744",".804","85",".499","-135.1","-13.3",".690",".242",".144","90.7",2005
"160","Detroit Tigers","4.46","4342","767","4.7","102",".304",".272",".265",".321",".327",".428",".420",".750",".746","100",".482","-1.0","-0.2",".683",".232",".157","94.8",2005
"161","Florida Marlins","4.43","4317","786","4.9","103",".304",".272",".261",".339",".331",".409",".416",".748",".747","101",".502","20.0","1.7",".700",".241",".137","109.7",2005
"162","Houston Astros","4.25","4346","746","4.6","109",".288",".256",".270",".322",".340",".408",".430",".730",".770","90",".475","-89.8","-8.9",".686",".253",".152","134.2",2005
"163","Kansas City Royals","4.33","4326","702","4.3","104",".298",".263",".267",".320",".330",".396",".423",".716",".753","91",".444","-72.8","-7.1",".643",".214",".134","74.6",2005
"164","Los Angeles Angels of Anaheim","4.70","4368","751","4.6","103",".294",".270",".266",".325",".328",".409",".422",".734",".750","96",".47","-33.0","-3.3",".685",".236",".139","153.7",2005
"165","Los Angeles Dodgers","4.23","4323","726","4.5","106",".290",".253",".266",".326",".336",".395",".424",".721",".760","90",".465","-75.3","-7.5",".665",".246",".142","83.5",2005
"166","Milwaukee Brewers","4.48","4310","787","4.9","108",".298",".259",".269",".331",".339",".423",".428",".754",".767","97",".504","-27.8","-2.8",".710",".269",".163","108.9",2005
"167","Minnesota Twins","4.25","4406","703","4.3","107",".291",".259",".271",".323",".334",".391",".429",".714",".763","88",".436","-99.3","-9.6",".653",".230",".132","115.8",2005
"168","New York Mets","4.46","4334","776","4.8","105",".290",".258",".265",".322",".335",".416",".422",".738",".757","95",".495","-48.3","-4.9",".704",".266",".158","163.3",2005
"169","New York Yankees","5.47","4295","944","5.9","103",".297",".276",".266",".355",".328",".450",".422",".805",".750","115",".582","130.4","12.1",".787",".297",".174","122.9",2005
"170","Oakland Athletics","4.77","4380","761","4.6","105",".281",".262",".268",".330",".331",".407",".425",".737",".756","96",".475","-32.0","-3.1",".674",".242",".145","51.7",2005
"171","Philadelphia Phillies","4.98","4290","876","5.4","112",".306",".270",".274",".348",".345",".423",".437",".772",".782","98",".555","-17.9","-1.9",".755",".285",".154","136.9",2005
"172","Pittsburgh Pirates","4.20","4393","743","4.5","107",".297",".259",".267",".322",".338",".400",".426",".723",".763","90",".469","-88.6","-8.7",".664",".233",".141","95.7",2005
"173","San Diego Padres","4.22","4372","750","4.6","100",".289",".257",".258",".333",".326",".391",".410",".724",".737","97",".475","-0.1","-0.2",".682",".253",".134","112.4",2005
"174","Seattle Mariners","4.31","4335","702","4.3","101",".289",".256",".262",".317",".324",".391",".416",".709",".740","92",".443","-56.2","-5.5",".650",".230",".136","114.3",2005
"175","San Francisco Giants","4.01","4352","702","4.3","109",".290",".261",".270",".319",".340",".396",".430",".714",".770","86",".447","-120.3","-11.8",".643",".220",".135","91.3",2005
"176","St. Louis Cardinals","4.97","4319","830","5.1","109",".297",".270",".270",".339",".340",".423",".430",".762",".770","98",".527","-18.9","-2.1",".718",".258",".153","111.5",2005
"177","Tampa Bay Devil Rays","4.63","4300","778","4.8","103",".306",".274",".266",".329",".328",".425",".422",".754",".750","101",".493","7.4","0.7",".710",".244",".151","153.9",2005
"178","Texas Rangers","5.34","4367","894","5.5","110",".290",".267",".275",".329",".339",".468",".436",".798",".775","105",".55","24.0","2.1",".760",".297",".201","106.5",2005
"179","Toronto Blue Jays","4.78","4339","762","4.7","107",".296",".265",".271",".331",".334",".407",".429",".738",".763","94",".48","-44.3","-4.3",".685",".236",".142","94.2",2005
"180","Washington Nationals","3.94","4370","692","4.2","104",".293",".252",".263",".322",".332",".386",".418",".708",".750","89",".439","-75.9","-7.5",".642",".224",".134","65.0",2005
"181","Arizona Diamondbacks","4.77","4419","812","4.9","117",".294",".267",".278",".331",".350",".424",".452",".755",".801","89",".484","-106.2","-10.0",".706",".255",".157","103.1",2006
"182","Atlanta Braves","5.24","4361","875","5.4","113",".304",".270",".272",".337",".343",".455",".442",".791",".785","101",".524","2.4","0.0",".748",".282",".184","84.3",2006
"183","Baltimore Orioles","4.74","4312","813","5.0","110",".302",".277",".274",".339",".339",".424",".436",".763",".775","97",".483","-21.4","-2.1",".719",".247",".146","139.3",2006
"184","Boston Red Sox","5.06","4346","897","5.5","115",".298",".269",".281",".351",".347",".435",".447",".786",".794","98",".524","-7.3","-1.0",".758",".291",".166","80.6",2006
"185","Chicago Cubs","4.42","4396","761","4.6","116",".294",".268",".276",".319",".347",".422",".448",".741",".795","86",".457","-136.6","-13.0",".682",".238",".154","140.0",2006
"186","Chicago White Sox","5.36","4338","914","5.6","114",".305",".280",".280",".342",".345",".464",".445",".806",".791","103",".534","19.0","1.5",".774",".280",".184","133.4",2006
"187","Cincinnati Reds","4.62","4355","837","5.2","116",".290",".257",".277",".336",".348",".432",".450",".768",".798","93",".505","-68.9","-6.6",".749",".303",".175","157.8",2006
"188","Cleveland Indians","5.37","4266","915","5.7","110",".324",".280",".274",".349",".339",".457",".436",".806",".775","108",".542","69.8","6.2",".771",".281",".177","85.9",2006
"189","Colorado Rockies","5.02","4391","864","5.3","121",".310",".270",".283",".341",".355",".433",".459",".774",".814","90",".515","-92.2","-9.0",".737",".270",".163","110.3",2006
"190","Detroit Tigers","5.07","4335","824","5.1","111",".310",".274",".275",".329",".340",".449",".438",".777",".778","99",".487","-19.8","-1.9",".721",".254",".174","92.6",2006
"191","Florida Marlins","4.68","4333","821","5.1","108",".309",".264",".266",".331",".336",".435",".432",".766",".768","99",".498","-4.4","-0.6",".729",".270",".171","137.1",2006
"192","Houston Astros","4.54","4418","800","4.9","113",".286",".255",".272",".332",".343",".409",".442",".741",".785","89",".477","-90.2","-8.8",".701",".268",".154","108.7",2006
"193","Kansas City Royals","4.67","4338","773","4.7","112",".311",".271",".277",".332",".341",".411",".440",".743",".781","91",".457","-76.3","-7.2",".684",".230",".140","85.3",2006
"194","Los Angeles Angels of Anaheim","4.73","4337","810","5.0","111",".301",".274",".275",".334",".340",".425",".438",".759",".778","95",".479","-40.6","-3.9",".719",".253",".150","153.3",2006
"195","Los Angeles Dodgers","5.06","4379","877","5.4","114",".307",".276",".273",".348",".344",".432",".444",".781",".788","99",".523","-11.3","-1.2",".754",".278",".157","139.4",2006
"196","Milwaukee Brewers","4.51","4314","770","4.8","114",".300",".258",".273",".327",".344",".420",".444",".747",".788","89",".471","-89.9","-8.6",".699",".261",".162","101.8",2006
"197","Minnesota Twins","4.94","4285","827","5.1","109",".316",".287",".273",".347",".337",".425",".434",".771",".771","101",".494","10.6","0.8",".719",".236",".138","118.4",2006
"198","New York Mets","5.15","4362","877","5.4","111",".293",".264",".270",".334",".340",".445",".438",".780",".778","100",".525","-2.3","-0.5",".762",".299",".181","168.8",2006
"199","New York Yankees","5.74","4300","981","6.1","112",".315",".285",".277",".363",".341",".461",".440",".824",".781","111",".57","104.9","9.5",".822",".310",".177","167.3",2006
"200","Oakland Athletics","4.76","4342","786","4.8","108",".285",".260",".272",".340",".336",".412",".432",".752",".768","97",".464","-15.0","-1.5",".710",".277",".152","90.5",2006
"201","Philadelphia Phillies","5.34","4410","950","5.8","117",".302",".267",".278",".347",".350",".447",".452",".794",".801","98",".556","-21.6","-2.4",".779",".302",".180","129.0",2006
"202","Pittsburgh Pirates","4.27","4383","743","4.5","111",".310",".263",".270",".327",".340",".397",".438",".723",".779","86",".447","-110.2","-10.5",".660",".224",".134","91.8",2006
"203","San Diego Padres","4.51","4375","806","4.9","105",".299",".263",".261",".332",".330",".416",".424",".749",".754","99",".485","6.3","0.4",".714",".271",".154","139.5",2006
"204","Seattle Mariners","4.67","4360","788","4.8","108",".300",".272",".272",".325",".336",".424",".432",".749",".768","95",".464","-49.5","-4.7",".695",".236",".153","131.2",2006
"205","San Francisco Giants","4.63","4332","760","4.7","113",".282",".259",".272",".324",".343",".422",".442",".746",".785","90",".463","-91.6","-8.8",".691",".259",".163","85.6",2006
"206","St. Louis Cardinals","4.85","4310","834","5.2","112",".292",".269",".271",".337",".342",".431",".440",".769",".782","97",".508","-28.5","-3.0",".722",".264",".163","89.4",2006
"207","Tampa Bay Devil Rays","4.25","4310","743","4.6","110",".285",".255",".274",".314",".339",".420",".436",".733",".775","89",".442","-100.9","-9.5",".690",".261",".165","157.2",2006
"208","Texas Rangers","5.15","4328","855","5.3","112",".311",".278",".277",".338",".341",".446",".440",".784",".781","101",".504","3.6","0.2",".733",".263",".168","82.2",2006
"209","Toronto Blue Jays","4.99","4272","892","5.6","111",".306",".284",".275",".348",".340",".463",".438",".811",".778","108",".53","70.4","6.4",".769",".276",".179","98.0",2006
"210","Washington Nationals","4.60","4363","820","5.0","107",".301",".262",".265",".338",".335",".418",".430",".756",".765","98",".494","2.2","-0.1",".727",".275",".156","140.6",2006
"211","Arizona Diamondbacks","4.40","4306","754","4.7","117",".282",".250",".281",".321",".351",".413",".449",".734",".800","83",".465","-151.2","-14.4",".698",".277",".163","133.1",2007
"212","Atlanta Braves","5.00","4396","870","5.3","109",".314",".275",".270",".339",".339",".435",".432",".774",".771","101",".521","5.9","0.3",".726",".260",".160","93.9",2007
"213","Baltimore Orioles","4.67","4368","787","4.8","108",".302",".272",".272",".333",".340",".412",".426",".746",".765","95",".478","-44.4","-4.3",".703",".248",".141","143.0",2007
"214","Boston Red Sox","5.35","4282","940","5.9","112",".315",".279",".278",".362",".346",".444",".435",".806",".781","107",".568","63.1","5.7",".793",".301",".165","121.6",2007
"215","Chicago Cubs","4.64","4358","819","5.1","115",".308",".271",".279",".333",".349",".422",".445",".754",".794","90",".498","-93.7","-9.1",".703",".248",".150","109.6",2007
"216","Chicago White Sox","4.28","4359","704","4.3","110",".278",".246",".276",".318",".344",".404",".431",".722",".775","86",".428","-125.3","-12.0",".668",".262",".158","110.6",2007
"217","Cincinnati Reds","4.83","4401","851","5.2","115",".298",".267",".278",".335",".347",".436",".444",".772",".791","95",".511","-52.8","-5.2",".735",".277",".170","131.5",2007
"218","Cleveland Indians","5.01","4346","848","5.2","108",".310",".268",".272",".343",".340",".428",".425",".771",".765","102",".514","16.3","1.4",".738",".270",".159","102.5",2007
"219","Colorado Rockies","5.28","4398","931","5.7","117",".322",".280",".281",".354",".351",".437",".449",".791",".800","98",".552","-19.0","-2.1",".765",".279",".158","126.2",2007
"220","Detroit Tigers","5.48","4339","929","5.7","109",".323",".287",".273",".345",".341",".458",".427",".802",".769","108",".556","59.7","5.3",".767",".266",".171","130.2",2007
"221","Florida Marlins","4.88","4378","890","5.5","108",".315",".267",".269",".336",".338",".448",".430",".784",".768","104",".533","29.0","2.4",".758",".286",".181","137.9",2007
"222","Houston Astros","4.46","4440","786","4.8","111",".291",".260",".273",".330",".342",".412",".436",".742",".778","91",".47","-80.7","-7.8",".689",".256",".152","93.6",2007
"223","Kansas City Royals","4.36","4370","687","4.2","107",".305",".261",".271",".322",".339",".388",".424",".710",".762","87",".416","-111.0","-10.5",".640",".210",".126","88.4",2007
"224","Los Angeles Angels of Anaheim","5.07","4274","811","5.1","108",".315",".284",".272",".345",".340",".417",".426",".762",".765","99",".501","0.9","-0.1",".719",".239",".133","130.5",2007
"225","Los Angeles Dodgers","4.54","4349","803","5.0","112",".303",".275",".274",".337",".344",".406",".438",".743",".781","91",".49","-80.1","-7.7",".700",".237",".131","132.9",2007
"226","Milwaukee Brewers","4.94","4350","866","5.4","111",".289",".262",".273",".329",".342",".456",".436",".785",".778","101",".524","-5.3","-0.8",".755",".296",".194","135.6",2007
"227","Minnesota Twins","4.43","4320","725","4.5","103",".291",".264",".265",".330",".332",".391",".414",".721",".746","94",".445","-41.6","-4.1",".668",".234",".127","114.9",2007
"228","New York Mets","4.96","4357","878","5.4","109",".303",".275",".270",".342",".339",".432",".432",".775",".771","101",".529","11.0","0.8",".764",".282",".157","187.8",2007
"229","New York Yankees","5.98","4334","1003","6.2","108",".318",".290",".272",".366",".340",".463",".426",".829",".765","116",".591","145.9","13.4",".823",".300",".174","152.6",2007
"230","Oakland Athletics","4.57","4383","796","4.8","102",".290",".256",".264",".338",".330",".407",".412",".745",".743","101",".481","27.4","2.4",".704",".275",".151","79.7",2007
"231","Philadelphia Phillies","5.51","4391","981","6.0","115",".311",".274",".278",".354",".347",".458",".444",".812",".791","105",".576","43.0","3.8",".813",".318",".184","167.5",2007
"232","Pittsburgh Pirates","4.47","4377","766","4.7","108",".303",".263",".269",".325",".338",".411",".430",".736",".768","92",".465","-68.5","-6.6",".678",".239",".149","93.2",2007
"233","San Diego Padres","4.55","4449","775","4.7","102",".291",".251",".260",".322",".328",".411",".416",".732",".744","97",".463","-11.4","-1.2",".683",".265",".160","83.2",2007
"234","Seattle Mariners","4.90","4312","807","5.0","103",".313",".287",".266",".337",".333",".425",".416",".762",".749","103",".495","24.3","2.2",".695",".216",".138","105.9",2007
"235","San Francisco Giants","4.22","4409","714","4.4","112",".281",".254",".274",".322",".344",".387",".438",".708",".781","82",".43","-156.9","-15.0",".657",".244",".133","124.7",2007
"236","St. Louis Cardinals","4.48","4325","770","4.8","110",".303",".274",".272",".337",".341",".405",".434",".743",".775","92",".473","-59.2","-5.8",".680",".227",".132","80.2",2007
"237","Tampa Bay Devil Rays","4.83","4346","847","5.2","105",".318",".268",".269",".336",".336",".433",".420",".769",".756","103",".514","25.9","2.2",".740",".277",".165","154.1",2007
"238","Texas Rangers","5.04","4348","795","4.9","108",".305",".263",".272",".328",".340",".426",".425",".754",".765","97",".484","-36.1","-3.5",".709",".265",".163","118.0",2007
"239","Toronto Blue Jays","4.65","4332","777","4.8","107",".290",".259",".271",".327",".339",".419",".424",".746",".762","95",".476","-37.5","-3.7",".696",".263",".160","84.7",2007
"240","Washington Nationals","4.15","4375","722","4.4","106",".300",".256",".265",".325",".334",".390",".424",".715",".758","89",".438","-77.9","-7.5",".656",".237",".134","88.4",2007
"241","Arizona Diamondbacks","4.44","4293","766","4.8","114",".299",".251",".275",".327",".348",".415",".439",".742",".788","88",".489","-103.6","-10.0",".703",".279",".164","85.0",2008
"242","Atlanta Braves","4.65","4363","825","5.1","106",".309",".270",".265",".345",".336",".408",".423",".753",".759","99",".516","1.5","-0.2",".705",".254",".138","80.2",2008
"243","Baltimore Orioles","4.86","4296","822","5.1","106",".296",".267",".269",".333",".337",".429",".423",".762",".760","100",".514","-1.7","-0.4",".720",".265",".162","110.1",2008
"244","Boston Red Sox","5.22","4303","927","5.8","111",".315",".280",".276",".358",".345",".447",".434",".805",".779","107",".568","62.6","5.7",".793",".298",".168","141.7",2008
"245","Chicago Cubs","5.31","4314","907","5.6","114",".321",".278",".275",".354",".348",".443",".439",".797",".788","103",".564","22.1","2.0",".773",".288",".165","118.1",2008
"246","Chicago White Sox","4.98","4361","820","5.0","109",".281",".263",".273",".332",".341",".448",".428",".780",".770","102",".506","4.5","0.3",".736",".288",".185","104.3",2008
"247","Cincinnati Reds","4.35","4375","754","4.6","110",".278",".247",".270",".321",".342",".408",".430",".729",".772","89",".473","-100.8","-9.9",".686",".270",".161","116.9",2008
"248","Cleveland Indians","4.97","4332","824","5.1","104",".305",".262",".266",".339",".333",".424",".417",".763",".751","103",".512","34.0","3.1",".729",".271",".162","106.2",2008
"249","Colorado Rockies","4.61","4379","827","5.1","115",".308",".263",".278",".336",".351",".415",".443",".751",".794","89",".515","-96.1","-9.5",".724",".274",".152","149.9",2008
"250","Detroit Tigers","5.07","4361","859","5.3","107",".301",".271",".270",".340",".339",".444",".425",".784",".763","105",".528","33.8","3.1",".742",".280",".173","95.8",2008
"251","Florida Marlins","4.78","4323","821","5.1","109",".300",".254",".269",".326",".341",".433",".428",".759",".769","97",".518","-32.9","-3.4",".725",".286",".179","111.3",2008
"252","Houston Astros","4.42","4285","753","4.7","105",".296",".263",".264",".323",".335",".415",".421",".737",".756","95",".482","-45.1","-4.6",".687",".246",".152","135.5",2008
"253","Kansas City Royals","4.27","4351","704","4.3","104",".307",".269",".266",".320",".333",".397",".417",".717",".751","91",".438","-76.6","-7.4",".641",".205",".128","95.3",2008
"254","Los Angeles Angels of Anaheim","4.72","4324","761","4.7","107",".299",".268",".270",".330",".339",".413",".425",".743",".763","95",".476","-50.8","-5.0",".695",".246",".145","142.4",2008
"255","Los Angeles Dodgers","4.32","4349","762","4.7","106",".301",".264",".265",".333",".336",".399",".423",".732",".759","93",".481","-52.5","-5.3",".684",".248",".134","131.3",2008
"256","Milwaukee Brewers","4.63","4369","813","5.0","106",".287",".253",".265",".325",".336",".431",".423",".757",".759","99",".508","-13.3","-1.5",".729",".291",".179","139.8",2008
"257","Minnesota Twins","5.09","4377","796","4.9","102",".316",".279",".263",".340",".331",".408",".413",".748",".744","102",".491","23.0","2.1",".698",".234",".129","106.3",2008
"258","New York Mets","4.93","4402","847","5.2","106",".296",".266",".265",".340",".336",".420",".423",".761",".759","101",".524","8.6","0.6",".737",".283",".154","153.1",2008
"259","New York Yankees","4.87","4318","832","5.2","108",".302",".271",".272",".342",".340",".427",".426",".769",".767","101",".518","1.4","-0.1",".733",".266",".156","142.6",2008
"260","Oakland Athletics","4.01","4345","662","4.1","100",".289",".242",".261",".318",".328",".369",".410",".686",".738","87",".411","-91.6","-8.8",".635",".244",".127","103.3",2008
"261","Philadelphia Phillies","4.93","4346","856","5.3","110",".283",".255",".270",".332",".342",".438",".430",".770",".772","99",".534","-16.9","-1.8",".756",".309",".182","166.3",2008
"262","Pittsburgh Pirates","4.54","4421","769","4.7","104",".290",".258",".262",".320",".334",".403",".419",".723",".752","92",".478","-62.3","-6.2",".664",".236",".145","83.1",2008
"263","San Diego Padres","3.93","4429","707","4.3","96",".294",".250",".251",".317",".321",".390",".401",".707",".722","96",".439","-9.5","-1.1",".642",".237",".140","58.4",2008
"264","Seattle Mariners","4.14","4392","700","4.3","102",".294",".265",".263",".318",".331",".389",".413",".707",".744","90",".431","-79.7","-7.7",".635",".208",".124","104.3",2008
"265","San Francisco Giants","3.95","4377","695","4.3","110",".305",".262",".270",".321",".342",".382",".430",".703",".772","83",".436","-146.1","-14.2",".638",".213",".120","100.5",2008
"266","St. Louis Cardinals","4.81","4348","889","5.5","106",".312",".281",".265",".350",".336",".433",".423",".783",".759","107",".551","57.4","5.1",".740",".262",".152","102.9",2008
"267","Tampa Bay Rays","4.78","4334","829","5.1","106",".302",".260",".269",".340",".337",".422",".423",".762",".760","101",".514","6.9","0.6",".746",".292",".162","158.8",2008
"268","Texas Rangers","5.56","4342","967","6.0","106",".325",".283",".269",".354",".337",".462",".423",".816",".760","114",".583","121.2","11.3",".797",".293",".179","114.3",2008
"269","Toronto Blue Jays","4.41","4331","736","4.5","103",".295",".264",".265",".331",".332",".399",".415",".731",".747","96",".46","-25.3","-2.5",".676",".240",".135","97.9",2008
"270","Washington Nationals","3.98","4411","683","4.2","106",".292",".251",".265",".323",".336",".373",".423",".696",".759","84",".425","-124.4","-12.1",".633",".227",".122","95.7",2008
"271","Arizona Diamondbacks","4.44","4385","789","4.8","111",".299",".253",".272",".324",".345",".418",".431",".742",".777","91",".501","-88.8","-8.8",".707",".278",".165","128.3",2009
"272","Atlanta Braves","4.54","4390","791","4.8","106",".300",".263",".265",".339",".338",".405",".420",".744",".758","97",".502","-19.2","-2.1",".696",".257",".142","83.5",2009
"273","Baltimore Orioles","4.57","4337","783","4.8","109",".300",".268",".268",".332",".338",".415",".431",".747",".769","95",".477","-44.9","-4.3",".693",".246",".147","103.1",2009
"274","Boston Red Sox","5.38","4294","918","5.7","112",".301",".270",".273",".352",".343",".454",".438",".806",".781","106",".554","55.6","5.0",".798",".319",".184","158.1",2009
"275","Chicago Cubs","4.39","4363","768","4.7","113",".296",".255",".274",".332",".348",".407",".435",".738",".783","89",".491","-98.7","-9.8",".691",".264",".152","83.1",2009
"276","Chicago White Sox","4.47","4314","751","4.6","112",".285",".258",".273",".329",".343",".411",".438",".740",".781","90",".461","-91.0","-8.7",".697",".263",".153","140.0",2009
"277","Cincinnati Reds","4.15","4397","720","4.4","107",".282",".247",".266",".318",".339",".394",".422",".712",".761","87",".458","-108.4","-10.7",".666",".255",".147","119.4",2009
"278","Cleveland Indians","4.77","4360","810","5.0","103",".308",".264",".261",".339",".329",".417",".419",".756",".749","102",".49","34.0","3.1",".718",".267",".153","110.4",2009
"279","Colorado Rockies","4.96","4292","857","5.3","117",".305",".261",".279",".343",".354",".441",".444",".784",".798","96",".549","-39.2","-4.0",".768",".311",".180","136.1",2009
"280","Detroit Tigers","4.56","4353","784","4.8","109",".294",".260",".268",".331",".338",".416",".431",".747",".769","95",".476","-50.1","-4.9",".699",".260",".156","103.3",2009
"281","Florida Marlins","4.77","4333","830","5.1","108",".316",".268",".268",".340",".342",".416",".426",".756",".767","97",".53","-24.2","-2.6",".715",".257",".148","101.9",2009
"282","Houston Astros","3.97","4329","711","4.4","105",".293",".260",".263",".319",".336",".400",".418",".719",".755","91",".46","-80.1","-7.9",".659",".235",".140","125.9",2009
"283","Kansas City Royals","4.23","4334","719","4.4","105",".298",".259",".264",".318",".332",".405",".423",".724",".756","92",".439","-73.2","-7.0",".663",".240",".146","109.2",2009
"284","Los Angeles Angels of Anaheim","5.45","4304","880","5.5","107",".322",".285",".266",".350",".335",".441",".427",".792",".762","108",".534","68.4","6.3",".765",".269",".156","159.5",2009
"285","Los Angeles Dodgers","4.81","4392","825","5.0","102",".309",".270",".260",".346",".332",".412",".413",".758",".745","104",".521","43.6","4.0",".723",".262",".141","128.9",2009
"286","Milwaukee Brewers","4.85","4333","845","5.2","105",".305",".263",".263",".341",".336",".426",".418",".767",".754","103",".538","30.2","2.6",".732",".280",".164","99.0",2009
"287","Minnesota Twins","5.01","4356","851","5.2","106",".306",".274",".265",".345",".334",".429",".425",".774",".759","104",".513","39.8","3.5",".735",".268",".155","113.8",2009
"288","New York Mets","4.14","4312","747","4.6","104",".307",".270",".262",".335",".335",".394",".416",".729",".751","95",".484","-34.4","-3.5",".680",".235",".124","106.8",2009
"289","New York Yankees","5.65","4298","1003","6.2","112",".306",".283",".273",".362",".343",".478",".438",".839",".781","114",".593","123.7","11.4",".835",".326",".194","152.6",2009
"290","Oakland Athletics","4.69","4383","747","4.5","106",".298",".262",".265",".328",".334",".397",".425",".726",".759","92",".451","-59.3","-5.7",".681",".245",".135","134.0",2009
"291","Philadelphia Phillies","5.06","4357","890","5.5","108",".286",".258",".267",".334",".340",".447",".424",".781",".764","104",".559","22.3","1.9",".769",".311",".189","155.4",2009
"292","Pittsburgh Pirates","3.95","4305","694","4.3","105",".296",".252",".263",".318",".336",".387",".418",".705",".754","87",".451","-103.0","-10.2",".649",".238",".135","104.7",2009
"293","San Diego Padres","3.94","4380","697","4.3","98",".284",".242",".254",".321",".325",".381",".403",".701",".728","93",".445","-33.8","-3.5",".653",".256",".138","103.7",2009
"294","Seattle Mariners","3.95","4370","709","4.3","102",".293",".258",".260",".314",".328",".402",".417",".716",".745","92",".429","-62.8","-6.0",".653",".230",".144","114.4",2009
"295","San Francisco Giants","4.06","4347","686","4.2","108",".302",".257",".268",".309",".342",".389",".426",".699",".767","82",".442","-157.8","-15.5",".629",".213",".132","95.2",2009
"296","St. Louis Cardinals","4.51","4298","789","4.9","105",".296",".263",".263",".332",".336",".415",".418",".747",".755","98",".511","-15.7","-1.8",".700",".257",".152","102.1",2009
"297","Tampa Bay Rays","4.96","4263","867","5.4","106",".303",".263",".265",".343",".334",".439",".425",".782",".759","106",".532","55.1","5.0",".783",".319",".177","196.5",2009
"298","Texas Rangers","4.84","4314","812","5.0","111",".296",".260",".272",".320",".342",".445",".436",".764",".778","95",".496","-51.0","-4.9",".738",".291",".185","179.0",2009
"299","Toronto Blue Jays","4.93","4406","852","5.2","108",".290",".266",".267",".333",".336",".440",".429",".773",".765","102",".509","13.0","1.0",".733",".279",".174","108.2",2009
"300","Washington Nationals","4.38","4356","783","4.8","106",".302",".258",".265",".337",".338",".406",".420",".743",".758","96",".501","-27.0","-2.9",".700",".267",".148","99.5",2009
"301","Arizona Diamondbacks","4.40","4343","766","4.7","106",".312",".250",".268",".325",".339",".416",".422",".740",".760","94",".513","-49.3","-5.0",".701",".282",".166","116.4",2010
"302","Atlanta Braves","4.56","4321","765","4.7","101",".301",".258",".260",".339",".329",".401",".409",".740",".738","101",".515","18.8","1.7",".697",".265",".143","86.7",2010
"303","Baltimore Orioles","3.78","4378","677","4.1","99",".296",".259",".259",".316",".327",".386",".406",".702",".733","92",".444","-67.7","-6.8",".627",".211",".127","96.7",2010
"304","Boston Red Sox","5.05","4357","888","5.4","105",".299",".268",".267",".339",".336",".451",".418",".790",".754","109",".569","68.6","6.4",".759",".296",".183","102.9",2010
"305","Chicago Cubs","4.23","4351","725","4.5","106",".304",".257",".267",".320",".337",".401",".420",".721",".757","90",".487","-83.6","-8.4",".658",".236",".145","80.3",2010
"306","Chicago White Sox","4.64","4327","762","4.7","102",".292",".268",".264",".332",".332",".420",".413",".752",".745","102",".503","5.7","0.4",".710",".253",".152","168.1",2010
"307","Cincinnati Reds","4.88","4336","858","5.3","104",".314",".272",".264",".338",".335",".436",".416",".774",".751","106",".565","43.5","4.1",".738",".267",".164","124.4",2010
"308","Cleveland Indians","3.99","4345","698","4.3","95",".293",".248",".253",".322",".320",".378",".397",".700",".717","96",".461","-19.0","-2.1",".649",".240",".130","106.4",2010
"309","Colorado Rockies","4.75","4326","828","5.1","114",".310",".263",".279",".336",".351",".425",".439",".760",".790","92",".55","-70.5","-7.2",".729",".278",".162","125.9",2010
"310","Detroit Tigers","4.64","4358","810","5.0","102",".311",".268",".263",".335",".331",".415",".411",".750",".742","102",".527","17.4","1.5",".701",".250",".147","94.9",2010
"311","Florida Marlins","4.44","4355","753","4.6","105",".309",".254",".265",".321",".336",".403",".418",".724",".754","92",".504","-70.5","-7.2",".678",".254",".149","114.6",2010
"312","Houston Astros","3.77","4374","616","3.8","100",".285",".247",".258",".303",".328",".362",".407",".665",".735","81",".411","-148.3","-14.8",".591",".203",".115","103.8",2010
"313","Kansas City Royals","4.17","4370","739","4.5","99",".305",".274",".259",".331",".327",".399",".406",".730",".733","100",".484","-1.9","-0.3",".669",".221",".126","117.9",2010
"314","Los Angeles Angels of Anaheim","4.20","4381","676","4.1","96",".281",".248",".256",".311",".323",".390",".400",".702",".723","94",".443","-46.4","-4.7",".642",".236",".142","124.5",2010
"315","Los Angeles Dodgers","4.12","4366","694","4.2","99",".299",".252",".257",".322",".327",".379",".405",".700",".732","92",".466","-53.8","-5.5",".645",".233",".127","104.2",2010
"316","Milwaukee Brewers","4.63","4346","830","5.1","102",".304",".262",".262",".335",".332",".424",".413",".759",".745","103",".549","26.0","2.4",".721",".269",".161","112.1",2010
"317","Minnesota Twins","4.82","4325","814","5.0","98",".306",".273",".258",".341",".325",".422",".404",".762",".730","109",".533","76.6","7.2",".712",".256",".148","92.0",2010
"318","New York Mets","4.05","4380","692","4.2","100",".287",".249",".258",".314",".328",".383",".407",".697",".735","90",".463","-76.4","-7.7",".652",".241",".134","129.0",2010
"319","New York Yankees","5.30","4313","883","5.5","105",".300",".267",".267",".350",".336",".436",".418",".786",".754","108",".571","69.0","6.6",".771",".301",".169","136.2",2010
"320","Oakland Athletics","4.09","4313","694","4.3","99",".297",".256",".259",".324",".327",".378",".406",".702",".733","92",".462","-52.3","-5.2",".661",".240",".122","128.3",2010
"321","Philadelphia Phillies","4.77","4358","811","5.0","104",".292",".260",".264",".332",".335",".413",".416",".745",".751","98",".538","-13.8","-1.7",".711",".269",".153","130.9",2010
