"","Tm","R/G","Outs","RC","RC/G","AIR","BAbip","BA","lgBA","OBP","lgOBP","SLG","lgSLG","OPS","lgOPS","OPS+","OWn%","BtRuns","BtWins","TotA","SecA","ISO","PwrSpd","Year"
"37","Chicago White Sox","4.93","4302","832","5.2","110",".290",".268",".272",".334",".339",".451",".437",".785",".776","102",".51","7.0","0.6",".754",".290",".183","156.2",2001
"38","Cincinnati Reds","4.54","4409","776","4.7","116",".301",".262",".274",".324",".346",".419",".449",".744",".796","87",".47","-121.6","-11.7",".692",".250",".157","130.0",2001
"39","Cleveland Indians","5.54","4319","930","5.8","107",".308",".278",".267",".350",".334",".458",".429",".807",".763","111",".559","96.4","8.8",".781",".289",".179","115.1",2001
"40","Colorado Rockies","5.70","4328","1017","6.3","130",".322",".292",".293",".354",".367",".483",".480",".837",".847","97",".601","-37.1","-3.9",".822",".294",".191","163.0",2001
"41","Detroit Tigers","4.47","4369","737","4.5","101",".291",".260",".259",".320",".325",".409",".416",".730",".740","97",".448","-14.6","-1.5",".682",".247",".150","135.9",2001
"42","Florida Marlins","4.58","4344","796","4.9","108",".303",".264",".264",".326",".334",".423",".432",".749",".766","95",".488","-34.0","-3.4",".701",".253",".159","115.9",2001
"43","Houston Astros","5.23","4332","907","5.6","117",".304",".271",".275",".347",".348",".451",".451",".798",".799","100",".549","-3.2","-0.6",".768",".288",".180","97.9",2001
"44","Kansas City Royals","4.50","4399","745","4.5","112",".291",".266",".274",".318",".342",".409",".440",".727",".782","86",".45","-131.9","-12.6",".663",".225",".143","120.6",2001
"45","Los Angeles Dodgers","4.68","4352","791","4.9","104",".279",".255",".259",".323",".329",".425",".424",".748",".753","99",".485","-5.4","-0.8",".705",".273",".170","124.3",2001
"46","Milwaukee Brewers","4.57","4348","766","4.7","109",".299",".251",".265",".319",".336",".426",".434",".745",".770","93",".47","-62.9","-6.1",".698",".269",".175","100.3",2001
"47","Minnesota Twins","4.76","4300","817","5.1","108",".310",".272",".269",".337",".336",".433",".431",".770",".766","101",".502","5.9","0.4",".735",".264",".161","154.5",2001
"48","Montreal Expos","4.14","4329","690","4.3","112",".291",".253",".270",".319",".341",".396",".442",".715",".783","83",".425","-139.2","-13.3",".656",".241",".143","114.1",2001
"49","New York Mets","3.96","4357","709","4.3","107",".283",".249",".262",".323",".333",".387",".430",".710",".763","87",".434","-97.3","-9.4",".653",".241",".137","91.1",2001
"50","New York Yankees","4.99","4334","833","5.1","108",".293",".267",".269",".334",".335",".435",".431",".769",".766","100",".507","0.4","-0.1",".744",".281",".168","179.6",2001
"51","Oakland Athletics","5.46","4348","885","5.4","105",".288",".264",".265",".345",".332",".439",".425",".784",".757","107",".534","74.8","6.7",".760",".297",".175","101.4",2001
"52","Philadelphia Phillies","4.60","4345","794","4.9","109",".297",".260",".265",".329",".336",".414",".434",".743",".770","93",".487","-47.3","-4.7",".717",".273",".154","158.3",2001
"53","Pittsburgh Pirates","4.06","4347","691","4.2","114",".281",".247",".272",".313",".344",".393",".446",".706",".789","79",".424","-181.2","-17.5",".647",".236",".146","117.9",2001
"54","San Diego Padres","4.87","4345","787","4.8","103",".297",".252",".258",".336",".327",".399",".422",".735",".749","97",".483","2.2","-0.1",".711",".287",".147","143.2",2001
"55","Seattle Mariners","5.72","4315","958","5.9","102",".320",".288",".260",".360",".326",".445",".418",".805",".744","117",".573","163.6","15.1",".805",".289",".157","171.5",2001
"56","San Francisco Giants","4.93","4390","944","5.7","105",".290",".266",".260",".342",".330",".460",".426",".802",".756","112",".561","106.5","9.4",".776",".308",".194","91.7",2001
"57","St. Louis Cardinals","5.02","4274","862","5.4","111",".302",".270",".269",".339",".340",".441",".440",".780",".780","100",".532","-3.0","-0.6",".746",".279",".172","124.9",2001
"58","Tampa Bay Devil Rays","4.15","4350","692","4.3","104",".303",".258",".264",".320",".330",".388",".423",".707",".753","88",".422","-89.7","-8.6",".646",".224",".130","117.9",2001
"59","Texas Rangers","5.49","4362","949","5.8","110",".300",".275",".272",".344",".339",".471",".436",".815",".776","109",".564","73.0","6.6",".793",".303",".195","139.1",2001
"60","Toronto Blue Jays","4.73","4417","810","4.9","109",".293",".263",".270",".325",".337",".430",".433",".755",".770","96",".486","-44.3","-4.3",".722",".268",".167","173.3",2001
"61","Anaheim Angels","5.25","4344","860","5.3","105",".303",".282",".264",".341",".332",".433",".425",".773",".757","105",".531","40.2","3.7",".735",".243",".150","132.2",2002
"62","Arizona Diamondbacks","5.06","4328","844","5.2","116",".298",".267",".278",".346",".354",".423",".443",".769",".797","93",".539","-59.9","-6.0",".740",".281",".156","118.1",2002
"63","Atlanta Braves","4.40","4369","774","4.7","109",".290",".260",".268",".331",".342",".409",".427",".741",".769","93",".495","-62.2","-6.3",".691",".258",".150","103.9",2002
"64","Baltimore Orioles","4.12","4403","686","4.2","101",".271",".246",".258",".309",".325",".403",".416",".712",".741","92",".422","-60.3","-5.8",".658",".250",".157","132.0",2002
"65","Boston Red Sox","5.30","4322","886","5.5","108",".302",".277",".268",".345",".336",".444",".431",".789",".766","106",".547","51.3","4.7",".754",".273",".168","110.2",2002
"66","Chicago Cubs","4.36","4400","770","4.7","105",".283",".246",".264",".321",".337",".413",".419",".734",".756","94",".489","-56.1","-5.7",".691",".281",".167","95.8",2002
"67","Chicago White Sox","5.28","4270","856","5.4","106",".287",".268",".265",".338",".333",".449",".427",".787",".760","107",".537","50.5","4.6",".756",".290",".181","111.5",2002
"68","Cincinnati Reds","4.38","4390","768","4.7","111",".293",".253",".270",".330",".345",".408",".430",".738",".775","91",".489","-80.9","-8.0",".704",".273",".155","137.6",2002
"69","Cleveland Indians","4.56","4338","741","4.6","103",".271",".249",".261",".321",".328",".412",".420",".733",".747","96",".464","-30.2","-3.2",".677",".266",".163","81.8",2002
"70","Colorado Rockies","4.80","4289","807","5.0","120",".311",".274",".283",".337",".359",".423",".450",".760",".809","88",".522","-113.9","-11.3",".712",".248",".149","122.8",2002
"71","Detroit Tigers","3.57","4322","613","3.8","98",".283",".248",".255",".300",".321",".379",".410",".679",".731","86",".381","-100.4","-9.7",".600",".203",".132","85.3",2002
"72","Florida Marlins","4.31","4373","781","4.8","105",".301",".261",".262",".337",".336",".403",".417",".740",".753","97",".498","-16.8","-1.8",".715",".269",".142","160.0",2002
"73","Houston Astros","4.62","4334","812","5.0","112",".300",".262",".273",".338",".348",".417",".434",".755",".782","93",".52","-61.5","-6.2",".712",".271",".156","99.6",2002
"74","Kansas City Royals","4.55","4386","746","4.5","114",".282",".256",".276",".323",".344",".398",".443",".721",".788","84",".462","-143.8","-14.0",".680",".251",".143","140.0",2002
