"","Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%","Year","EV","HardH%"
"132","Baltimore Orioles",".349","105",".309",".150","2.6%","14.8%","8.2%","19.0%","42.6%","28.5%","0.77","33.9%","47.3%","18.8%","-4.1","-1.4%","35.5","32%","71%","41%",2004,NA,NA
"133","Boston Red Sox",".368","111",".319",".190","3.4%","18.3%","10.1%","18.2%","40.8%","31.4%","0.70","32.4%","51.0%","16.6%","8.6","8.5%","127.1","33%","69%","34%",2004,NA,NA
"134","Chicago Cubs",".348","99",".292",".190","3.7%","17.2%","7.8%","17.9%","41.9%","29.3%","0.76","29.1%","52.8%","18.1%","-1.3","-6.6%","25.5","31%","70%","41%",2004,NA,NA
"135","Chicago White Sox",".350","102",".288",".189","3.9%","16.6%","8.1%","18.1%","40.3%","28.2%","0.71","27.2%","54.1%","18.7%","6.1","1.1%","64.3","34%","60%","45%",2004,NA,NA
"136","Cincinnati Reds",".335","95",".295",".168","3.1%","21.3%","9.5%","20.7%","43.9%","26.1%","0.82","26.4%","55.0%","18.6%","5.8","5.1%","10.0","29%","75%","38%",2004,NA,NA
"137","Cleveland Indians",".354","113",".305",".168","2.9%","15.6%","9.4%","17.2%","43.7%","29.2%","0.80","28.4%","53.8%","17.7%","4.1","1.2%","65.7","32%","63%","43%",2004,NA,NA
"138","Colorado Rockies",".353","94",".314",".180","3.2%","18.7%","9.0%","18.8%","43.3%","26.8%","0.82","25.6%","54.4%","19.9%","2.0","0.5%","40.1","32%","57%","51%",2004,NA,NA
"139","Detroit Tigers",".346","108",".308",".177","3.2%","18.2%","8.2%","19.1%","41.7%","28.6%","0.75","30.4%","52.2%","17.4%","-2.2","-1.3%","40.7","33%","63%","44%",2004,NA,NA
"140","Florida Marlins",".331","95",".295",".143","2.4%","15.7%","8.1%","17.9%","44.0%","26.2%","0.84","25.8%","53.4%","20.8%","0.7","0.3%","-13.4","30%","69%","42%",2004,NA,NA
"141","Houston Astros",".348","100",".293",".170","3.0%","15.9%","9.4%","18.0%","41.4%","29.0%","0.75","27.3%","53.4%","19.4%","4.8","3.3%","55.8","32%","75%","39%",2004,NA,NA
"142","Kansas City Royals",".324","86",".293",".139","2.4%","17.2%","7.5%","18.3%","44.9%","26.6%","0.84","28.0%","53.8%","18.2%","-10.4","-0.2%","-84.4","31%","58%","41%",2004,NA,NA
"143","Los Angeles Dodgers",".339","100",".291",".161","3.3%","17.5%","8.6%","18.1%","44.6%","26.3%","0.85","26.7%","53.9%","19.4%","4.8","4.3%","23.5","30%","71%","42%",2004,NA,NA
"144","Milwaukee Brewers",".321","81",".300",".139","2.2%","21.2%","8.7%","21.1%","44.6%","24.6%","0.85","26.9%","53.4%","19.7%","-13.2","-4.1%","-119.1","27%","78%","36%",2004,NA,NA
"145","Minnesota Twins",".339","93",".290",".166","3.0%","15.6%","8.2%","15.5%","45.7%","29.4%","0.87","29.4%","52.7%","17.9%","-3.1","-2.8%","-41.8","31%","72%","42%",2004,NA,NA
"146","Montreal Expos",".316","74",".273",".143","2.5%","15.1%","8.1%","18.0%","44.7%","25.5%","0.86","27.9%","53.2%","18.9%","-14.1","-3.8%","-140.0","28%","74%","41%",2004,NA,NA
"147","New York Mets",".326","86",".282",".160","3.0%","18.7%","8.3%","16.8%","42.4%","29.8%","0.77","26.3%","53.7%","20.0%","-11.5","-4.0%","-70.5","28%","82%","36%",2004,NA,NA
"148","New York Yankees",".363","115",".285",".189","3.8%","15.4%","10.5%","17.6%","45.0%","28.6%","0.84","29.3%","54.5%","16.3%","13.4","6.0%","107.3","32%","72%","40%",2004,NA,NA
"149","Oakland Athletics",".347","103",".300",".163","2.9%","16.4%","9.4%","20.3%","41.1%","28.1%","0.71","29.5%","52.3%","18.1%","0.6","-2.0%","-16.4","30%","68%","37%",2004,NA,NA
"150","Philadelphia Phillies",".352","99",".297",".176","3.3%","17.6%","10.0%","20.0%","41.7%","28.1%","0.75","28.2%","52.7%","19.2%","5.1","-0.6%","60.4","31%","79%","40%",2004,NA,NA
"151","Pittsburgh Pirates",".323","85",".298",".141","2.3%","17.4%","6.8%","17.0%","48.1%","25.3%","0.98","27.2%","54.0%","18.8%","-7.0","-1.5%","-66.4","30%","61%","37%",2004,NA,NA
"152","San Diego Padres",".338","106",".301",".141","2.2%","14.4%","9.0%","19.0%","43.3%","28.3%","0.79","26.6%","53.2%","20.1%","4.3","1.9%","52.1","31%","68%","41%",2004,NA,NA
"153","Seattle Mariners",".328","91",".308",".127","2.1%","16.6%","7.7%","17.4%","46.8%","26.1%","0.91","24.5%","55.7%","19.8%","-15.4","-3.4%","-111.4","28%","72%","37%",2004,NA,NA
"154","San Francisco Giants",".349","104",".290",".168","2.8%","13.5%","10.9%","19.6%","43.1%","25.7%","0.80","28.6%","54.8%","16.6%","12.3","13.2%","96.5","31%","65%","37%",2004,NA,NA
"155","St. Louis Cardinals",".355","108",".307",".182","3.4%","17.2%","8.7%","20.1%","42.2%","27.9%","0.77","26.3%","53.4%","20.3%","11.3","5.2%","118.5","33%","70%","45%",2004,NA,NA
"156","Tampa Bay Devil Rays",".326","90",".286",".147","2.4%","15.5%","7.7%","17.5%","44.1%","28.2%","0.81","29.1%","53.5%","17.3%","-6.5","-2.9%","-68.8","31%","76%","38%",2004,NA,NA
"157","Texas Rangers",".346","94",".291",".191","3.6%","17.6%","8.0%","20.7%","38.5%","31.1%","0.64","28.3%","52.3%","19.4%","2.9","0.7%","36.4","34%","66%","44%",2004,NA,NA
"158","Toronto Blue Jays",".332","87",".298",".143","2.4%","17.5%","8.3%","18.7%","45.8%","26.8%","0.86","26.7%","53.0%","20.3%","-11.5","-2.3%","-92.8","30%","65%","39%",2004,NA,NA
"159","League Average",".341","97",".297",".162","2.9%","16.9%","8.6%","18.5%","43.4%","27.7%","0.80","27.9%","53.2%","18.8%","-1","1%","2","31%","70%","40%",2004,NA,NA
"160","",".341","97",".297",".162","2.9%","16.9%","8.6%","18.5%","43.4%","27.7%","0.80","27.9%","53.2%","18.8%","-21.7","19.4%","63.8","31%","70%","40%",2004,NA,NA
"161","Arizona Diamondbacks",".337","92",".285",".165","3.0%","17.3%","9.6%","17.1%","44.6%","27.9%","0.85","30.3%","52.2%","17.5%","-4.6","-2.5%","-51.9","26%","72%","38%",2005,NA,NA
"162","Atlanta Braves",".344","98",".298",".170","3.0%","17.5%","8.6%","17.0%","43.5%","29.5%","0.82","26.9%","52.4%","20.7%","7.2","5.6%","40.9","31%","74%","41%",2005,NA,NA
"163","Baltimore Orioles",".338","102",".289",".165","3.1%","14.7%","7.3%","19.3%","42.3%","27.5%","0.76","34.2%","45.7%","20.1%","-2.9","0.1%","-23.1","29%","69%","39%",2005,NA,NA
"164","Boston Red Sox",".362","114",".310",".174","3.1%","16.3%","10.2%","18.4%","41.6%","31.6%","0.72","29.7%","51.7%","18.5%","16.6","16.6%","154.3","33%","79%","31%",2005,NA,NA
"165","Chicago Cubs",".340","94",".291",".170","3.2%","14.9%","6.8%","17.8%","43.5%","26.9%","0.82","29.4%","51.3%","19.3%","-3.9","-1.3%","-38.9","28%","63%","40%",2005,NA,NA
"166","Chicago White Sox",".331","93",".286",".163","3.3%","16.3%","7.1%","16.7%","43.0%","27.5%","0.79","28.9%","51.6%","19.5%","0.5","3.6%","-36.1","30%","67%","45%",2005,NA,NA
"167","Cincinnati Reds",".350","104",".302",".185","3.5%","20.6%","9.7%","20.6%","43.4%","27.1%","0.80","26.9%","55.0%","18.1%","5.5","-0.3%","88.3","31%","76%","40%",2005,NA,NA
"168","Cleveland Indians",".348","113",".302",".181","3.3%","17.5%","8.0%","17.8%","44.3%","28.9%","0.82","29.5%","54.5%","16.0%","1.1","-1.5%","50.0","31%","63%","42%",2005,NA,NA
"169","Colorado Rockies",".339","86",".307",".144","2.4%","17.7%","8.2%","20.1%","43.1%","25.8%","0.80","24.9%","54.1%","20.9%","-5.5","-0.3%","-22.8","31%","67%","43%",2005,NA,NA
"170","Detroit Tigers",".332","99",".304",".157","2.7%","16.9%","6.3%","18.2%","44.0%","27.9%","0.82","27.3%","52.8%","20.0%","-6.3","-1.3%","-25.3","31%","70%","36%",2005,NA,NA
"171","Florida Marlins",".335","100",".304",".137","2.1%","14.8%","8.2%","19.2%","42.8%","25.8%","0.80","26.4%","53.8%","19.8%","-1.1","-2.9%","8.7","30%","72%","36%",2005,NA,NA
"172","Houston Astros",".330","88",".288",".152","2.6%","16.9%","7.8%","15.3%","42.9%","28.7%","0.80","29.2%","52.8%","18.0%","-7.5","-2.2%","-37.1","29%","72%","36%",2005,NA,NA
"173","Kansas City Royals",".320","90",".298",".134","2.1%","16.6%","7.0%","18.2%","44.1%","27.5%","0.82","25.4%","54.7%","19.9%","-7.5","-1.5%","-52.1","31%","62%","42%",2005,NA,NA
"174","Los Angeles Angels of Anaheim",".329","96",".294",".139","2.4%","13.7%","7.2%","16.8%","42.2%","30.5%","0.76","27.4%","53.8%","18.8%","1.3","0.9%","7.9","33%","74%","43%",2005,NA,NA
"175","Los Angeles Dodgers",".326","90",".290",".142","2.4%","17.8%","8.8%","19.1%","43.1%","27.2%","0.79","27.9%","53.7%","18.5%","-4.2","-1.0%","-39.8","29%","62%","35%",2005,NA,NA
"176","Milwaukee Brewers",".338","96",".298",".163","2.8%","18.9%","8.6%","20.1%","42.4%","27.4%","0.77","26.1%","53.5%","20.4%","-1.1","-2.3%","-2.2","30%","70%","41%",2005,NA,NA
"177","Minnesota Twins",".320","86",".291",".132","2.2%","15.8%","7.8%","16.3%","49.1%","25.4%","1.01","24.7%","54.6%","20.7%","-8.1","-5.0%","-81.5","29%","70%","35%",2005,NA,NA
"178","New York Mets",".335","95",".290",".158","2.9%","17.5%","7.9%","16.6%","44.3%","28.3%","0.84","26.4%","55.7%","18.0%","-0.8","-2.3%","8.6","31%","79%","41%",2005,NA,NA
"179","New York Yankees",".361","119",".297",".174","3.6%","15.4%","9.9%","16.5%","46.4%","28.4%","0.89","30.2%","53.5%","16.3%","15.0","16.2%","150.9","31%","76%","41%",2005,NA,NA
"180","Oakland Athletics",".332","97",".281",".145","2.5%","13.1%","8.6%","18.7%","42.8%","29.1%","0.76","28.1%","53.0%","18.9%","-1.3","-4.7%","15.5","32%","58%","44%",2005,NA,NA
"181","Philadelphia Phillies",".348","96",".306",".154","2.6%","17.1%","10.1%","20.9%","40.7%","27.5%","0.72","28.4%","53.7%","17.9%","2.0","0.8%","70.8","31%","81%","37%",2005,NA,NA
"182","Pittsburgh Pirates",".330","91",".297",".141","2.2%","17.6%","7.6%","17.8%","44.9%","28.1%","0.85","28.0%","54.4%","17.5%","-9.1","-3.1%","-50.7","29%","71%","37%",2005,NA,NA
"183","San Diego Padres",".329","99",".289",".134","2.1%","15.6%","9.6%","19.3%","41.3%","27.7%","0.74","29.4%","51.8%","18.8%","-2.2","0.5%","-20.5","28%","69%","37%",2005,NA,NA
"184","Seattle Mariners",".318","92",".289",".136","2.1%","16.2%","7.7%","18.5%","45.0%","26.7%","0.85","24.8%","55.5%","19.7%","-6.7","-1.4%","-37.1","31%","68%","41%",2005,NA,NA
"185","San Francisco Giants",".323","84",".290",".135","2.1%","14.8%","7.1%","18.9%","42.9%","26.7%","0.80","28.6%","54.8%","16.7%","-5.0","-0.2%","-87.2","29%","67%","40%",2005,NA,NA
"186","St. Louis Cardinals",".344","99",".297",".153","2.7%","15.2%","8.6%","19.5%","44.7%","26.0%","0.85","27.6%","52.4%","19.9%","6.6","2.5%","75.2","33%","70%","41%",2005,NA,NA
"187","Tampa Bay Devil Rays",".335","100",".306",".151","2.6%","16.2%","6.7%","18.5%","43.1%","28.5%","0.79","28.5%","52.5%","19.0%","0.8","-0.5%","4.1","32%","76%","44%",2005,NA,NA
"188","Texas Rangers",".352","105",".290",".201","4.1%","17.7%","7.9%","19.5%","39.8%","31.1%","0.67","29.1%","52.6%","18.3%","4.4","1.8%","90.2","33%","82%","41%",2005,NA,NA
"189","Toronto Blue Jays",".331","94",".296",".142","2.2%","15.3%","7.8%","19.3%","44.9%","26.4%","0.83","28.3%","52.5%","19.2%","-5.7","-3.8%","6.0","33%","67%","39%",2005,NA,NA
"190","Washington Nationals",".317","87",".293",".134","1.9%","17.8%","8.0%","18.9%","44.5%","25.6%","0.85","25.5%","55.2%","19.3%","-9.2","-9.9%","-81.9","28%","50%","42%",2005,NA,NA
"191","League Average",".336","97",".295",".154","2.7%","16.5%","8.2%","18.4%","43.5%","27.8%","0.80","28.0%","53.2%","18.9%","-1","0%","3","30%","71%","40%",2005,NA,NA
"192","",".336","97",".295",".154","2.7%","16.5%","8.2%","18.4%","43.5%","27.8%","0.80","28.0%","53.2%","18.9%","-31.6","0.5%","83.1","30%","71%","40%",2005,NA,NA
"193","Arizona Diamondbacks",".337","87",".294",".157","2.5%","15.2%","8.0%","18.1%","43.3%","27.9%","0.79","27.1%","54.7%","18.2%","-8.1","-5.5%","-37.4","32%","72%","41%",2006,NA,NA
"194","Atlanta Braves",".349","101",".304",".184","3.5%","18.6%","8.4%","19.0%","42.3%","29.5%","0.77","26.7%","52.7%","20.7%","3.8","0.0%","73.5","33%","60%","42%",2006,NA,NA
"195","Baltimore Orioles",".344","99",".302",".146","2.6%","14.1%","7.6%","19.3%","44.0%","27.0%","0.82","32.0%","47.0%","21.0%","-2.4","-0.1%","-16.4","30%","79%","37%",2006,NA,NA
"196","Boston Red Sox",".351","99",".298",".166","3.0%","16.4%","10.4%","19.4%","39.8%","30.7%","0.68","32.1%","50.2%","17.6%","4.3","5.0%","10.7","30%","69%","35%",2006,NA,NA
"197","Chicago Cubs",".332","86",".294",".154","2.7%","15.1%","6.4%","17.7%","46.2%","25.4%","0.92","24.6%","56.4%","19.0%","-8.1","-2.2%","-77.9","31%","71%","41%",2006,NA,NA
"198","Chicago White Sox",".356","104",".305",".184","3.7%","16.7%","8.0%","17.7%","41.7%","30.5%","0.74","27.7%","53.6%","18.7%","5.8","2.6%","61.3","32%","66%","34%",2006,NA,NA
"199","Cincinnati Reds",".340","90",".290",".175","3.5%","18.9%","9.8%","19.9%","42.6%","26.9%","0.78","27.7%","54.7%","17.6%","-0.1","-1.8%","-46.5","28%","79%","40%",2006,NA,NA
"200","Cleveland Indians",".355","108",".324",".177","3.1%","19.1%","8.8%","19.7%","41.9%","30.0%","0.74","27.1%","54.0%","19.0%","4.0","1.2%","88.9","34%","71%","38%",2006,NA,NA
"201","Colorado Rockies",".343","88",".310",".163","2.5%","17.5%","8.8%","20.1%","42.2%","27.5%","0.78","25.6%","53.5%","20.8%","-6.3","-8.6%","-2.5","33%","63%","43%",2006,NA,NA
"202","Detroit Tigers",".345","100",".310",".174","3.3%","18.3%","6.9%","18.2%","42.1%","30.6%","0.75","27.4%","52.2%","20.4%","0.6","2.1%","30.6","33%","60%","44%",2006,NA,NA
"203","Florida Marlins",".338","99",".309",".171","2.9%","20.2%","8.0%","17.9%","42.9%","28.2%","0.80","27.8%","52.6%","19.6%","1.3","-0.2%","3.9","31%","65%","41%",2006,NA,NA
"204","Houston Astros",".329","87",".286",".154","2.8%","17.0%","9.3%","16.2%","42.3%","29.3%","0.78","26.8%","53.8%","19.4%","-7.2","-7.7%","-59.3","29%","69%","44%",2006,NA,NA
"205","Kansas City Royals",".331","89",".311",".140","2.0%","16.7%","7.6%","18.6%","47.1%","25.0%","0.93","24.8%","55.0%","20.2%","-2.2","-1.1%","-44.7","32%","66%","42%",2006,NA,NA
"206","Los Angeles Angels of Anaheim",".337","93",".301",".150","2.6%","14.7%","7.8%","17.4%","43.8%","29.9%","0.80","27.9%","54.1%","18.0%","-3.0","-3.0%","-29.0","31%","72%","49%",2006,NA,NA
"207","Los Angeles Dodgers",".348","99",".307",".157","2.4%","15.0%","9.4%","18.4%","43.9%","28.3%","0.82","27.3%","54.1%","18.5%","0.2","2.1%","32.1","32%","72%","39%",2006,NA,NA
"208","Milwaukee Brewers",".332","89",".300",".162","2.9%","20.1%","8.2%","19.7%","42.2%","27.9%","0.76","25.9%","54.9%","19.2%","-1.4","-0.7%","-43.3","30%","66%","43%",2006,NA,NA
"209","Minnesota Twins",".344","101",".316",".138","2.3%","14.0%","7.9%","18.8%","46.8%","25.9%","0.91","24.8%","55.0%","20.3%","2.6","1.6%","21.3","32%","71%","41%",2006,NA,NA
"210","New York Mets",".346","99",".293",".181","3.2%","17.0%","8.7%","17.6%","42.5%","28.8%","0.78","27.1%","54.2%","18.7%","7.7","2.7%","63.3","34%","81%","41%",2006,NA,NA
"211","New York Yankees",".368","113",".315",".177","3.3%","16.3%","10.1%","18.5%","45.4%","27.6%","0.85","27.4%","53.7%","18.9%","12.5","10.0%","140.1","33%","80%","37%",2006,NA,NA
"212","Oakland Athletics",".339","98",".285",".152","2.8%","15.5%","10.4%","19.3%","42.8%","28.3%","0.76","26.7%","54.2%","19.1%","2.7","1.2%","-10.2","30%","75%","35%",2006,NA,NA
"213","Philadelphia Phillies",".353","99",".302",".180","3.3%","18.5%","9.6%","19.2%","42.7%","28.2%","0.77","30.5%","51.8%","17.7%","4.1","2.7%","65.7","31%","79%","43%",2006,NA,NA
"214","Pittsburgh Pirates",".325","86",".310",".134","2.3%","19.3%","7.4%","19.4%","43.7%","26.9%","0.81","26.6%","54.5%","18.9%","-12.7","-1.6%","-84.4","29%","75%","37%",2006,NA,NA
"215","San Diego Padres",".336","100",".299",".154","2.6%","17.6%","9.0%","18.4%","41.5%","30.4%","0.74","27.4%","52.4%","20.2%","-2.1","-1.3%","-23.3","29%","80%","41%",2006,NA,NA
"216","Seattle Mariners",".336","96",".300",".153","2.8%","15.7%","6.5%","18.3%","44.9%","26.9%","0.84","28.5%","53.0%","18.5%","-6.5","-4.9%","-30.3","32%","74%","40%",2006,NA,NA
"217","San Francisco Giants",".330","88",".282",".163","2.7%","14.5%","8.1%","17.2%","42.8%","28.3%","0.78","29.7%","55.9%","14.4%","-2.8","-1.7%","-26.6","31%","70%","35%",2006,NA,NA
"218","St. Louis Cardinals",".339","96",".292",".163","3.0%","14.8%","8.5%","20.0%","44.0%","25.7%","0.82","28.9%","53.3%","17.8%","1.6","3.8%","11.9","31%","65%","43%",2006,NA,NA
"219","Tampa Bay Devil Rays",".325","86",".285",".165","3.2%","18.3%","7.3%","17.4%","43.1%","28.6%","0.79","29.1%","52.8%","18.1%","-11.9","-0.6%","-99.5","29%","72%","40%",2006,NA,NA
"220","Texas Rangers",".348","101",".311",".168","2.9%","16.9%","8.1%","18.9%","42.7%","28.8%","0.76","28.6%","52.3%","19.0%","1.0","2.1%","40.5","33%","69%","38%",2006,NA,NA
"221","Toronto Blue Jays",".356","108",".306",".179","3.2%","14.5%","8.2%","19.9%","42.4%","29.4%","0.75","25.8%","55.9%","18.3%","2.9","2.3%","23.1","31%","66%","39%",2006,NA,NA
"222","Washington Nationals",".334","98",".301",".156","2.6%","18.4%","9.5%","20.1%","42.2%","27.1%","0.77","26.6%","53.3%","20.1%","2.7","-1.0%","-12.7","30%","66%","44%",2006,NA,NA
"223","League Average",".342","96",".301",".163","2.9%","16.8%","8.4%","18.7%","43.2%","28.2%","0.79","27.5%","53.5%","18.9%","-1","-0%","1","31%","71%","40%",2006,NA,NA
"224","",".342","96",".301",".163","2.9%","16.8%","8.4%","18.7%","43.2%","28.2%","0.79","27.5%","53.5%","18.9%","-16.9","-2.8%","22.9","31%","71%","40%",2006,NA,NA
"225","Arizona Diamondbacks",".329","79",".282",".163","2.8%","18.2%","8.7%","18.1%","40.9%","29.1%","0.72","26.8%","57.2%","16.0%","-3.3","-0.4%","-66.4","30%","82%","41%",2007,NA,NA
"226","Atlanta Braves",".345","102",".314",".160","2.8%","18.0%","8.4%","16.6%","43.6%","30.8%","0.80","27.1%","55.7%","17.2%","1.2","-0.1%","55.4","32%","68%","38%",2007,NA,NA
"227","Baltimore Orioles",".338","94",".302",".141","2.3%","15.0%","8.0%","17.7%","43.7%","28.8%","0.80","29.7%","49.6%","20.7%","-5.4","-2.4%","-39.2","31%","77%","36%",2007,NA,NA
"228","Boston Red Sox",".363","107",".315",".165","2.6%","16.2%","10.7%","19.2%","41.7%","30.3%","0.74","28.6%","55.5%","16.0%","0.3","1.6%","65.9","32%","80%","34%",2007,NA,NA
"229","Chicago Cubs",".339","91",".308",".150","2.4%","16.8%","8.0%","19.7%","44.5%","26.9%","0.83","25.1%","57.1%","17.8%","-3.6","-1.3%","-23.6","31%","72%","40%",2007,NA,NA
"230","Chicago White Sox",".326","84",".278",".158","3.1%","18.8%","8.7%","18.1%","43.3%","27.6%","0.80","27.5%","56.3%","16.3%","-9.2","-2.5%","-109.3","29%","63%","40%",2007,NA,NA
"231","Cincinnati Reds",".344","93",".298",".170","3.2%","17.6%","8.5%","19.5%","41.0%","27.9%","0.73","24.7%","59.3%","16.1%","-1.9","-2.1%","4.3","30%","76%","39%",2007,NA,NA
"232","Cleveland Indians",".345","101",".310",".159","2.8%","18.9%","9.3%","18.7%","41.5%","31.5%","0.73","27.3%","56.1%","16.6%","1.9","-0.5%","16.7","31%","64%","41%",2007,NA,NA
"233","Colorado Rockies",".353","98",".322",".158","2.6%","17.7%","9.6%","22.1%","42.0%","26.1%","0.77","22.9%","59.5%","17.6%","7.6","9.2%","66.0","32%","76%","45%",2007,NA,NA
"234","Detroit Tigers",".358","108",".323",".171","2.8%","16.6%","7.5%","20.3%","42.0%","28.5%","0.74","28.7%","55.4%","15.9%","4.6","3.0%","89.9","35%","77%","40%",2007,NA,NA
"235","Florida Marlins",".348","104",".315",".181","3.2%","21.0%","8.2%","19.9%","39.7%","28.7%","0.69","27.7%","55.6%","16.7%","2.8","0.3%","39.8","30%","76%","34%",2007,NA,NA
"236","Houston Astros",".331","90",".291",".152","2.6%","16.5%","8.7%","17.6%","43.0%","27.6%","0.79","24.2%","59.0%","16.9%","-8.1","-3.6%","-54.0","29%","66%","35%",2007,NA,NA
"237","Kansas City Royals",".322","86",".305",".126","1.7%","17.4%","7.0%","18.8%","46.9%","25.6%","0.92","23.0%","58.2%","18.8%","-11.8","-2.0%","-88.7","32%","64%","44%",2007,NA,NA
"238","Los Angeles Angels of Anaheim",".343","99",".315",".133","2.0%","14.3%","8.2%","17.3%","46.7%","26.7%","0.91","26.3%","57.8%","15.9%","4.3","3.9%","38.9","35%","72%","45%",2007,NA,NA
"239","Los Angeles Dodgers",".332","89",".303",".131","2.1%","13.8%","8.1%","18.3%","45.4%","26.2%","0.88","23.5%","59.8%","16.6%","-5.0","-5.2%","-31.4","30%","73%","41%",2007,NA,NA
"240","Milwaukee Brewers",".346","100",".289",".194","3.7%","18.2%","8.0%","18.6%","41.1%","29.5%","0.73","27.3%","55.6%","17.2%","1.7","0.0%","40.4","32%","75%","39%",2007,NA,NA
"241","Minnesota Twins",".329","94",".291",".127","1.9%","13.6%","8.3%","15.4%","49.5%","26.6%","1.02","23.7%","58.7%","17.6%","-8.3","-5.1%","-51.0","31%","79%","44%",2007,NA,NA
"242","New York Mets",".348","101",".303",".157","2.8%","15.5%","8.7%","19.2%","43.7%","26.0%","0.83","26.4%","57.1%","16.5%","5.0","5.2%","52.6","32%","81%","41%",2007,NA,NA
"243","New York Yankees",".373","120",".318",".174","3.1%","15.2%","9.8%","20.3%","45.5%","26.6%","0.86","25.9%","57.9%","16.1%","11.3","8.2%","175.0","35%","75%","43%",2007,NA,NA
"244","Oakland Athletics",".338","103",".290",".151","2.7%","17.6%","10.4%","20.6%","40.9%","28.4%","0.70","26.2%","57.6%","16.2%","-5.8","-4.8%","-30.5","29%","72%","39%",2007,NA,NA
"245","Philadelphia Phillies",".364","106",".311",".184","3.3%","18.4%","9.8%","19.0%","40.5%","30.2%","0.71","28.2%","54.5%","17.3%","10.3","10.6%","121.0","32%","88%","39%",2007,NA,NA
"246","Pittsburgh Pirates",".328","90",".303",".149","2.4%","18.3%","7.5%","19.3%","41.7%","28.8%","0.75","26.0%","56.8%","17.2%","-7.8","-4.0%","-33.5","31%","69%","39%",2007,NA,NA
"247","San Diego Padres",".325","97",".291",".160","2.7%","19.4%","8.8%","19.9%","39.5%","31.2%","0.68","27.3%","57.3%","15.4%","-3.0","1.6%","1.1","31%","70%","43%",2007,NA,NA
"248","Seattle Mariners",".345","105",".313",".138","2.5%","13.9%","6.3%","18.9%","47.3%","25.2%","0.92","26.4%","57.4%","16.2%","5.3","2.2%","29.8","32%","73%","38%",2007,NA,NA
"249","San Francisco Giants",".318","78",".281",".133","2.1%","14.6%","8.6%","17.3%","44.3%","27.2%","0.84","26.1%","58.2%","15.7%","-11.1","-3.4%","-90.5","29%","78%","40%",2007,NA,NA
"250","St. Louis Cardinals",".334","93",".303",".132","2.3%","14.6%","8.2%","19.7%","43.3%","27.1%","0.80","26.7%","54.9%","18.5%","-2.2","-1.6%","-29.5","30%","63%","40%",2007,NA,NA
"251","Tampa Bay Devil Rays",".346","103",".318",".165","3.0%","21.1%","8.7%","20.4%","42.5%","28.4%","0.75","29.6%","53.0%","17.5%","-1.5","0.7%","-3.5","31%","73%","41%",2007,NA,NA
"252","Texas Rangers",".341","97",".305",".163","2.9%","19.7%","8.1%","21.4%","40.6%","27.9%","0.72","26.1%","55.5%","18.4%","0.4","-1.2%","28.8","34%","78%","46%",2007,NA,NA
"253","Toronto Blue Jays",".335","94",".290",".160","2.7%","16.9%","8.6%","21.0%","40.3%","28.7%","0.69","25.4%","59.3%","15.3%","-4.2","-2.1%","-37.3","31%","72%","35%",2007,NA,NA
"254","Washington Nationals",".322","88",".300",".134","2.0%","18.2%","8.5%","20.0%","45.3%","24.8%","0.87","24.2%","58.2%","17.5%","-7.2","-2.7%","-68.3","29%","75%","39%",2007,NA,NA
"255","League Average",".341","97",".303",".155","2.6%","17.1%","8.5%","19.1%","43.1%","27.9%","0.79","26.3%","56.8%","16.9%","-1","0%","2","31%","74%","40%",2007,NA,NA
"256","",".341","97",".303",".155","2.6%","17.1%","8.5%","19.1%","43.1%","27.9%","0.79","26.3%","56.8%","16.9%","-42.6","1.3%","69.2","31%","74%","40%",2007,NA,NA
"257","Arizona Diamondbacks",".331","84",".299",".164","2.6%","20.9%","9.5%","19.1%","38.9%","31.0%","0.66","26.2%","56.3%","17.4%","-2.3","-4.0%","-32.3","30%","72%","40%",2008,NA,NA
"258","Atlanta Braves",".341","101",".309",".138","2.0%","16.1%","9.7%","18.0%","43.5%","28.8%","0.81","25.1%","57.0%","17.8%","-3.4","-2.8%","25.1","30%","68%","39%",2008,NA,NA
"259","Baltimore Orioles",".342","100",".296",".162","2.8%","15.9%","8.6%","18.6%","42.4%","29.4%","0.75","25.9%","57.2%","16.9%","-0.8","-0.5%","16.5","32%","69%","40%",2008,NA,NA
"260","Boston Red Sox",".361","107",".315",".168","2.7%","16.7%","10.1%","18.8%","40.8%","31.2%","0.71","29.7%","54.8%","15.5%","4.4","4.6%","60.7","31%","77%","34%",2008,NA,NA
"261","Chicago Cubs",".356","102",".321",".165","2.9%","18.6%","10.0%","19.1%","42.0%","30.4%","0.76","24.4%","57.1%","18.5%","8.2","5.2%","107.6","32%","72%","37%",2008,NA,NA
"262","Chicago White Sox",".347","101",".281",".185","3.8%","16.3%","8.7%","18.0%","39.9%","30.9%","0.68","29.3%","55.5%","15.2%","-2.2","-4.5%","26.5","31%","66%","36%",2008,NA,NA
"263","Cincinnati Reds",".327","86",".278",".161","3.0%","18.2%","9.1%","19.0%","43.1%","26.2%","0.81","27.0%","57.5%","15.5%","-1.8","-0.3%","-37.2","29%","64%","36%",2008,NA,NA
