"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"150","Toronto Blue Jays","1421.0","592","161","823","5.21","5.17","0.29","0.00","103.6","5.05","-38","-2.9","1.08","-0.9","11.0","138",".495",".500","$21,438,000",2004,NA
"151","Arizona Diamondbacks","1456.1","620","162","856","5.29","4.51","-0.08","0.00","104.1","4.77","-84","-7.5","1.13","-1.6","3.5","42",".488",".498","$24,912,500",2005,NA
"152","Atlanta Braves","1443.2","646","162","674","4.20","4.64","0.37","0.00","99.8","4.27","10","1.7","1.21","-1.7","12.5","134",".503",".501","$44,491,000",2005,NA
"153","Baltimore Orioles","1427.2","636","162","800","5.04","4.97","0.17","-0.02","99.2","4.74","-59","-5.3","1.12","-1.1","8.5","107",".492",".499","$23,890,000",2005,NA
"154","Boston Red Sox","1429.0","604","162","805","5.07","4.89","-0.13","0.02","104.1","5.25","17","2.5",".96","-0.2","17.2","184",".504",".502","$48,866,000",2005,NA
"155","Chicago Cubs","1440.0","619","162","714","4.46","4.65","0.02","0.01","104.0","4.82","57","6.6","1.20","-1.3","17.8","181",".511",".503","$43,187,933",2005,NA
"156","Chicago White Sox","1475.2","574","162","645","3.93","4.74","0.26","0.03","102.9","4.64","104","11.0","1.44","-0.2","26.1","276",".519",".506","$37,780,000",2005,NA
"157","Cincinnati Reds","1433.0","654","163","889","5.58","4.56","-0.27","-0.02","101.5","4.89","-110","-10.1",".96","-0.9","1.5","13",".485",".498","$24,254,583",2005,NA
"158","Cleveland Indians","1452.2","571","162","642","3.98","4.66","0.32","0.01","95.8","4.17","19","2.3","1.21","-1.0","16.5","189",".504",".502","$26,630,000",2005,NA
"159","Colorado Rockies","1418.2","621","162","862","5.47","4.51","-0.10","-0.01","112.3","5.16","-49","-4.1","1.11","-0.7","7.5","73",".493",".500","$16,953,000",2005,NA
"160","Detroit Tigers","1435.2","587","162","787","4.93","4.70","0.17","0.00","97.5","4.42","-93","-8.6","1.11","-1.0","5.4","74",".485",".498","$19,342,500",2005,NA
"161","Florida Marlins","1442.1","611","162","732","4.57","4.59","-0.44","0.00","94.2","4.74","27","4.2","1.12","-0.4","16.3","151",".507",".503","$22,013,500",2005,NA
"162","Houston Astros","1443.0","597","163","609","3.80","4.63","0.31","0.02","100.2","4.35","88","10.9","1.08","-0.5","22.8","212",".518",".505","$36,046,000",2005,NA
"163","Kansas City Royals","1413.1","605","162","935","5.95","4.73","-0.73","-0.04","101.4","5.51","-81","-7.5","1.10","-1.2","6.1","84",".488",".499","$9,647,000",2005,NA
"164","Los Angeles Angels of Anaheim","1464.1","540","162","643","3.95","4.84","0.27","0.01","97.3","4.45","70","7.5","1.27","-0.2","22.6","240",".514",".503","$31,993,322",2005,NA
"165","Los Angeles Dodgers","1427.1","620","162","755","4.76","4.47","0.03","0.00","98.1","4.35","-66","-6.5","1.10","-1.7","4.2","57",".490",".498","$40,438,500",2005,NA
"166","Milwaukee Brewers","1438.0","557","162","697","4.36","4.60","-0.05","0.01","101.3","4.71","56","6.3","1.28","-1.0","17.7","180",".511",".503","$12,017,000",2005,NA
"167","Minnesota Twins","1464.1","558","162","662","4.07","4.77","0.20","0.01","101.5","4.65","84","9.2","1.27","-0.7","23.8","254",".517",".505","$29,579,500",2005,NA
"168","New York Mets","1435.2","554","162","648","4.06","4.64","-0.15","0.02","96.4","4.64","91","10.5","1.13","-0.4","22.4","215",".519",".504","$45,206,441",2005,NA
"169","New York Yankees","1430.2","580","162","789","4.96","4.85","-0.68","0.00","97.1","5.37","54","7.2","1.10","0.1","22.2","221",".512",".505","$96,630,953",2005,NA
"170","Oakland Athletics","1450.1","572","162","658","4.08","4.83","0.24","0.01","99.8","4.58","69","7.6","1.04","-0.7","22.1","238",".513",".504","$15,552,000",2005,NA
"171","Philadelphia Phillies","1435.0","604","162","726","4.55","4.59","0.56","-0.01","103.0","4.14","-66","-5.9","1.08","-0.9","5.6","58",".490",".499","$35,185,333",2005,NA
"172","Pittsburgh Pirates","1436.0","613","162","769","4.82","4.65","0.09","-0.02","99.4","4.51","-49","-4.1","1.08","-1.5","6.8","74",".493",".498","$16,225,000",2005,NA
"173","San Diego Padres","1455.1","618","162","726","4.49","4.44","-0.23","-0.02","92.4","4.30","-31","-2.0","1.18","-0.8","9.8","95",".497",".501","$23,710,000",2005,NA
"174","Seattle Mariners","1427.2","595","162","751","4.73","4.86","-0.02","0.00","95.7","4.67","-21","-1.6","1.26","-1.3","12.0","146",".497",".500","$32,181,000",2005,NA
"175","San Francisco Giants","1444.1","673","162","745","4.64","4.55","-0.17","-0.01","101.5","4.77","21","2.7","1.36","-1.2","14.1","145",".504",".501","$29,774,500",2005,NA
"176","St. Louis Cardinals","1445.2","598","162","634","3.95","4.59","0.39","0.02","100.8","4.26","50","5.6","1.20","-0.7","17.4","174",".509",".503","$30,370,000",2005,NA
"177","Tampa Bay Devil Rays","1421.2","563","162","936","5.93","4.99","-0.03","-0.02","99.7","4.99","-159","-14.4","1.29","-1.5","-1.1","7",".474",".496","$11,544,500",2005,NA
"178","Texas Rangers","1440.0","616","162","858","5.36","4.79","-0.28","-0.03","104.2","5.25","-28","-1.8","1.13","-1.3","12.0","139",".497",".501","$29,436,500",2005,NA
"179","Toronto Blue Jays","1447.0","594","162","705","4.38","4.91","0.39","-0.01","102.1","4.60","24","3.6","1.20","-1.5","17.3","193",".506",".502","$25,125,500",2005,NA
"180","Washington Nationals","1458.0","632","162","673","4.15","4.68","-0.01","-0.01","96.0","4.50","56","6.9","1.27","0.0","19.5","182",".511",".505","$20,440,500",2005,NA
"181","Arizona Diamondbacks","1459.2","623","162","788","4.86","4.86","0.01","0.00","105.1","5.11","47","5.6","1.07","-1.3","16.9","174",".509",".503","$26,858,000",2006,NA
"182","Atlanta Braves","1441.1","684","162","805","5.03","4.93","-0.06","0.00","98.2","4.89","-15","-0.5","1.04","-1.3","10.6","111",".499",".501","$32,236,000",2006,NA
"183","Baltimore Orioles","1419.0","634","162","899","5.70","5.08","-0.04","-0.01","98.9","5.05","-114","-9.6","1.00","-0.4","4.9","59",".485",".498","$24,874,333",2006,NA
"184","Boston Red Sox","1441.1","616","162","825","5.15","5.09","-0.17","-0.01","103.5","5.43","33","4.1","1.22","-0.2","19.0","209",".507",".503","$53,719,994",2006,NA
"185","Chicago Cubs","1439.0","704","162","834","5.22","4.82","-0.07","-0.02","102.9","5.00","-28","-1.8","1.02","-0.9","9.8","98",".497",".501","$48,938,666",2006,NA
"186","Chicago White Sox","1449.0","560","162","794","4.93","5.01","-0.21","0.03","103.9","5.46","73","7.5","1.24","-0.8","21.8","250",".513",".503","$51,604,000",2006,NA
"187","Cincinnati Reds","1445.2","638","162","801","4.99","4.80","-0.28","0.01","103.8","5.28","54","6.2","1.14","-0.3","18.3","180",".510",".504","$22,418,333",2006,NA
"188","Cleveland Indians","1423.1","539","162","782","4.94","4.96","-0.17","0.02","98.5","5.07","9","1.4",".99","-1.4","14.8","182",".503",".500","$32,989,700",2006,NA
"189","Colorado Rockies","1447.1","661","162","812","5.05","4.89","0.11","0.01","108.6","5.20","30","4.0","1.18","-0.7","15.8","157",".506",".503","$17,869,000",2006,NA
"190","Detroit Tigers","1448.0","552","162","675","4.20","5.01","0.25","0.01","99.0","4.72","73","7.4","1.17","-1.0","21.5","249",".513",".504","$23,514,456",2006,NA
"191","Florida Marlins","1433.1","600","162","772","4.85","4.96","-0.16","0.01","95.6","4.90","15","2.5","1.13","-0.7","14.1","140",".504",".501","$9,416,500",2006,NA
"192","Houston Astros","1468.2","659","162","719","4.41","4.79","0.28","0.00","99.5","4.49","20","3.0","1.16","-1.2","14.4","149",".505",".501","$48,747,916",2006,NA
"193","Kansas City Royals","1426.1","635","162","971","6.13","5.09","0.19","-0.03","103.0","5.01","-188","-16.4","1.24","-2.0","-3.5","-14",".474",".496","$15,379,500",2006,NA
"194","Los Angeles Angels of Anaheim","1452.2","542","162","732","4.54","5.05","0.02","0.01","98.8","4.99","61","6.9","1.14","0.0","22.1","238",".513",".504","$45,640,000",2006,NA
"195","Los Angeles Dodgers","1460.1","616","162","751","4.63","4.79","-0.15","-0.01","100.1","4.93","55","6.0","1.13","-0.6","18.0","183",".510",".504","$43,328,500",2006,NA
"196","Milwaukee Brewers","1425.2","589","162","833","5.26","4.78","0.06","0.01","101.3","4.78","-69","-5.9","1.29","-1.1","5.3","56",".490",".498","$23,998,000",2006,NA
"197","Minnesota Twins","1439.1","583","162","683","4.27","5.01","0.08","0.00","98.2","4.84","79","9.0","1.03","-0.8","23.3","254",".515",".505","$31,238,500",2006,NA
"198","New York Mets","1461.1","636","162","731","4.50","4.96","0.22","-0.01","96.7","4.56","16","2.5","1.15","-0.7","14.4","144",".504",".503","$46,979,140",2006,NA
"199","New York Yankees","1443.2","651","162","767","4.78","5.00","-0.33","-0.01","99.0","5.26","66","7.5","1.18","-0.1","22.5","241",".512",".504","$70,650,610",2006,NA
"200","Oakland Athletics","1451.2","606","162","727","4.51","5.02","0.02","0.01","96.8","4.85","43","4.5","1.22","-0.8","18.9","220",".507",".503","$21,661,125",2006,NA
"201","Philadelphia Phillies","1460.1","662","162","812","5.00","4.95","-0.10","-0.01","103.0","5.20","38","4.7","1.17","-1.0","16.4","166",".507",".503","$39,688,333",2006,NA
"202","Pittsburgh Pirates","1435.0","667","162","797","5.00","4.82","-0.27","0.00","99.5","5.06","15","2.0","1.23","-0.4","14.0","141",".503",".502","$15,638,750",2006,NA
"203","San Diego Padres","1463.2","637","162","679","4.18","4.84","0.29","0.00","91.3","4.16","4","0.9","1.24","0.2","13.8","132",".501",".502","$33,812,142",2006,NA
"204","Seattle Mariners","1446.2","591","162","792","4.93","5.06","0.31","0.00","96.7","4.59","-67","-5.6","1.31","-0.3","9.2","110",".491",".499","$32,602,000",2006,NA
"205","San Francisco Giants","1429.2","599","161","790","4.97","4.86","0.22","0.02","100.1","4.67","-43","-3.8","1.32","-1.3","7.2","83",".494",".499","$30,690,733",2006,NA
"206","St. Louis Cardinals","1429.2","630","161","762","4.80","4.73","0.32","0.00","99.6","4.39","-58","-4.7","1.08","-1.5","6.2","67",".493",".499","$37,716,000",2006,NA
"207","Tampa Bay Devil Rays","1420.1","606","162","856","5.42","5.14","-0.21","-0.01","99.6","5.32","-28","-2.1","1.16","-2.1","10.7","145",".497",".499","$8,949,600",2006,NA
"208","Texas Rangers","1431.1","651","162","784","4.93","4.98","0.06","-0.02","100.9","4.95","-9","-0.5","1.05","-1.6","13.0","165",".499",".501","$29,758,163",2006,NA
"209","Toronto Blue Jays","1428.1","644","162","754","4.75","5.03","0.38","-0.02","100.0","4.63","-31","-2.1","1.14","-0.6","12.3","143",".497",".501","$32,987,000",2006,NA
"210","Washington Nationals","1436.1","679","162","872","5.46","4.96","-0.24","-0.02","95.1","4.92","-81","-7.3","1.04","-0.8","4.3","45",".489",".500","$20,139,000",2006,NA
"211","Arizona Diamondbacks","1441.0","631","162","732","4.57","4.76","0.23","0.01","106.8","4.86","55","6.7","1.12","-0.1","19.0","175",".511",".504","$33,337,046",2007,NA
"212","Atlanta Braves","1456.1","690","162","733","4.53","4.81","0.34","-0.01","97.8","4.36","-18","-0.2","1.02","-1.5","10.8","103",".500",".501","$30,260,000",2007,NA
"213","Baltimore Orioles","1438.2","652","162","868","5.43","5.03","0.03","-0.01","102.0","5.09","-64","-5.1","1.25","-0.6","9.3","106",".492",".500","$30,300,334",2007,NA
"214","Boston Red Sox","1438.2","613","162","657","4.11","4.99","0.08","0.01","104.7","5.16","158","16.5","1.09","-0.5","31.0","329",".527",".506","$46,122,000",2007,NA
"215","Chicago Cubs","1446.2","640","162","690","4.29","4.72","0.21","0.01","104.3","4.71","77","8.3","1.15","-1.3","19.4","197",".513",".504","$42,990,666",2007,NA
"216","Chicago White Sox","1440.2","625","162","839","5.24","5.02","-0.40","0.02","103.7","5.64","55","6.4","1.36","-1.5","19.9","225",".510",".503","$44,878,500",2007,NA
"217","Cincinnati Reds","1449.2","684","162","853","5.30","4.76","-0.29","0.01","103.8","5.25","3","1.3","1.17","-1.7","12.0","123",".502",".501","$33,438,333",2007,NA
"218","Cleveland Indians","1462.2","557","162","704","4.33","4.86","0.02","0.02","100.0","4.86","76","8.5","1.31","-0.3","23.4","249",".515",".505","$37,265,600",2007,NA
"219","Colorado Rockies","1472.0","692","163","758","4.63","4.68","0.10","0.00","108.0","4.94","61","6.5","1.17","-1.1","18.1","183",".509",".504","$24,149,000",2007,NA
"220","Detroit Tigers","1447.1","605","162","797","4.96","4.88","0.25","-0.01","100.6","4.65","-59","-5.2","1.19","-1.4","8.5","113",".491",".499","$30,104,159",2007,NA
"221","Florida Marlins","1443.2","722","162","891","5.55","4.79","-0.35","-0.03","97.8","5.00","-79","-6.8","1.10","-0.9","4.8","41",".491",".501","$15,968,000",2007,NA
"222","Houston Astros","1464.2","638","162","813","5.00","4.75","-0.30","0.01","100.8","5.09","26","3.4","1.11","-1.0","15.0","148",".505",".502","$36,697,000",2007,NA
"223","Kansas City Royals","1437.1","610","162","778","4.87","4.98","0.27","-0.02","101.0","4.73","-31","-1.7","1.18","-0.8","12.5","139",".497",".502","$33,211,000",2007,NA
"224","Los Angeles Angels of Anaheim","1435.0","558","162","731","4.58","4.97","0.05","0.01","100.0","4.92","44","5.3","1.11","-0.5","19.8","215",".510",".503","$51,433,833",2007,NA
"225","Los Angeles Dodgers","1450.0","645","162","727","4.51","4.71","0.00","0.00","100.5","4.73","46","5.5","1.08","-0.1","17.8","166",".509",".504","$51,622,915",2007,NA
"226","Milwaukee Brewers","1444.1","654","162","776","4.84","4.67","-0.07","0.00","100.5","4.77","0","0.4","1.21","-1.1","11.7","120",".501",".501","$35,979,167",2007,NA
"227","Minnesota Twins","1436.2","600","162","725","4.54","4.94","0.11","0.01","95.3","4.61","1","0.9","1.10","-0.4","15.4","172",".501",".503","$31,375,000",2007,NA
"228","New York Mets","1452.1","661","162","750","4.65","4.84","0.21","0.00","96.9","4.48","-17","-0.7","1.14","-1.0","10.8","104",".499",".501","$50,168,234",2007,NA
"229","New York Yankees","1450.2","684","162","777","4.82","4.87","-0.07","-0.01","100.9","4.97","15","2.3",".99","-1.5","16.0","187",".503",".502","$81,766,599",2007,NA
"230","Oakland Athletics","1448.0","608","162","758","4.71","4.95","0.14","0.00","93.9","4.51","-41","-3.3","1.16","-1.6","10.2","130",".495",".499","$23,373,746",2007,NA
"231","Philadelphia Phillies","1458.1","660","162","821","5.07","4.75","0.26","0.00","102.0","4.58","-68","-6.0","1.15","-1.7","4.9","53",".491",".498","$47,867,499",2007,NA
"232","Pittsburgh Pirates","1447.2","657","162","846","5.26","4.71","-0.12","0.00","98.4","4.75","-71","-5.9","1.10","-0.6","6.0","49",".491",".501","$16,362,833",2007,NA
"233","San Diego Padres","1484.2","648","163","666","4.04","4.67","-0.01","-0.01","91.7","4.29","52","6.6","1.19","-1.0","18.4","175",".510",".504","$29,926,500",2007,NA
"234","Seattle Mariners","1434.1","618","162","813","5.10","4.96","-0.31","0.00","96.5","5.08","-12","-0.3","1.26","-0.2","14.5","158",".500",".503","$33,905,000",2007,NA
"235","San Francisco Giants","1453.2","658","162","720","4.46","4.80","0.10","0.01","101.4","4.78","62","6.6","1.33","-0.9","18.2","183",".510",".503","$36,007,502",2007,NA
"236","St. Louis Cardinals","1435.2","678","162","829","5.20","4.74","0.24","-0.01","99.1","4.45","-110","-9.1",".88","-0.4","2.9","10",".487",".499","$38,927,500",2007,NA
"237","Tampa Bay Devil Rays","1429.2","645","162","944","5.94","5.04","-0.41","0.00","100.9","5.49","-81","-6.5","1.11","-2.0","6.4","89",".490",".499","$8,839,500",2007,NA
"238","Texas Rangers","1430.0","629","162","844","5.31","4.96","-0.02","-0.04","100.2","4.94","-68","-5.9","1.15","-1.0","8.2","102",".491",".500","$33,493,645",2007,NA
"239","Toronto Blue Jays","1448.2","582","162","699","4.34","5.04","0.59","0.01","99.1","4.43","5","1.1","1.30","-0.7","15.5","177",".502",".503","$41,258,800",2007,NA
"240","Washington Nationals","1446.2","750","162","783","4.87","4.88","-0.09","-0.03","94.9","4.69","-19","-1.2","1.22","-1.4","9.9","101",".498",".501","$11,300,000",2007,NA
"241","Arizona Diamondbacks","1434.2","606","162","706","4.43","4.54","-0.18","0.02","106.5","5.04","110","12.0","1.06","-1.4","23.0","224",".520",".505","$41,198,046",2008,NA
"242","Atlanta Braves","1440.2","707","162","778","4.86","4.62","0.19","-0.02","97.2","4.29","-80","-6.9","1.00","-1.2","4.3","35",".490",".498","$63,285,184",2008,NA
"243","Baltimore Orioles","1422.0","653","161","869","5.50","4.82","-0.01","-0.02","102.5","4.92","-116","-10.4","1.13","-1.6","2.9","63",".484",".498","$18,142,666",2008,NA
"244","Boston Red Sox","1446.1","628","162","694","4.32","4.80","0.13","0.00","105.8","4.94","76","9.1","1.16","-0.4","23.8","257",".515",".505","$35,121,749",2008,NA
"245","Chicago Cubs","1450.2","639","161","671","4.16","4.62","-0.16","0.00","105.3","5.04","152","16.8","1.16","-0.8","28.5","268",".526",".506","$58,628,333",2008,NA
"246","Chicago White Sox","1457.2","626","163","729","4.50","4.87","-0.20","0.01","104.9","5.33","108","11.7","1.17","-0.9","25.9","292",".519",".505","$49,476,000",2008,NA
"247","Cincinnati Reds","1442.1","669","162","800","4.99","4.71","-0.15","-0.01","101.6","4.92","1","1.2","1.01","-0.7","13.0","115",".502",".502","$31,135,000",2008,NA
"248","Cleveland Indians","1437.0","561","162","761","4.77","4.80","0.16","0.02","97.8","4.55","-59","-4.6","1.05","-1.2","9.0","121",".492",".499","$44,199,500",2008,NA
"249","Colorado Rockies","1446.0","647","162","822","5.12","4.55","-0.20","-0.01","108.6","5.15","17","2.7","1.00","-0.5","14.7","132",".504",".503","$25,778,000",2008,NA
"250","Detroit Tigers","1445.0","602","162","857","5.34","4.83","-0.35","-0.01","101.5","5.24","-40","-3.3","1.17","-2.1","9.6","142",".494",".500","$40,800,000",2008,NA
"251","Florida Marlins","1435.1","672","161","767","4.81","4.60","0.07","0.00","100.6","4.56","-29","-1.7","1.26","-0.6","10.1","85",".497",".501","$10,900,500",2008,NA
"252","Houston Astros","1425.1","649","161","743","4.69","4.69","0.08","0.00","98.1","4.52","-16","-0.9","1.06","-0.9","10.5","97",".499",".501","$26,808,393",2008,NA
"253","Kansas City Royals","1445.2","601","162","781","4.86","4.92","-0.43","0.00","99.2","5.31","47","5.7","1.09","0.1","20.8","229",".509",".504","$29,067,000",2008,NA
"254","Los Angeles Angels of Anaheim","1451.1","545","162","697","4.32","4.82","0.06","0.02","101.9","4.87","63","7.2","1.33","-0.3","21.9","245",".513",".504","$43,121,333",2008,NA
"255","Los Angeles Dodgers","1447.1","623","162","648","4.03","4.53","-0.08","0.00","97.8","4.50","88","9.7","1.14","-0.9","21.3","203",".516",".505","$40,874,333",2008,NA
"256","Milwaukee Brewers","1455.2","607","162","689","4.26","4.66","0.24","0.01","98.4","4.36","28","3.9","1.23","-1.3","15.1","144",".506",".501","$50,787,999",2008,NA
"257","Minnesota Twins","1459.0","648","163","745","4.60","4.81","-0.18","0.00","96.0","4.79","7","1.3","1.25","-0.8","15.7","190",".502",".501","$18,940,000",2008,NA
"258","New York Mets","1464.1","719","162","715","4.39","4.63","0.10","0.01","98.2","4.45","22","3.0","1.26","-1.3","14.3","138",".504",".501","$58,910,067",2008,NA
"259","New York Yankees","1441.2","637","162","727","4.54","4.83","-0.23","-0.02","101.1","5.09","64","7.4","1.06","-0.2","22.2","246",".512",".504","$74,327,970",2008,NA
"260","Oakland Athletics","1435.0","602","161","690","4.33","4.85","0.27","-0.01","94.4","4.32","-26","-1.4","1.16","-0.7","12.9","154",".498",".501","$22,012,126",2008,NA
"261","Philadelphia Phillies","1449.2","630","162","680","4.22","4.62","0.46","0.01","100.5","4.19","7","1.3","1.28","-0.8","13.0","122",".502",".502","$41,306,666",2008,NA
"262","Pittsburgh Pirates","1455.0","659","162","884","5.47","4.66","-0.10","-0.02","97.5","4.63","-124","-10.9","1.13","-0.7","1.0","-8",".483",".499","$17,409,783",2008,NA
"263","San Diego Padres","1458.1","653","162","764","4.71","4.51","-0.02","-0.01","89.1","4.03","-100","-9.1","1.10","-0.7","2.8","16",".486",".499","$36,070,000",2008,NA
"264","Seattle Mariners","1435.1","631","162","811","5.09","4.89","0.11","-0.01","96.2","4.59","-104","-9.3","1.21","-2.1","3.6","77",".485",".497","$41,957,500",2008,NA
"265","San Francisco Giants","1442.0","640","162","759","4.74","4.59","-0.12","0.01","101.5","4.79","20","3.1","1.23","-1.1","14.5","134",".505",".502","$22,475,500",2008,NA
"266","St. Louis Cardinals","1454.0","668","162","725","4.49","4.64","0.38","0.01","98.3","4.19","-36","-3.0","1.26","-1.4","8.1","80",".495",".500","$52,774,000",2008,NA
"267","Tampa Bay Rays","1457.2","610","162","671","4.14","4.84","0.14","0.00","101.1","4.76","75","8.1","1.28","-0.8","22.5","258",".513",".503","$19,999,597",2008,NA
"268","Texas Rangers","1442.0","619","162","967","6.04","4.72","-0.27","-0.03","101.5","5.03","-185","-16.7","1.18","-2.0","-3.6","-4",".473",".496","$34,806,002",2008,NA
"269","Toronto Blue Jays","1446.2","583","162","610","3.79","4.84","0.25","0.02","97.8","4.52","91","9.6","1.30","-1.3","23.4","273",".517",".505","$41,605,400",2008,NA
"270","Washington Nationals","1434.0","678","161","825","5.18","4.74","-0.03","-0.02","99.6","4.73","-60","-5.5","1.15","-1.4","5.5","54",".492",".499","$15,101,000",2008,NA
"271","Arizona Diamondbacks","1447.2","645","162","782","4.86","4.54","0.04","0.01","105.4","4.74","-18","-1.0","1.04","-1.3","10.2","104",".498",".501","$43,281,000",2009,NA
"272","Atlanta Braves","1462.2","650","162","641","3.94","4.58","-0.05","0.01","98.4","4.57","102","12.2","1.22","-0.8","24.1","226",".519",".505","$64,758,666",2009,NA
"273","Baltimore Orioles","1429.0","646","162","876","5.52","4.99","-0.10","-0.02","102.3","5.18","-60","-4.6","1.06","-1.2","9.1","105",".493",".499","$26,509,166",2009,NA
"274","Boston Red Sox","1436.2","625","162","736","4.61","4.92","-0.09","0.01","103.8","5.22","89","10.0","1.09","-0.9","24.2","256",".516",".506","$50,995,999",2009,NA
"275","Chicago Cubs","1445.1","641","161","672","4.18","4.51","-0.13","0.01","105.4","4.90","115","12.9","1.18","-1.1","24.3","237",".520",".504","$64,061,500",2009,NA
"276","Chicago White Sox","1439.2","577","162","732","4.58","4.90","-0.14","0.01","104.3","5.26","102","11.2","1.09","-1.0","25.2","269",".519",".505","$50,302,500",2009,NA
"277","Cincinnati Reds","1458.1","640","162","723","4.46","4.50","0.14","0.00","99.7","4.35","-17","-1.1","1.17","-0.5","11.0","106",".498",".501","$48,166,500",2009,NA
"278","Cleveland Indians","1434.0","607","162","865","5.43","4.80","-0.12","-0.01","95.6","4.69","-125","-11.2","1.03","-1.1","2.6","41",".482",".498","$31,323,900",2009,NA
"279","Colorado Rockies","1438.1","646","162","715","4.47","4.51","0.06","0.01","111.0","4.95","76","8.5","1.15","-1.2","19.7","198",".513",".503","$33,231,200",2009,NA
"280","Detroit Tigers","1447.0","602","163","745","4.63","4.86","0.22","0.00","100.2","4.65","-6","0.4","1.09","-1.7","13.8","162",".501",".502","$50,889,500",2009,NA
"281","Florida Marlins","1446.1","692","162","766","4.77","4.57","-0.31","-0.02","101.9","4.96","32","4.6","1.19","-0.8","16.3","154",".507",".503","$16,379,000",2009,NA
"282","Houston Astros","1430.0","659","162","770","4.85","4.52","0.01","-0.01","98.4","4.42","-66","-5.5","1.08","-0.6","6.3","54",".492",".501","$42,380,500",2009,NA
"283","Kansas City Royals","1426.0","588","162","842","5.31","4.87","-0.65","0.00","98.5","5.44","12","2.9","1.08","-1.0","16.7","177",".505",".502","$37,124,500",2009,NA
"284","Los Angeles Angels of Anaheim","1445.0","596","162","761","4.74","4.81","0.46","0.01","97.7","4.27","-84","-7.3","1.17","-1.3","6.5","84",".488",".499","$50,709,000",2009,NA
"285","Los Angeles Dodgers","1473.1","688","162","611","3.73","4.45","0.10","-0.01","96.1","4.17","72","7.9","1.19","-1.3","19.4","196",".512",".503","$41,354,221",2009,NA
"286","Milwaukee Brewers","1435.0","674","162","818","5.13","4.44","0.02","-0.02","97.8","4.30","-131","-12.1","1.09","0.1","0.4","-10",".482",".498","$37,260,002",2009,NA
"287","Minnesota Twins","1453.0","643","163","765","4.74","4.81","-0.26","-0.01","98.0","4.97","30","3.5","1.12","-0.2","18.4","198",".505",".504","$22,412,000",2009,NA
"288","New York Mets","1426.0","673","162","757","4.78","4.64","0.00","0.00","97.3","4.50","-42","-3.8","1.08","-1.9","6.6","78",".494",".498","$67,744,555",2009,NA
"289","New York Yankees","1450.0","623","162","753","4.67","4.90","-0.13","-0.01","102.7","5.16","70","8.3","1.18","-0.3","23.1","238",".513",".505","$73,860,239",2009,NA
"290","Oakland Athletics","1447.1","650","162","761","4.73","4.88","-0.17","-0.02","97.6","4.90","20","2.9",".98","-1.3","16.7","187",".504",".503","$10,065,000",2009,NA
"291","Philadelphia Phillies","1455.2","621","162","709","4.38","4.55","0.12","0.00","99.8","4.42","6","1.2","1.12","-2.0","11.9","129",".502",".500","$56,691,666",2009,NA
"292","Pittsburgh Pirates","1418.1","617","161","768","4.87","4.49","0.18","0.01","99.6","4.30","-89","-8.5",".99","-1.5","2.2","31",".486",".498","$18,385,000",2009,NA
"293","San Diego Padres","1450.2","689","162","769","4.77","4.50","-0.07","-0.02","91.1","4.14","-101","-9.0","1.14","-0.9","2.6","22",".487",".499","$27,884,900",2009,NA
"294","Seattle Mariners","1452.2","572","162","692","4.29","4.94","0.49","0.00","94.6","4.22","-19","-0.8","1.38","-1.8","12.6","150",".499",".500","$46,870,000",2009,NA
"295","San Francisco Giants","1446.0","619","162","611","3.80","4.58","0.07","0.01","100.8","4.55","122","13.9","1.21","-0.3","26.1","244",".522",".506","$39,714,450",2009,NA
"296","St. Louis Cardinals","1440.2","643","162","640","4.00","4.47","0.16","0.02","96.7","4.19","31","4.9","1.08","-0.6","16.7","153",".508",".503","$41,743,583",2009,NA
"297","Tampa Bay Rays","1427.1","672","162","754","4.75","4.95","0.29","0.01","97.9","4.57","-36","-2.9","1.23","-1.4","10.6","129",".496",".500","$28,823,766",2009,NA
"298","Texas Rangers","1434.2","598","162","740","4.64","4.89","0.05","0.00","103.4","5.01","51","5.9","1.04","-0.5","20.4","218",".510",".503","$36,024,082",2009,NA
"299","Toronto Blue Jays","1451.0","607","162","771","4.78","4.96","0.38","0.00","99.5","4.56","-43","-2.8","1.07","-1.6","10.7","125",".495",".500","$38,406,700",2009,NA
"300","Washington Nationals","1424.1","694","162","874","5.52","4.60","-0.31","-0.01","100.9","4.94","-91","-8.7","1.18","-1.8","1.9","29",".488",".499","$13,643,000",2009,NA
"301","Arizona Diamondbacks","1432.0","616","162","836","5.25","4.46","0.16","0.01","104.9","4.52","-119","-11.0",".99","-1.1","0.3","2",".482",".496","$25,238,000",2010,NA
"302","Atlanta Braves","1439.1","652","162","629","3.93","4.38","0.07","0.00","97.3","4.19","38","5.2","1.12","-0.8","16.9","159",".508",".504","$45,021,166",2010,NA
"303","Baltimore Orioles","1436.1","616","162","785","4.92","4.66","-0.16","-0.01","100.3","4.82","-25","-2.1","1.26","-0.7","12.2","131",".497",".500","$33,027,500",2010,NA
"304","Boston Red Sox","1456.2","605","162","744","4.60","4.55","0.18","0.00","105.1","4.59","-9","0.1","1.26","-0.7","14.5","149",".500",".501","$71,496,833",2010,NA
