"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"35","Boston Red Sox","1448.0","585","161","745","4.63","4.89","-0.31","-0.02","99.6","5.16","77","8.3","1.23","-0.8","22.6","248",".514",".503","$42,910,000",2001,NA
"36","Chicago Cubs","1437.0","614","162","701","4.39","4.71","-0.08","0.00","96.7","4.63","37","4.4","1.26","-1.0","15.8","167",".507",".503","$25,798,333",2001,NA
"37","Chicago White Sox","1433.1","568","162","795","4.99","4.98","0.04","0.00","102.5","5.06","3","1.2","1.25","-0.3","15.9","172",".502",".502","$22,665,000",2001,NA
"38","Cincinnati Reds","1442.2","623","162","850","5.30","4.83","-0.24","-0.03","105.6","5.32","2","0.8","1.07","-1.2","12.2","132",".501",".502","$11,016,000",2001,NA
"39","Cleveland Indians","1446.2","645","162","821","5.11","4.86","-0.30","-0.03","100.8","5.18","3","1.4","1.21","-0.8","15.7","174",".502",".502","$38,024,167",2001,NA
"40","Colorado Rockies","1430.0","638","162","906","5.70","4.95","0.38","0.00","121.1","5.52","-30","-2.4","1.05","-1.2","8.8","99",".496",".500","$35,867,667",2001,NA
"41","Detroit Tigers","1429.1","553","162","876","5.52","4.95","-0.22","0.01","96.3","4.99","-91","-7.9","1.16","-1.0","6.0","78",".486",".499","$17,526,667",2001,NA
"42","Florida Marlins","1438.0","592","162","744","4.66","4.64","0.08","0.01","96.8","4.41","-40","-3.4","1.14","-1.1","7.9","90",".494",".499","$9,014,000",2001,NA
"43","Houston Astros","1454.2","567","162","769","4.76","4.76","-0.02","0.00","106.4","5.09","52","6.7","1.22","-0.5","18.9","183",".512",".504","$24,417,667",2001,NA
"44","Kansas City Royals","1440.0","558","162","858","5.36","5.05","0.31","-0.01","107.0","5.06","-57","-5.2","1.09","-0.9","8.9","114",".491",".499","$13,925,000",2001,NA
"45","Los Angeles Dodgers","1450.2","570","162","744","4.62","4.87","-0.20","0.01","92.2","4.69","10","1.7","1.25","-0.7","13.5","141",".503",".502","$54,642,619",2001,NA
"46","Milwaukee Brewers","1436.1","651","162","806","5.05","4.77","-0.04","-0.02","98.2","4.70","-56","-5.0",".99","-0.5","7.0","73",".492",".501","$16,335,000",2001,NA
"47","Minnesota Twins","1441.1","564","162","766","4.78","4.98","0.19","0.01","101.0","4.85","4","1.3","1.16","-1.4","14.8","174",".502",".501","$15,820,000",2001,NA
"48","Montreal Expos","1431.1","653","162","812","5.11","4.73","-0.29","-0.01","101.2","5.07","-7","0.0",".93","-0.9","11.5","122",".500",".501","$16,320,500",2001,NA
"49","New York Mets","1445.2","559","162","713","4.44","4.72","-0.01","0.01","95.2","4.50","9","1.7","1.23","-1.1","13.0","140",".503",".501","$47,748,833",2001,NA
"50","New York Yankees","1451.1","523","161","713","4.42","4.85","-0.36","0.01","98.9","5.15","110","12.0","1.24","-0.1","27.0","281",".523",".507","$43,890,000",2001,NA
