"","Tm","X.Fld","RA.G","DefEff","G","GS","CG","Inn","Ch","PO","A","E","DP","Fld.","Rtot","Rtot.yr","Year","Rdrs","Rdrs.yr","Rgood"
"471","Philadelphia Phillies","50","4.99",".667","162","1458","1117","12927.0","6011","4309","1585","117","145",".981","-61","-6",2015,"-98","-1","3"
"472","Pittsburgh Pirates","44","3.68",".679","162","1458","994","13407.0","6459","4469","1868","122","177",".981","-11","-1",2015,"24","1","-5"
"473","San Diego Padres","46","4.51",".683","162","1458","1070","12963.0","5979","4321","1566","92","138",".985","-20","-2",2015,"-20","1","8"
"474","Seattle Mariners","51","4.48",".688","162","1458","1059","13167.0","6168","4389","1685","94","155",".985","-31","-3",2015,"-61","1","2"
"475","San Francisco Giants","48","3.87",".706","162","1458","1155","12999.0","6085","4333","1674","78","145",".987","41","4",2015,"30","6","8"
"476","St. Louis Cardinals","45","3.24",".688","162","1458","1014","13182.0","6107","4394","1617","96","159",".984","-10","-1",2015,"2","-1","-1"
"477","Tampa Bay Rays","51","3.96",".701","162","1458","1027","13080.0","5863","4360","1408","95","118",".984","12","1",2015,"14","-1","0"
"478","Texas Rangers","57","4.52",".687","162","1458","1094","12984.0","6142","4328","1695","119","169",".981","43","4",2015,"-12","0","1"
"479","Toronto Blue Jays","52","4.14",".708","162","1458","1117","12969.0","6003","4323","1592","88","145",".985","57","5",2015,"25","0","-4"
"480","Washington Nationals","44","3.92",".685","162","1458","1166","12912.0","5927","4304","1533","90","125",".985","4","0",2015,"-23","0","-2"
"481","Arizona Diamondbacks","50","5.49",".665","162","1458","1105","13062.0","6118","4354","1663","101","143",".983","-31","-3",2016,"-24","2","12"
"482","Atlanta Braves","59","4.84",".692","161","1449","1164","13029.0","6009","4343","1565","101","134",".983","9","1",2016,"-14","-1","-7"
"483","Baltimore Orioles","46","4.41",".688","162","1458","1108","12888.0","5955","4296","1579","80","165",".987","-12","-1",2016,"1","4","5"
"484","Boston Red Sox","50","4.28",".695","162","1458","1143","12957.0","5821","4319","1427","75","139",".987","22","2",2016,"69","0","-2"
"485","Chicago Cubs","45","3.43",".728","162","1458","1017","13137.0","6115","4379","1635","101","116",".983","95","9",2016,"107","1","-2"
"486","Chicago White Sox","48","4.41",".687","162","1458","1223","13020.0","5971","4340","1536","95","148",".984","2","0",2016,"-2","-1","0"
"487","Cincinnati Reds","52","5.27",".694","162","1458","1151","12978.0","5977","4326","1549","102","142",".983","10","1",2016,"-14","-1","2"
"488","Cleveland Indians","48","4.20",".696","161","1449","1032","13005.0","6032","4335","1608","89","126",".985","68","6",2016,"41","0","-3"
"489","Colorado Rockies","47","5.31",".667","162","1458","1125","12864.0","6147","4288","1749","110","148",".982","5","0",2016,"11","0","-4"
"490","Detroit Tigers","44","4.48",".689","161","1449","1125","12852.0","5896","4284","1537","75","148",".987","-40","-4",2016,"-57","0","4"
"491","Houston Astros","43","4.33",".681","162","1458","1102","13212.0","6080","4404","1599","77","135",".987","-13","-1",2016,"77","3","-7"
"492","Kansas City Royals","42","4.40",".687","162","1458","1188","12960.0","5940","4320","1526","94","134",".984","7","1",2016,"10","0","3"
"493","Los Angeles Angels","53","4.49",".685","162","1458","1058","12792.0","5844","4264","1483","97","148",".983","-22","-2",2016,"38","0","4"
"494","Los Angeles Dodgers","55","3.94",".699","162","1458","1060","13077.0","5887","4359","1448","80","101",".986","21","2",2016,"56","0","-6"
"495","Miami Marlins","52","4.24",".683","161","1449","1056","12915.0","5897","4305","1506","86","137",".985","-7","-1",2016,"4","1","9"
"496","Milwaukee Brewers","49","4.52",".680","162","1458","1117","12909.0","6110","4303","1671","136","145",".978","3","0",2016,"24","0","0"
"497","Minnesota Twins","49","5.49",".662","162","1458","1192","12987.0","6065","4329","1610","126","172",".979","-75","-7",2016,"-57","-1","0"
"498","New York Mets","46","3.81",".678","162","1458","1052","13023.0","5950","4341","1519","90","138",".985","-18","-2",2016,"3","0","6"
"499","New York Yankees","53","4.33",".694","162","1458","1109","12855.0","5907","4285","1536","86","116",".985","4","0",2016,"14","-2","-4"
"500","Oakland Athletics","49","4.70",".685","162","1458","1122","12900.0","6027","4300","1630","97","152",".984","-54","-5",2016,"-70","-5","-5"
"501","Philadelphia Phillies","49","4.91",".681","162","1458","1094","12933.0","5911","4311","1503","97","142",".984","17","2",2016,"-11","-3","-3"
"502","Pittsburgh Pirates","54","4.68",".676","162","1458","1037","13056.0","6208","4352","1745","111","172",".982","-18","-2",2016,"-6","0","-7"
"503","San Diego Padres","58","4.75",".687","162","1458","1107","12960.0","6052","4320","1623","109","165",".982","-15","-1",2016,"-3","0","-1"
"504","Seattle Mariners","54","4.36",".694","162","1458","1092","13113.0","6035","4371","1575","89","158",".985","5","0",2016,"2","0","3"
"505","San Francisco Giants","45","3.90",".702","162","1458","1135","13143.0","6092","4381","1639","72","136",".988","44","4",2016,"75","6","3"
"506","St. Louis Cardinals","40","4.40",".679","162","1458","996","13035.0","6199","4345","1747","107","169",".983","-23","-2",2016,"-10","0","0"
"507","Tampa Bay Rays","48","4.40",".687","162","1458","1156","12837.0","5783","4279","1410","94","129",".984","-37","-3",2016,"16","0","-3"
"508","Texas Rangers","52","4.67",".692","162","1458","1105","12987.0","6081","4329","1655","97","190",".984","47","4",2016,"2","1","4"
"509","Toronto Blue Jays","49","4.11",".703","162","1458","1087","13134.0","6088","4378","1622","88","144",".986","11","1",2016,"58","0","-3"
"510","Washington Nationals","42","3.78",".700","162","1458","1147","13137.0","5877","4379","1425","73","142",".988","49","4",2016,"2","0","3"
"511","Arizona Diamondbacks","45","4.07",".687","162","1458","1090","12969.0","6035","4323","1604","108","140",".982","-3","0",2017,"21","2","2"
"512","Atlanta Braves","48","5.07",".683","162","1458","1146","12972.0","5999","4324","1578","97","137",".984","-27","-2",2017,"-4","1","-4"
"513","Baltimore Orioles","50","5.19",".683","162","1458","1083","12969.0","6026","4323","1609","94","175",".984","-5","0",2017,"-9","1","4"
"514","Boston Red Sox","49","4.12",".680","162","1458","1162","13341.0","5944","4447","1390","107","126",".982","10","1",2017,"85","0","-1"
"515","Chicago Cubs","47","4.29",".699","162","1458","921","13026.0","6093","4342","1656","95","139",".984","34","3",2017,"40","0","-4"
"516","Chicago White Sox","51","5.06",".700","162","1458","1184","12795.0","5920","4265","1541","114","157",".981","16","1",2017,"-12","-1","-11"
"517","Cincinnati Reds","47","5.36",".691","162","1458","1154","12870.0","5994","4290","1623","81","132",".986","-14","-1",2017,"56","0","2"
"518","Cleveland Indians","41","3.48",".683","162","1458","1072","12966.0","5845","4322","1447","76","167",".987","42","4",2017,"55","0","10"
"519","Colorado Rockies","41","4.67",".683","162","1458","1142","12939.0","6120","4313","1730","77","168",".987","19","2",2017,"6","3","16"
"520","Detroit Tigers","48","5.52",".668","162","1458","1119","12783.0","5734","4261","1389","84","146",".985","-51","-5",2017,"-115","-1","-6"
"521","Houston Astros","46","4.32",".682","162","1458","1044","13014.0","5963","4338","1526","99","153",".983","-15","-1",2017,"21","0","-4"
"522","Kansas City Royals","49","4.88",".685","162","1458","1126","12939.0","5916","4313","1524","79","145",".987","-24","-2",2017,"-55","-1","4"
"523","Los Angeles Angels","55","4.38",".700","162","1458","1125","12966.0","5864","4322","1462","80","135",".986","43","4",2017,"52","1","5"
"524","Los Angeles Dodgers","52","3.58",".703","162","1458","1026","13002.0","5789","4334","1367","88","131",".985","24","2",2017,"67","1","0"
"525","Miami Marlins","43","5.07",".691","162","1458","1165","12984.0","5955","4328","1554","73","156",".988","-1","0",2017,"24","1","8"
"526","Milwaukee Brewers","50","4.30",".684","162","1458","1035","13011.0","6076","4337","1624","115","164",".981","7","1",2017,"25","2","-2"
"527","Minnesota Twins","52","4.86",".692","162","1458","1130","12924.0","5863","4308","1477","78","143",".987","37","3",2017,"26","1","-3"
"528","New York Mets","51","5.33",".667","162","1458","1125","12912.0","5852","4304","1456","92","125",".984","-63","-6",2017,"-68","-1","-4"
"529","New York Yankees","51","4.07",".703","162","1458","1131","13038.0","5909","4346","1468","95","102",".984","29","3",2017,"28","-1","-12"
"530","Oakland Athletics","54","5.10",".686","162","1458","1111","12879.0","6011","4293","1597","121","162",".980","-34","-3",2017,"-41","0","1"
"531","Philadelphia Phillies","51","4.83",".683","162","1458","1132","12969.0","5902","4323","1497","82","145",".986","-33","-3",2017,"-31","-1","0"
"532","Pittsburgh Pirates","46","4.51",".679","162","1458","1074","12966.0","6083","4322","1662","99","156",".984","-29","-3",2017,"24","0","1"
"533","San Diego Padres","52","5.04",".683","162","1458","1080","12876.0","6028","4292","1623","113","177",".981","-2","0",2017,"17","0","-2"
"534","Seattle Mariners","61","4.77",".700","162","1458","1154","12963.0","5846","4321","1422","103","147",".982","17","2",2017,"7","0","-6"
"535","San Francisco Giants","49","4.79",".679","162","1458","1081","13068.0","5965","4356","1522","87","127",".985","-23","-2",2017,"-29","1","5"
"536","St. Louis Cardinals","47","4.35",".687","162","1458","1100","13053.0","6039","4351","1594","94","164",".984","17","2",2017,"31","2","1"
"537","Tampa Bay Rays","53","4.35",".701","162","1458","1129","13005.0","5868","4335","1433","100","129",".983","18","2",2017,"44","0","-9"
"538","Texas Rangers","51","5.04",".695","162","1458","1131","12909.0","6027","4303","1616","108","173",".982","50","5",2017,"4","0","2"
"539","Toronto Blue Jays","60","4.84",".682","162","1458","1073","13185.0","6057","4395","1570","92","145",".985","-35","-3",2017,"6","0","6"
"540","Washington Nationals","49","4.15",".698","162","1458","1118","13020.0","5860","4340","1434","86","139",".985","8","1",2017,"-31","0","-8"
"541","Arizona Diamondbacks","49","3.98",".698","162","1458","1119","13167.0","6150","4389","1686","75","152",".988","28","3",2018,"125","7","15"
"542","Atlanta Braves","57","4.06",".709","162","1458","1166","13110.0","5889","4370","1439","80","134",".986","42","4",2018,"55","2","-1"
"543","Baltimore Orioles","56","5.51",".674","162","1458","1112","12879.0","5934","4293","1537","104","159",".982","-47","-4",2018,"-42","-2","-6"
"544","Boston Red Sox","43","3.99",".693","162","1458","1127","13128.0","5819","4376","1366","77","106",".987","29","3",2018,"15","0","-8"
"545","Chicago Cubs","50","3.96",".700","163","1467","933","13287.0","6208","4429","1675","104","155",".983","76","7",2018,"84","5","7"
"546","Chicago White Sox","51","5.23",".690","162","1458","1156","12933.0","5856","4311","1431","114","135",".981","-49","-5",2018,"-41","-4","-7"
"547","Cincinnati Reds","53","5.06",".685","162","1458","1084","12969.0","6026","4323","1608","95","144",".984","-29","-3",2018,"-16","0","1"
"548","Cleveland Indians","48","4.00",".688","162","1458","1064","13116.0","5808","4372","1353","83","123",".986","-13","-1",2018,"2","0","2"
"549","Colorado Rockies","41","4.57",".688","163","1467","1140","13071.0","6055","4357","1624","74","162",".988","36","3",2018,"39","1","2"
"550","Detroit Tigers","49","4.91",".694","162","1458","1205","12828.0","5799","4276","1428","95","126",".984","1","0",2018,"-21","-4","-14"
"551","Houston Astros","41","3.30",".705","162","1458","1014","13095.0","5797","4365","1369","63","116",".989","36","3",2018,"64","3","3"
"552","Kansas City Royals","49","5.14",".680","162","1458","1234","12888.0","5902","4296","1529","77","142",".987","-22","-2",2018,"-32","-1","-4"
"553","Los Angeles Angels","60","4.46",".693","162","1458","1083","12936.0","5890","4312","1502","76","173",".987","26","2",2018,"10","0","1"
"554","Los Angeles Dodgers","52","3.74",".698","163","1467","910","13284.0","5963","4428","1435","100","111",".983","11","1",2018,"57","1","7"
"555","Miami Marlins","51","5.02",".697","161","1449","980","12978.0","5857","4326","1448","83","133",".986","2","0",2018,"23","0","-1"
"556","Milwaukee Brewers","53","4.04",".704","163","1467","959","13149.0","5944","4383","1453","108","141",".982","57","5",2018,"123","5","0"
"557","Minnesota Twins","54","4.78",".682","162","1458","1137","12990.0","5881","4330","1454","97","127",".984","-29","-3",2018,"7","-3","-2"
"558","New York Mets","56","4.36",".691","162","1458","1136","13146.0","5876","4382","1406","88","121",".985","-42","-4",2018,"-31","0","2"
"559","New York Yankees","49","4.13",".684","162","1458","1155","13107.0","5807","4369","1344","94","95",".984","-54","-5",2018,"26","0","-8"
"560","Oakland Athletics","53","4.16",".717","162","1458","1116","13191.0","6080","4397","1594","89","125",".985","49","4",2018,"6","0","1"
"561","Philadelphia Phillies","48","4.49",".677","162","1458","1092","13011.0","5938","4337","1478","123","138",".979","-55","-5",2018,"-82","-4","-10"
"562","Pittsburgh Pirates","47","4.30",".686","161","1449","1136","12906.0","5885","4302","1478","105","129",".982","-15","-1",2018,"10","0","-11"
"563","San Diego Padres","49","4.73",".680","162","1458","1092","13113.0","6010","4371","1539","100","127",".983","-35","-3",2018,"32","1","1"
"564","Seattle Mariners","53","4.39",".691","162","1458","1099","13038.0","5920","4346","1486","88","152",".985","13","1",2018,"2","0","-2"
"565","San Francisco Giants","48","4.31",".692","162","1458","1111","13152.0","6086","4384","1605","97","160",".984","5","0",2018,"-5","0","6"
"566","St. Louis Cardinals","49","4.27",".685","162","1458","1031","13098.0","6039","4366","1540","133","151",".978","-16","-1",2018,"-2","-1","-1"
"567","Tampa Bay Rays","54","3.99",".708","162","1458","1101","13035.0","5913","4345","1483","85","136",".986","50","5",2018,"46","-1","0"
"568","Texas Rangers","50","5.23",".682","162","1458","1149","12879.0","5971","4293","1558","120","168",".980","18","2",2018,"-41","-2","-3"
"569","Toronto Blue Jays","63","5.14",".678","162","1458","1116","12903.0","5849","4301","1447","101","138",".983","-59","-6",2018,"-54","0","-3"
"570","Washington Nationals","53","4.21",".703","162","1458","1077","13014.0","5765","4338","1363","64","115",".989","-4","0",2018,"2","0","4"
"571","Arizona Diamondbacks","44","4.59",".692","162","1458","1005","13185.0","6042","4395","1561","86","136",".986","52","5",2019,"91","3","8"
"572","Atlanta Braves","50","4.59",".685","162","1458","1127","13056.0","5952","4352","1522","78","154",".987","5","0",2019,"22","2","-2"
"573","Baltimore Orioles","57","6.06",".688","162","1458","989","12987.0","5879","4329","1442","108","155",".982","3","0",2019,"-53","-5","-10"
"574","Boston Red Sox","47","5.11",".673","162","1458","1106","13239.0","5937","4413","1436","88","115",".985","-15","-1",2019,"10","0","-9"
"575","Chicago Cubs","52","4.43",".681","162","1458","969","12978.0","6063","4326","1619","118","141",".981","12","1",2019,"32","1","3"
"576","Chicago White Sox","47","5.17",".678","161","1449","1132","12714.0","5880","4238","1525","117","171",".980","-21","-2",2019,"-25","-2","-2"
"577","Cincinnati Reds","47","4.39",".699","162","1458","972","12942.0","5865","4314","1460","91","124",".984","25","2",2019,"41","0","9"
"578","Cleveland Indians","53","4.06",".695","162","1458","1139","12939.0","5718","4313","1322","83","110",".985","49","5",2019,"67","1","12"
"579","Colorado Rockies","50","5.91",".677","162","1458","1112","13038.0","6201","4346","1758","97","165",".984","6","1",2019,"40","1","9"
"580","Detroit Tigers","53","5.68",".666","161","1449","1214","12897.0","5861","4299","1452","110","127",".981","-103","-10",2019,"-111","-1","-7"
"581","Houston Astros","45","3.95",".717","162","1458","1043","13161.0","5811","4387","1353","71","96",".988","53","5",2019,"96","1","13"
"582","Kansas City Royals","51","5.36",".678","162","1458","1165","12825.0","5853","4275","1505","73","152",".988","-5","0",2019,"-16","-2","2"
"583","Los Angeles Angels","56","5.36",".695","162","1458","1080","12983.2","5889","4328","1469","92","118",".984","5","0",2019,"-23","0","-2"
"584","Los Angeles Dodgers","45","3.78",".710","162","1458","977","13011.0","5871","4337","1428","106","117",".982","48","4",2019,"105","0","3"
"585","Miami Marlins","50","4.99",".703","162","1458","1058","12999.0","5791","4333","1364","94","135",".984","-4","0",2019,"10","0","0"
"586","Milwaukee Brewers","49","4.73",".691","162","1458","1013","13134.0","5870","4378","1395","97","135",".983","7","1",2019,"27","-1","3"
"587","Minnesota Twins","49","4.65",".673","162","1458","1105","13170.0","5906","4390","1405","111","130",".981","-22","-2",2019,"-28","-1","-1"
"588","New York Mets","52","4.55",".679","162","1458","933","13149.0","5917","4383","1435","99","129",".983","-44","-4",2019,"-34","-3","-4"
"589","New York Yankees","54","4.56",".686","162","1458","1132","12987.0","5778","4329","1347","102","135",".982","7","1",2019,"-14","-1","-3"
"590","Oakland Athletics","49","4.20",".710","162","1458","1124","13185.0","5939","4395","1464","80","122",".987","41","4",2019,"3","0","-12"
"591","Philadelphia Phillies","53","4.90",".687","162","1458","1122","13083.0","6010","4361","1552","97","136",".984","16","1",2019,"68","0","0"
"592","Pittsburgh Pirates","54","5.62",".666","162","1458","1068","12960.0","5934","4320","1493","121","130",".980","-70","-7",2019,"-21","0","2"
"593","San Diego Padres","54","4.87",".680","162","1458","1041","12888.0","5798","4296","1386","116","100",".980","-42","-4",2019,"4","-1","-4"
"594","Seattle Mariners","67","5.51",".688","162","1458","1123","12954.0","5940","4318","1490","132","145",".978","-9","-1",2019,"-48","-1","-7"
"595","San Francisco Giants","63","4.77",".699","162","1458","1079","13221.0","6033","4407","1536","90","142",".985","14","1",2019,"19","0","1"
"596","St. Louis Cardinals","42","4.09",".706","162","1458","1051","12996.0","5976","4332","1578","66","168",".989","37","3",2019,"73","1","3"
"597","Tampa Bay Rays","57","4.05",".695","162","1458","1076","13269.0","5924","4423","1414","87","126",".985","28","3",2019,"42","-1","6"
"598","Texas Rangers","53","5.42",".671","162","1458","1170","12942.0","5783","4314","1364","105","143",".982","-34","-3",2019,"-65","-1","-7"
"599","Toronto Blue Jays","61","5.11",".685","162","1458","1153","12963.0","5920","4321","1503","96","141",".984","-8","-1",2019,"40","1","0"
"600","Washington Nationals","50","4.47",".689","162","1458","1171","12954.0","5779","4318","1374","87","111",".985","6","1",2019,"25","0","2"
"601","Arizona Diamondbacks","45","4.92",".689","60","540","430","4665.0","2064","1555","474","35","54",".983","3","1",2020,"0","1","3"
"602","Atlanta Braves","48","4.80",".692","60","540","400","4719.0","2140","1573","533","34","52",".984","-6","-2",2020,"-7","-1","0"
"603","Baltimore Orioles","45","4.90",".698","60","540","379","4668.0","2110","1556","511","43","42",".980","22","6",2020,"1","-1","-5"
"604","Boston Red Sox","47","5.85",".647","60","540","415","4716.0","2139","1572","522","45","59",".979","-25","-6",2020,"0","-3","-4"
"605","Chicago Cubs","45","4.00",".708","60","540","356","4665.0","2144","1555","559","30","46",".986","32","8",2020,"28","1","0"
"606","Chicago White Sox","46","4.10",".712","60","540","433","4743.0","2137","1581","517","39","48",".982","22","6",2020,"30","7","-5"
"607","Cincinnati Reds","43","4.05",".707","60","540","395","4536.0","1981","1512","442","27","36",".986","-6","-2",2020,"4","0","1"
"608","Cleveland Indians","39","3.48",".701","60","540","407","4824.0","2138","1608","500","30","46",".986","19","5",2020,"29","1","2"
"609","Colorado Rockies","40","5.88",".675","60","540","385","4737.0","2255","1579","633","43","78",".981","7","2",2020,"19","1","3"
"610","Detroit Tigers","44","5.48",".690","58","522","389","4431.0","2008","1477","502","29","46",".986","-2","-1",2020,"-13","-2","0"
"611","Houston Astros","42","4.58",".703","60","540","431","4716.0","2138","1572","546","20","48",".991","12","3",2020,"11","0","1"
"612","Kansas City Royals","48","4.53",".683","60","540","381","4653.0","2085","1551","503","31","62",".985","2","1",2020,"-3","0","4"
"613","Los Angeles Angels","45","5.35",".698","60","540","425","4728.0","2097","1576","485","36","36",".983","-18","-5",2020,"-24","0","4"
"614","Los Angeles Dodgers","38","3.55",".729","60","540","404","4848.0","2200","1616","544","40","46",".982","35","9",2020,"28","0","-1"
"615","Miami Marlins","61","5.07",".686","60","540","374","4536.0","2101","1512","549","40","60",".981","-13","-3",2020,"1","1","-1"
"616","Milwaukee Brewers","43","4.40",".687","60","540","371","4656.0","2081","1552","494","35","45",".983","-13","-3",2020,"-10","0","3"
"617","Minnesota Twins","42","3.58",".703","60","540","416","4620.0","2019","1540","459","20","39",".990","13","3",2020,"22","-1","-3"
"618","New York Mets","46","5.13",".668","60","540","369","4620.0","2066","1540","494","32","39",".985","-33","-9",2020,"-16","-4","-1"
"619","New York Yankees","42","4.50",".695","60","540","384","4506.0","2022","1502","472","48","37",".976","0","0",2020,"1","0","-1"
"620","Oakland Athletics","37","3.87",".703","60","540","414","4638.0","2061","1546","489","26","33",".987","3","1",2020,"-17","-5","1"
"621","Philadelphia Phillies","46","5.18",".642","60","540","395","4473.0","2063","1491","536","36","57",".983","-38","-10",2020,"-32","-1","-2"
"622","Pittsburgh Pirates","49","4.97",".697","60","540","428","4617.0","2097","1539","511","47","53",".978","3","1",2020,"24","1","3"
"623","San Diego Padres","46","4.02",".695","60","540","408","4683.0","2096","1561","502","33","46",".984","9","2",2020,"5","0","-3"
"624","Seattle Mariners","48","5.05",".708","60","540","425","4650.0","2075","1550","502","23","48",".989","-2","-1",2020,"14","0","-3"
"625","San Francisco Giants","44","4.95",".699","60","540","373","4659.0","2086","1553","491","42","43",".980","7","2",2020,"4","0","2"
"626","St. Louis Cardinals","44","3.95",".731","58","522","374","4257.0","1941","1419","489","33","46",".983","26","7",2020,"36","1","2"
"627","Tampa Bay Rays","43","3.82",".693","60","540","355","4749.0","2157","1583","541","33","52",".985","10","2",2020,"26","2","-2"
"628","Texas Rangers","49","5.20",".704","60","540","430","4650.0","2057","1550","467","40","40",".981","5","1",2020,"10","0","0"
"629","Toronto Blue Jays","48","5.20",".681","60","540","396","4722.0","2143","1574","530","39","47",".982","3","1",2020,"-34","-1","0"
"630","Washington Nationals","43","5.02",".664","60","540","435","4533.0","2012","1511","462","39","48",".981","-22","-6",2020,"-48","-1","-2"
"631","Arizona Diamondbacks","64","5.51",".685","162","1458","1030","12756.0","5726","4252","1374","100","113",".983","-20","-2",2021,"-37","0","1"
"632","Atlanta Braves","55","4.07",".708","161","1449","1126","12696.0","5786","4232","1483","71","104",".988","60","6",2021,"50","2","5"
"633","Baltimore Orioles","62","5.90",".683","162","1458","1093","12618.0","5639","4206","1359","74","101",".987","-47","-4",2021,"-30","-1","-11"
"634","Boston Red Sox","56","4.62",".659","162","1458","1104","12771.0","5786","4257","1421","108","143",".981","-65","-6",2021,"4","-1","-3"
"635","Chicago Cubs","68","5.18",".691","162","1458","1039","12714.0","5879","4238","1554","87","149",".985","-21","-2",2021,"29","0","7"
"636","Chicago White Sox","47","3.93",".694","162","1458","1117","12630.0","5517","4210","1210","97","112",".982","-42","-4",2021,"-40","-5","-15"
"637","Cincinnati Reds","55","4.69",".688","162","1458","1052","12909.0","5816","4303","1422","91","125",".984","-33","-3",2021,"-32","0","6"
"638","Cleveland Indians","48","4.49",".703","162","1458","1149","12672.0","5710","4224","1400","86","138",".985","27","3",2021,"2","0","-3"
"639","Colorado Rockies","45","4.94",".686","161","1449","1094","12573.0","5780","4191","1516","73","140",".987","22","2",2021,"61","5","3"
"640","Detroit Tigers","49","4.67",".698","162","1458","1145","12777.0","5834","4259","1492","83","136",".986","-22","-2",2021,"-35","-1","-10"
"641","Houston Astros","51","4.06",".713","162","1458","1153","13005.0","5836","4335","1432","69","126",".988","53","5",2021,"76","0","1"
"642","Kansas City Royals","47","4.86",".685","162","1458","1114","12756.0","5758","4252","1422","84","152",".985","20","2",2021,"23","-1","5"
"643","Los Angeles Angels","64","4.96",".680","162","1458","1108","12795.0","5772","4265","1419","88","131",".985","-34","-3",2021,"-29","-1","-3"
"644","Los Angeles Dodgers","61","3.46",".723","162","1458","1021","13068.0","5748","4356","1303","89","94",".985","30","3",2021,"36","0","-3"
"645","Miami Marlins","61","4.33",".689","162","1458","1107","12735.0","5810","4245","1443","122","146",".979","4","0",2021,"55","1","-7"
"646","Milwaukee Brewers","60","3.85",".708","162","1458","1041","12924.0","5733","4308","1331","94","102",".984","34","3",2021,"61","0","0"
"647","Minnesota Twins","56","5.15",".692","162","1458","1066","12774.0","5785","4258","1420","107","139",".982","-10","-1",2021,"32","0","6"
"648","New York Mets","64","4.12",".697","162","1458","1069","12414.0","5545","4138","1312","95","121",".983","15","1",2021,"48","0","0"
"649","New York Yankees","59","4.13",".698","162","1458","1044","12918.0","5722","4306","1318","98","115",".983","-37","-3",2021,"-41","-1","-9"
"650","Oakland Athletics","50","4.24",".698","162","1458","1101","12897.0","5691","4299","1320","72","116",".987","-9","-1",2021,"-10","0","-6"
"651","Philadelphia Phillies","55","4.60",".687","162","1458","1053","12768.0","5789","4256","1439","94","142",".984","-54","-5",2021,"-54","0","1"
"652","Pittsburgh Pirates","64","5.14",".687","162","1458","1129","12567.0","5637","4189","1378","70","139",".988","-25","-2",2021,"-9","1","8"
"653","San Diego Padres","54","4.37",".698","162","1458","1119","12870.0","5771","4290","1399","82","139",".986","-10","-1",2021,"16","0","6"
"654","Seattle Mariners","62","4.62",".699","162","1458","1166","12963.0","5784","4321","1384","79","135",".986","-6","-1",2021,"-1","0","-2"
"655","San Francisco Giants","54","3.67",".707","162","1458","913","13095.0","5916","4365","1471","80","122",".986","38","4",2021,"32","0","-2"
"656","St. Louis Cardinals","51","4.15",".714","162","1458","1147","12753.0","5849","4251","1514","84","137",".986","52","5",2021,"81","4","5"
"657","Tampa Bay Rays","61","4.02",".706","162","1458","1038","13101.0","5805","4367","1358","80","130",".986","33","3",2021,"72","2","-5"
"658","Texas Rangers","54","5.03",".698","162","1458","1199","12819.0","5818","4273","1462","83","146",".986","58","5",2021,"86","1","-3"
"659","Toronto Blue Jays","61","4.09",".700","162","1458","1047","12648.0","5677","4216","1371","90","122",".984","7","1",2021,"22","1","-2"
"660","Washington Nationals","59","5.06",".694","162","1458","1168","12549.0","5641","4184","1361","96","116",".983","-29","-3",2021,"12","0","13"
"661","Arizona Diamondbacks","57","4.57",".704","162","1458","1097","12870.0","5746","4290","1370","86","134",".985","29","3",2022,"55","-1","-4"
"662","Atlanta Braves","53","3.76",".701","162","1458","1195","13032.0","5803","4344","1382","77","110",".987","18","2",2022,"31","2","4"
"663","Baltimore Orioles","57","4.25",".690","162","1458","1121","12900.0","5920","4300","1529","91","151",".985","6","1",2022,"38","2","3"
"664","Boston Red Sox","53","4.86",".683","162","1458","1105","12879.0","5825","4293","1447","85","134",".985","3","0",2022,"-2","-2","-8"
"665","Chicago Cubs","64","4.51",".697","162","1458","1086","12993.0","5880","4331","1453","96","139",".984","3","0",2022,"2","0","-1"
"666","Chicago White Sox","44","4.43",".688","162","1458","1093","13029.0","5738","4343","1293","102","122",".982","-59","-5",2022,"-35","-2","-11"
"667","Cincinnati Reds","65","5.03",".689","162","1458","1095","12810.0","5647","4270","1296","81","115",".986","-34","-3",2022,"-43","-1","0"
"668","Cleveland Guardians","50","3.91",".709","162","1458","1131","13104.0","5908","4368","1443","97","127",".984","45","4",2022,"77","0","-2"
"669","Colorado Rockies","43","5.39",".673","162","1458","1128","12828.0","5968","4276","1592","100","154",".983","-43","-4",2022,"6","0","-6"
"670","Detroit Tigers","52","4.40",".701","162","1458","1157","12777.0","5757","4259","1404","94","137",".984","9","1",2022,"26","0","-1"
"671","Houston Astros","44","3.20",".719","162","1458","1140","13008.0","5698","4336","1290","72","122",".987","45","4",2022,"67","0","3"
"672","Kansas City Royals","55","5.00",".675","162","1458","1109","12744.0","5829","4248","1499","82","153",".986","-24","-2",2022,"-37","-1","1"
"673","Los Angeles Angels","66","4.12",".709","162","1458","1004","12921.0","5773","4307","1382","84","134",".985","24","2",2022,"8","-1","-5"
"674","Los Angeles Dodgers","51","3.17",".729","162","1458","1135","13062.0","5788","4354","1351","83","120",".986","68","6",2022,"84","2","3"
"675","Miami Marlins","56","4.17",".694","162","1458","1077","12936.0","5841","4312","1460","69","143",".988","13","1",2022,"12","1","5"
"676","Milwaukee Brewers","51","4.25",".704","162","1458","1110","13014.0","5848","4338","1419","91","122",".984","-1","0",2022,"51","1","0"
"677","Minnesota Twins","61","4.22",".702","162","1458","1061","12933.0","5701","4311","1307","83","121",".985","26","2",2022,"23","0","2"
"678","New York Mets","59","3.74",".692","162","1458","1103","12948.0","5742","4316","1359","67","128",".988","-33","-3",2022,"11","0","6"
