"","Tm","X.Fld","RA.G","DefEff","G","GS","CG","Inn","Ch","PO","A","E","DP","Fld.","Rtot","Rtot.yr","Year","Rdrs","Rdrs.yr","Rgood"
"434","Los Angeles Dodgers","49","3.81",".690","162","1458","1074","13182.0","6208","4394","1707","107","145",".983","6","1",2014,"6","4","0"
"435","Miami Marlins","44","4.16",".675","162","1458","1168","13119.0","6170","4373","1700","97","154",".984","-18","-2",2014,"-33","-1","1"
"436","Milwaukee Brewers","40","4.06",".696","162","1458","1110","13119.0","6074","4373","1602","99","130",".984","13","1",2014,"0","0","4"
"437","Minnesota Twins","48","4.80",".672","162","1458","1155","12915.0","5981","4305","1579","97","136",".984","-58","-5",2014,"-90","-1","7"
"438","New York Mets","45","3.81",".688","162","1458","1137","13173.0","6112","4391","1617","104","158",".983","-12","-1",2014,"12","0","-7"
"439","New York Yankees","58","4.10",".687","162","1458","1120","13077.0","5925","4359","1474","92","107",".984","-14","-1",2014,"7","0","-3"
"440","Oakland Athletics","43","3.53",".710","162","1458","1048","13170.0","6135","4390","1634","111","150",".982","20","2",2014,"28","0","6"
"441","Philadelphia Phillies","49","4.24",".693","162","1458","1154","13215.0","6161","4405","1673","83","133",".987","-7","-1",2014,"-33","0","-4"
"442","Pittsburgh Pirates","44","3.90",".694","162","1458","1043","13107.0","6316","4369","1838","109","148",".983","34","3",2014,"37","3","-4"
"443","San Diego Padres","51","3.56",".695","162","1458","1039","12948.0","5977","4316","1560","101","124",".983","29","3",2014,"42","2","-1"
"444","Seattle Mariners","44","3.42",".712","162","1458","1136","13068.0","6046","4356","1608","82","139",".986","33","3",2014,"8","0","-5"
"445","San Francisco Giants","46","3.79",".703","162","1458","1054","13041.0","6146","4347","1699","100","155",".984","46","4",2014,"20","2","-1"
"446","St. Louis Cardinals","45","3.72",".701","162","1458","1094","13038.0","6051","4346","1617","88","145",".985","35","3",2014,"54","4","6"
"447","Tampa Bay Rays","41","3.86",".700","162","1458","1108","13173.0","5788","4391","1309","88","96",".985","-21","-2",2014,"-26","-1","-6"
"448","Texas Rangers","64","4.77",".675","162","1458","1186","12837.0","5798","4279","1413","106","155",".982","-35","-3",2014,"-43","-1","-9"
"449","Toronto Blue Jays","55","4.23",".693","162","1458","995","12987.0","5944","4329","1528","87","130",".985","-13","-1",2014,"-28","-2","3"
"450","Washington Nationals","40","3.43",".691","162","1458","1167","13236.0","6137","4412","1625","100","139",".984","32","3",2014,"17","1","5"
"451","Arizona Diamondbacks","50","4.40",".693","162","1458","1107","13200.0","6183","4400","1697","86","146",".986","38","3",2015,"60","3","9"
"452","Atlanta Braves","60","4.69",".681","162","1458","1139","12828.0","5959","4276","1593","90","186",".985","-16","-2",2015,"-51","0","-2"
"453","Baltimore Orioles","48","4.28",".691","162","1458","1133","12912.0","5978","4304","1597","77","134",".987","-8","-1",2015,"6","0","7"
"454","Boston Red Sox","50","4.65",".680","162","1458","1138","13035.0","6067","4345","1625","97","148",".984","-16","-2",2015,"-2","0","-12"
"455","Chicago Cubs","50","3.75",".695","162","1458","1053","13152.0","6164","4384","1669","111","120",".982","1","0",2015,"6","2","-2"
"456","Chicago White Sox","40","4.33",".673","162","1458","1151","13074.0","6041","4358","1582","101","159",".983","-39","-4",2015,"-24","0","-1"
"457","Cincinnati Reds","49","4.65",".689","162","1458","1173","13080.0","6072","4360","1622","90","131",".985","0","0",2015,"-15","0","-4"
"458","Cleveland Indians","49","3.98",".699","161","1449","1152","12894.0","5905","4298","1528","79","136",".987","42","4",2015,"15","0","-3"
"459","Colorado Rockies","51","5.21",".668","162","1458","1107","12837.0","6192","4279","1818","95","171",".985","-6","-1",2015,"-36","0","6"
"460","Detroit Tigers","47","4.99",".690","161","1449","1103","13023.0","6048","4341","1621","86","165",".986","-12","-1",2015,"-4","0","-1"
"461","Houston Astros","46","3.81",".701","162","1458","1094","12969.0","6025","4323","1617","85","131",".986","14","1",2015,"31","2","2"
"462","Kansas City Royals","45","3.96",".701","162","1458","1172","13068.0","6055","4356","1611","88","138",".985","17","2",2015,"35","1","10"
"463","Los Angeles Angels of Anaheim","51","4.17",".701","162","1458","1058","12966.0","5906","4322","1491","93","108",".984","13","1",2015,"-1","0","-5"
"464","Los Angeles Dodgers","55","3.67",".692","162","1458","1084","13011.0","6139","4337","1727","75","133",".988","24","2",2015,"-1","0","4"
"465","Miami Marlins","51","4.19",".694","162","1458","1152","12843.0","5946","4281","1588","77","162",".987","9","1",2015,"18","0","-1"
"466","Milwaukee Brewers","49","4.55",".679","162","1458","1081","12915.0","6099","4305","1678","116","164",".981","2","0",2015,"-35","1","-5"
"467","Minnesota Twins","44","4.32",".687","162","1458","1151","12987.0","6052","4329","1637","86","150",".986","-14","-1",2015,"-38","0","3"
"468","New York Mets","49","3.78",".697","162","1458","1095","13164.0","6075","4388","1599","88","131",".986","-1","0",2015,"-11","0","0"
"469","New York Yankees","55","4.31",".685","162","1458","1037","13119.0","6060","4373","1594","93","135",".985","-29","-3",2015,"-32","-2","-7"
"470","Oakland Athletics","52","4.50",".691","162","1458","1105","13002.0","6102","4334","1642","126","154",".979","-23","-2",2015,"-13","0","-10"
