"Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Time","Managers","Year","Chall","Succ","Succ%"
"New York Mets","2,135,657","26,366",28.3,29.1,94,95,0,2,9,"$69,425,860","3:08","Collins",2013,NA,NA,NA
"New York Yankees","3,279,589","40,489",31.9,31.8,100,100,4,2,17,"$246,534,750","3:05","Girardi",2013,NA,NA,NA
"Oakland Athletics","1,809,302","22,337",28.3,28.3,98,97,0,2,15,"$69,440,000","3:05","Melvin",2013,NA,NA,NA
"Philadelphia Phillies","3,012,403","37,190",30,28.7,100,100,1,2,10,"$150,860,000","2:59","Manuel and Sandberg",2013,NA,NA,NA
"Pittsburgh Pirates","2,256,862","27,862",27.9,28.7,95,95,0,5,19,"$99,230,000","3:06","Hurdle",2013,NA,NA,NA
"San Diego Padres","2,166,691","26,749",28.1,28.8,91,91,0,1,11,"$65,988,600","3:00","Black",2013,NA,NA,NA
"Seattle Mariners","1,761,546","21,747",28.6,28,92,92,0,2,10,"$78,887,000","3:04","Wedge",2013,NA,NA,NA
"San Francisco Giants","3,369,106","41,087",28.7,29.6,93,92,0,4,12,"$139,845,667","3:05","Bochy",2013,NA,NA,NA
"St. Louis Cardinals","3,369,769","41,602",28.7,26.9,101,100,0,6,15,"$112,583,000","3:01","Matheny",2013,NA,NA,NA
"Tampa Bay Rays","1,510,300","18,646",29.5,29,97,96,0,2,12,"$71,163,500","3:11","Maddon",2013,NA,NA,NA
"Texas Rangers","3,178,273","38,759",29.6,27.9,103,103,1,3,18,"$139,261,200","3:04","Washington",2013,NA,NA,NA
"Toronto Blue Jays","2,536,562","31,316",29,30.9,102,103,0,4,12,"$124,517,800","2:55","Gibbons",2013,NA,NA,NA
"Washington Nationals","2,652,422","32,746",27.7,27.7,103,101,0,2,14,"$112,493,250","2:57","Johnson",2013,NA,NA,NA
"Arizona Diamondbacks","2,073,730","25,602",27.6,28,102,102,0,2,13,"$89,926,500","3:03","Gibson and Trammell",2014,37,19,"51%"
"Atlanta Braves","2,354,305","29,065",26.8,27.3,98,97,0,3,11,"$108,081,500","3:04","González",2014,34,23,"67%"
"Baltimore Orioles","2,464,473","30,426",28.3,27.7,103,103,0,3,17,"$109,097,500","3:07","Showalter",2014,28,14,"50%"
"Boston Red Sox","2,956,089","36,495",29.2,29.9,104,104,1,2,22,"$134,628,929","3:17","Farrell",2014,34,19,"55%"
"Chicago Cubs","2,652,113","32,742",26.8,28,102,103,0,3,8,"$59,800,500","3:12","Renteria",2014,57,25,"43%"
"Chicago White Sox","1,650,821","20,381",27.7,27.4,97,98,0,3,9,"$87,475,500","3:08","Ventura",2014,36,17,"47%"
"Cincinnati Reds","2,476,664","30,576",29,28,100,100,0,5,11,"$102,230,000","3:03","Price",2014,27,12,"44%"
"Cleveland Indians","1,437,393","17,746",28.6,27.2,103,102,0,1,14,"$73,509,399","3:12","Francona",2014,33,17,"51%"
"Colorado Rockies","2,680,329","33,090",27.4,28.5,116,116,0,2,9,"$95,403,500","3:12","Weiss",2014,37,14,"37%"
"Detroit Tigers","2,917,209","36,015",29.8,28.5,101,101,0,4,18,"$169,135,500","3:14","Ausmus",2014,39,23,"58%"
"Houston Astros","1,751,829","21,628",25.4,27.9,100,101,0,1,6,"$44,736,800","3:10","Porter and Lawless",2014,31,19,"61%"
"Kansas City Royals","1,956,482","24,154",28.2,28.9,104,103,0,3,16,"$89,804,075","3:02","Yost",2014,35,22,"62%"
"Los Angeles Angels of Anaheim","3,095,935","38,221",29.3,28.4,95,94,0,2,14,"$128,667,000","3:15","Scioscia",2014,36,20,"55%"
"Los Angeles Dodgers","3,782,337","46,696",29.3,29.9,96,95,0,4,21,"$233,386,026","3:14","Mattingly",2014,38,21,"55%"
"Miami Marlins","1,732,283","21,386",27.4,26.4,100,101,0,2,13,"$42,365,400","3:05","Redmond",2014,27,19,"70%"
"Milwaukee Brewers","2,797,384","34,536",28.8,29,103,103,0,4,15,"$109,567,000","3:07","Roenicke",2014,27,17,"62%"
"Minnesota Twins","2,250,606","27,785",27.5,29.2,102,102,1,2,12,"$87,044,000","3:07","Gardenhire",2014,40,21,"52%"
"New York Mets","2,148,808","26,528",28.4,28.9,94,94,0,1,11,"$82,663,615","3:08","Collins",2014,31,14,"45%"
"New York Yankees","3,401,624","41,995",32.8,29.3,100,100,3,3,19,"$258,118,959","3:12","Girardi",2014,30,24,"80%"
"Oakland Athletics","2,003,628","24,736",29.6,28.2,98,97,0,6,16,"$89,160,900","3:05","Melvin",2014,26,14,"53%"
"Philadelphia Phillies","2,423,852","29,924",30.8,30.1,101,102,0,1,12,"$176,444,967","3:09","Sandberg",2014,32,14,"43%"
"Pittsburgh Pirates","2,442,564","30,155",27.3,28.1,99,98,0,3,14,"$80,729,000","3:09","Hurdle",2014,35,20,"57%"
"San Diego Padres","2,195,373","27,103",27.9,28.8,92,92,0,2,6,"$76,662,100","3:01","Black",2014,33,17,"51%"
"Seattle Mariners","2,064,334","25,486",27.5,29,95,95,0,4,13,"$95,471,000","2:59","McClendon",2014,35,20,"57%"
"San Francisco Giants","3,368,697","41,589",28.6,31.7,95,94,0,3,16,"$163,510,167","3:05","Bochy",2014,35,22,"62%"
"St. Louis Cardinals","3,540,649","43,712",28.6,27.2,100,99,0,4,15,"$129,932,500","3:03","Matheny",2014,32,13,"40%"
"Tampa Bay Rays","1,446,464","17,858",29.3,28.4,97,97,0,1,14,"$77,814,300","3:19","Maddon",2014,49,21,"42%"
"Texas Rangers","2,718,733","33,565",28.4,27.9,104,104,1,2,16,"$129,801,239","3:06","Washington and Bogar",2014,43,22,"51%"
"Toronto Blue Jays","2,375,525","29,327",29.2,29.6,100,99,0,3,14,"$136,466,200","3:01","Gibbons",2014,47,16,"34%"
"Washington Nationals","2,579,389","31,844",28.8,28.3,104,102,0,2,15,"$137,235,080","3:05","Williams",2014,32,21,"65%"
"Arizona Diamondbacks","2,080,145","25,681",26.6,27.1,105,105,0,2,8,"$64,434,000","3:10","Hale",2015,34,21,"61%"
"Atlanta Braves","2,001,392","24,709",28.8,26.6,97,98,0,1,13,"$104,037,500","2:55","González",2015,46,22,"47%"
"Baltimore Orioles","2,281,202","29,246",27.9,28.3,102,102,0,4,13,"$112,989,833","2:55","Showalter",2015,30,17,"56%"
"Boston Red Sox","2,880,694","35,564",28.3,28.6,107,107,1,1,20,"$183,931,900","3:06","Farrell",2015,52,21,"40%"
"Chicago Cubs","2,919,122","36,039",26.9,29.3,98,97,0,2,18,"$115,306,610","3:02","Maddon",2015,48,28,"58%"
"Chicago White Sox","1,755,810","21,677",28.2,27.8,96,97,0,1,11,"$112,889,700","3:00","Ventura",2015,41,21,"51%"
"Cincinnati Reds","2,419,506","29,870",29.5,27.3,100,101,0,2,13,"$111,572,286","3:02","Price",2015,33,20,"60%"
"Cleveland Indians","1,388,905","17,361",28,27.3,107,107,0,1,13,"$59,163,766","3:00","Francona",2015,28,15,"53%"
"Colorado Rockies","2,506,789","30,948",28,28.7,118,118,0,3,8,"$96,438,600","3:06","Weiss",2015,47,25,"53%"
"Detroit Tigers","2,726,048","33,655",28.3,28.7,99,99,0,4,17,"$172,284,750","3:09","Ausmus",2015,27,11,"40%"
"Houston Astros","2,153,585","26,587",26.3,29.4,97,97,0,2,12,"$93,256,200","3:03","Hinch",2015,48,23,"47%"
"Kansas City Royals","2,708,549","33,439",29.1,30,104,104,0,7,16,"$121,590,475","3:00","Yost",2015,33,21,"63%"
"Los Angeles Angels of Anaheim","3,012,765","37,195",28.7,28.3,94,94,0,3,11,"$131,522,500","3:00","Scioscia",2015,40,24,"60%"
"Los Angeles Dodgers","3,764,815","46,479",29.5,28.1,95,94,0,5,16,"$265,140,429","3:03","Mattingly",2015,41,17,"41%"
"Miami Marlins","1,752,235","21,633",27.9,27.3,96,97,1,2,12,"$71,231,500","2:51","Redmond and Jennings",2015,31,19,"61%"
"Milwaukee Brewers","2,542,558","31,390",28.1,28.4,100,101,0,2,13,"$70,869,500","3:01","Roenicke and Counsell",2015,30,16,"53%"
"Minnesota Twins","2,220,054","27,408",28.3,29.1,100,101,1,2,14,"$107,755,000","2:57","Molitor",2015,42,26,"61%"
"New York Mets","2,569,753","31,725",28.6,28.2,97,97,0,1,13,"$98,874,473","2:56","Collins",2015,35,19,"54%"
"New York Yankees","3,193,795","39,430",31.4,27.4,101,101,1,3,16,"$214,051,957","3:08","Girardi",2015,30,22,"73%"
"Oakland Athletics","1,768,175","21,829",27.9,27.8,97,97,0,2,14,"$64,016,001","3:01","Melvin",2015,29,15,"51%"
"Philadelphia Phillies","1,831,080","22,606",28,28.5,97,98,0,1,11,"$103,082,167","2:58","Sandberg and Mackanin",2015,38,24,"63%"
"Pittsburgh Pirates","2,498,596","30,847",28.2,29.6,99,99,0,4,15,"$104,457,499","3:06","Hurdle",2015,44,25,"56%"
"San Diego Padres","2,459,752","30,367",27.6,29.1,95,95,0,1,8,"$125,203,700","3:01","Black, Roberts and Murphy",2015,43,19,"44%"
"Seattle Mariners","2,193,581","27,081",28.6,28.6,95,95,0,2,13,"$130,681,400","3:01","McClendon",2015,38,27,"71%"
"San Francisco Giants","3,375,882","41,678",28.9,31.5,99,98,0,4,13,"$180,018,166","3:02","Bochy",2015,38,21,"55%"
"St. Louis Cardinals","3,520,889","43,468",28.4,28.2,101,100,0,6,14,"$128,241,500","2:59","Matheny",2015,31,16,"51%"
"Tampa Bay Rays","1,287,054","15,322",28.5,26.7,96,97,0,2,10,"$64,571,233","2:59","Cash",2015,54,17,"31%"
"Texas Rangers","2,491,875","30,764",28.7,28.1,105,105,1,1,13,"$178,860,789","3:04","Banister",2015,50,17,"34%"
"Toronto Blue Jays","2,794,891","34,505",29.6,29.2,103,102,0,3,19,"$117,917,400","2:53","Gibbons",2015,45,20,"44%"
"Washington Nationals","2,619,843","32,344",28.4,28.6,102,101,0,2,16,"$176,496,372","2:54","Williams",2015,29,12,"41%"
"Arizona Diamondbacks","2,036,216","25,138",26.7,26.4,107,107,0,1,12,"$78,399,500","3:14","Hale",2016,37,22,"59%"
"Atlanta Braves","2,020,914","24,950",28.9,26.4,98,99,0,1,13,"$74,999,750","3:08","González and Snitker",2016,42,18,"42%"
"Baltimore Orioles","2,172,344","26,819",28.5,27.9,102,102,0,5,17,"$153,744,833","3:00","Showalter",2016,39,20,"51%"
"Boston Red Sox","2,955,434","36,487",28.5,29,106,106,1,6,18,"$218,682,750","3:12","Farrell",2016,46,20,"43%"
"Chicago Cubs","3,232,420","39,906",27.4,29.9,101,100,0,7,19,"$176,097,333","3:05","Maddon",2016,42,21,"50%"
"Chicago White Sox","1,746,293","21,559",28.3,28.6,96,96,0,2,16,"$113,416,000","3:03","Ventura",2016,39,20,"51%"
"Cincinnati Reds","1,894,085","23,384",27.8,27.1,101,102,0,2,10,"$77,329,561","3:04","Price",2016,51,25,"49%"
"Cleveland Indians","1,591,667","19,650",29,28.1,109,107,0,3,13,"$94,511,067","3:03","Francona",2016,49,28,"57%"
"Colorado Rockies","2,602,524","32,130",27.8,27.7,116,116,0,2,10,"$89,707,000","3:11","Weiss",2016,54,32,"59%"
"Detroit Tigers","2,493,859","31,173",30,29,100,101,0,1,15,"$199,902,000","3:05","Ausmus",2016,34,19,"55%"
"Houston Astros","2,306,623","28,477",26.4,28.9,94,93,0,2,13,"$89,498,000","3:04","Hinch",2016,37,16,"43%"
"Kansas City Royals","2,557,712","31,577",28.5,29.9,102,102,0,4,15,"$125,132,675","2:59","Yost",2016,37,25,"67%"
"Los Angeles Angels","3,016,142","37,236",28.5,28.4,95,95,0,1,9,"$139,712,000","3:04","Scioscia",2016,38,21,"55%"
"Los Angeles Dodgers","3,703,312","45,720",28.9,28.9,97,96,0,3,18,"$231,342,096","3:10","Roberts",2016,35,19,"54%"
"Miami Marlins","1,712,417","21,405",28.3,28,93,94,1,4,11,"$72,472,000","3:05","Mattingly",2016,53,34,"64%"
"Milwaukee Brewers","2,314,614","28,575",27.5,28.1,102,102,0,1,9,"$52,077,500","3:08","Counsell",2016,47,22,"46%"
"Minnesota Twins","1,963,912","24,246",26.9,28.3,100,100,1,1,17,"$93,333,700","3:05","Molitor",2016,28,17,"60%"
"New York Mets","2,789,602","34,440",29.5,28.4,96,96,0,4,14,"$155,221,282","3:05","Collins",2016,28,18,"64%"
"New York Yankees","3,063,405","37,820",30.1,27.9,103,102,1,3,20,"$193,229,350","3:03","Girardi",2016,28,18,"64%"
"Oakland Athletics","1,521,506","18,784",28.7,27.9,96,97,0,1,12,"$54,969,067","2:56","Melvin",2016,34,22,"64%"
"Philadelphia Phillies","1,915,144","23,644",26.9,26.3,99,100,0,1,6,"$84,846,666","3:03","Mackanin",2016,46,26,"56%"
"Pittsburgh Pirates","2,249,201","27,768",28.9,28.6,99,99,0,2,17,"$81,187,933","3:11","Hurdle",2016,55,25,"45%"
"San Diego Padres","2,351,422","29,030",28.1,28.1,95,95,0,2,11,"$50,656,166","3:06","Green",2016,57,27,"47%"
"Seattle Mariners","2,267,928","27,999",30.5,28.8,96,96,0,1,12,"$137,169,100","3:02","Servais",2016,37,22,"59%"
"San Francisco Giants","3,365,256","41,546",29.1,30,96,96,0,4,15,"$177,021,333","3:10","Bochy",2016,49,31,"63%"
"St. Louis Cardinals","3,444,490","42,525",28.5,28,98,97,0,2,13,"$150,353,500","3:01","Matheny",2016,54,28,"51%"
"Tampa Bay Rays","1,286,163","15,879",27.7,26.9,95,95,0,1,10,"$48,223,791","3:01","Cash",2016,49,29,"59%"
"Texas Rangers","2,710,402","33,462",28.4,28.8,107,108,1,2,15,"$212,117,760","3:00","Banister",2016,51,23,"45%"
"Toronto Blue Jays","3,392,099","41,878",30.1,29.8,102,101,0,5,17,"$182,690,767","3:00","Gibbons",2016,49,19,"38%"
"Washington Nationals","2,481,938","30,641",28.8,29.1,103,102,0,5,16,"$152,967,400","3:08","Baker",2016,47,19,"40%"
"Arizona Diamondbacks","2,134,375","26,350",28.3,28.7,108,108,0,4,11,"$106,580,200","3:09","Lovullo",2017,32,16,"50%"
"Atlanta Braves","2,505,252","30,929",28.6,29.4,100,100,0,1,14,"$119,705,250","3:04","Snitker",2017,47,19,"40%"
"Baltimore Orioles","2,028,424","25,042",28.6,28.2,97,99,0,1,18,"$161,621,633","3:09","Showalter",2017,26,17,"65%"
"Boston Red Sox","2,917,678","36,021",27.3,28.4,105,104,0,3,18,"$200,550,750","3:20","Farrell",2017,43,16,"37%"
"Chicago Cubs","3,199,562","39,501",27.1,30.8,103,101,0,1,18,"$177,210,667","3:09","Maddon",2017,53,28,"52%"
"Chicago White Sox","1,629,470","20,117",26.7,28.7,97,98,0,1,14,"$97,842,000","3:10","Renteria",2017,35,17,"48%"
"Cincinnati Reds","1,836,917","22,678",27.2,27.6,101,103,0,2,10,"$79,315,786","3:03","Price",2017,38,19,"50%"
"Cleveland Indians","2,048,138","25,286",28.1,28.9,106,104,0,5,13,"$114,427,167","3:06","Francona",2017,32,15,"46%"
"Colorado Rockies","2,953,650","36,465",28.3,27,117,116,0,4,14,"$106,650,000","3:11","Black",2017,38,16,"42%"
"Detroit Tigers","2,321,599","28,662",29.6,28.3,101,102,0,2,16,"$118,375,600","3:14","Ausmus",2017,37,16,"43%"
"Houston Astros","2,403,671","29,675",28.8,28.5,94,93,0,6,16,"$157,656,400","3:10","Hinch",2017,39,18,"46%"
"Kansas City Royals","2,220,370","27,412",28.9,30.3,101,102,0,3,19,"$127,555,817","3:02","Yost",2017,34,24,"70%"
"Los Angeles Angels","3,019,585","37,279",29.9,29.1,97,97,0,1,8,"$181,125,500","3:11","Scioscia",2017,39,21,"53%"
"Los Angeles Dodgers","3,765,856","46,492",27.9,29.7,96,95,0,6,20,"$201,466,263","3:11","Roberts",2017,36,23,"63%"
"Miami Marlins","1,583,014","20,295",28.3,28.7,90,91,1,2,10,"$111,591,100","3:06","Mattingly",2017,35,18,"51%"
"Milwaukee Brewers","2,627,705","31,282",27.4,28.3,101,101,0,1,10,"$68,439,300","3:10","Counsell",2017,43,17,"39%"
"Minnesota Twins","2,051,279","25,324",27.1,29.6,100,101,1,3,17,"$103,932,500","3:11","Molitor",2017,28,19,"67%"
"New York Mets","2,460,622","30,378",28.9,27.5,94,95,0,1,14,"$176,615,252","3:09","Collins",2017,39,23,"58%"
"New York Yankees","3,154,938","38,950",28.6,27.8,104,103,1,5,17,"$182,424,700","3:16","Girardi",2017,40,30,"75%"
"Oakland Athletics","1,475,721","18,219",28.7,27.9,95,95,0,1,13,"$51,560,000","3:09","Melvin",2017,32,16,"50%"
"Philadelphia Phillies","1,905,354","23,523",26.6,26.8,98,99,0,1,7,"$86,276,000","3:08","Mackanin",2017,29,17,"58%"
"Pittsburgh Pirates","1,919,447","23,697",28.2,27.1,97,98,0,1,11,"$102,953,333","3:07","Hurdle",2017,49,31,"63%"
"San Diego Padres","2,138,491","26,401",26.2,27.7,95,97,0,1,7,"$49,248,767","3:00","Green",2017,42,17,"40%"
"Seattle Mariners","2,135,445","26,364",29.6,27.9,95,95,0,2,13,"$172,438,700","3:06","Servais",2017,34,17,"50%"
"San Francisco Giants","3,303,652","40,786",29.5,28.9,98,98,0,1,14,"$177,399,833","3:04","Bochy",2017,31,19,"61%"
"St. Louis Cardinals","3,448,337","42,572",28,28.3,98,97,0,2,15,"$129,652,933","3:04","Matheny",2017,50,26,"52%"
"Tampa Bay Rays","1,253,619","15,477",28.3,27.6,96,96,0,2,13,"$79,473,033","3:13","Cash",2017,59,29,"49%"
"Texas Rangers","2,507,760","30,960",28.4,28.8,110,110,1,1,14,"$207,326,274","3:13","Banister",2017,62,33,"53%"
"Toronto Blue Jays","3,203,886","39,554",31,28.8,101,102,0,2,15,"$158,890,575","3:09","Gibbons",2017,45,12,"26%"
"Washington Nationals","2,524,980","31,173",29.2,30.1,104,103,0,5,15,"$175,587,301","3:09","Baker",2017,32,12,"37%"
"Arizona Diamondbacks","2,242,695","27,688",29.2,29.6,105,104,0,3,13,"$134,850,600","3:10","Lovullo",2018,45,26,"57%"
"Atlanta Braves","2,555,781","31,553",27.4,27.7,101,101,0,4,16,"$115,848,667","3:04","Snitker",2018,45,18,"40%"
"Baltimore Orioles","1,564,192","19,311",28.4,27.1,98,100,0,1,17,"$141,555,833","3:01","Showalter",2018,27,15,"55%"
"Boston Red Sox","2,895,575","35,748",27.7,28.9,104,103,0,5,20,"$222,205,000","3:13","Cora",2018,43,22,"51%"
"Chicago Cubs","3,181,089","38,794",27.2,30.2,104,103,0,3,16,"$205,373,881","3:09","Maddon",2018,43,27,"62%"
"Chicago White Sox","1,608,817","19,862",26.5,27.6,98,99,0,1,10,"$75,092,000","3:08","Renteria",2018,40,20,"50%"
"Cincinnati Reds","1,629,356","20,116",27.2,27.1,102,103,0,3,10,"$94,587,500","3:03","Price and Riggleman",2018,38,14,"36%"
"Cleveland Indians","1,926,701","23,786",29.4,29.4,103,101,0,6,16,"$143,375,233","3:03","Francona",2018,37,16,"43%"
"Colorado Rockies","3,015,880","37,233",28.7,27.9,117,117,0,3,13,"$136,658,500","3:04","Black",2018,46,24,"52%"
"Detroit Tigers","1,856,970","22,926",27.9,28.6,103,105,0,1,10,"$111,531,000","3:00","Gardenhire",2018,32,19,"59%"
"Houston Astros","2,980,549","36,797",28.1,30,99,97,0,6,16,"$172,781,200","3:04","Hinch",2018,34,14,"41%"
"Kansas City Royals","1,665,107","20,557",28.6,27.6,100,101,0,1,8,"$95,199,167","2:57","Yost",2018,41,31,"75%"
"Los Angeles Angels","3,020,216","37,287",29.5,27.5,98,98,0,1,8,"$166,849,666","3:09","Scioscia",2018,42,23,"54%"
"Los Angeles Dodgers","3,857,500","47,043",28.1,29.2,98,96,0,3,19,"$164,703,429","3:13","Roberts",2018,39,18,"46%"
"Miami Marlins","811,104","10,014",27.5,27.6,94,95,0,1,6,"$86,515,143","3:02","Mattingly",2018,41,22,"53%"
"Milwaukee Brewers","2,850,875","35,196",28.9,28.8,102,101,0,5,18,"$109,295,700","3:07","Counsell",2018,34,7,"20%"
"Minnesota Twins","1,959,197","24,188",28.2,28.5,101,100,1,1,17,"$110,275,000","3:10","Molitor",2018,45,21,"46%"
"New York Mets","2,224,995","27,469",28.4,28,92,92,0,1,20,"$161,403,844","3:01","Callaway",2018,29,15,"51%"
"New York Yankees","3,482,855","42,998",27.2,28.8,100,98,1,4,16,"$160,643,032","3:11","Boone",2018,35,26,"74%"
"Oakland Athletics","1,573,616","19,427",28,29.2,97,97,0,2,14,"$69,883,333","3:05","Melvin",2018,42,21,"50%"
"Philadelphia Phillies","2,158,124","26,644",26.7,26.8,102,102,0,1,9,"$93,874,333","3:10","Kapler",2018,44,27,"61%"
"Pittsburgh Pirates","1,465,316","18,316",27.8,26.5,96,97,0,1,13,"$88,141,000","3:04","Hurdle",2018,48,23,"47%"
"San Diego Padres","2,168,536","26,772",26.9,27.7,93,95,0,1,7,"$93,821,067","3:00","Green",2018,44,19,"43%"
"Seattle Mariners","2,299,489","28,389",29.8,29,94,95,1,4,14,"$157,090,065","2:58","Servais",2018,37,13,"35%"
"San Francisco Giants","3,156,185","38,965",29.8,28.6,93,94,0,2,14,"$202,060,277","3:01","Bochy",2018,31,23,"74%"
"St. Louis Cardinals","3,403,587","42,020",28.1,26.7,97,96,0,2,14,"$157,713,667","3:10","Matheny and Shildt",2018,47,18,"38%"
"Tampa Bay Rays","1,154,973","14,259",27.1,27.1,97,96,0,2,14,"$46,569,867","3:01","Cash",2018,54,26,"48%"
"Texas Rangers","2,107,107","26,014",27.4,30.4,110,111,1,1,12,"$106,099,628","3:04","Banister and Wakamatsu",2018,42,17,"40%"
"Toronto Blue Jays","2,325,281","28,707",29,29.3,98,99,0,1,13,"$151,670,772","2:59","Gibbons",2018,39,18,"46%"
"Washington Nationals","2,529,604","31,230",27.5,30.2,106,105,0,3,16,"$188,886,699","3:07","Martinez",2018,40,21,"52%"
"Arizona Diamondbacks","2,135,510","26,364",28.7,28.6,101,101,0,2,10,"$124,016,266","3:15","Lovullo",2019,36,21,"58%"
"Atlanta Braves","2,654,920","32,777",28,27.5,106,104,0,3,21,"$133,186,667","3:13","Snitker",2019,30,16,"53%"
"Baltimore Orioles","1,307,807","16,146",26.5,27.3,100,102,0,1,8,"$82,696,100","3:07","Hyde",2019,30,11,"36%"
"Boston Red Sox","2,915,502","35,994",27.3,29,106,105,0,3,15,"$218,978,142","3:25","Cora",2019,33,22,"66%"
"Chicago Cubs","3,094,865","38,208",27.7,31.1,100,100,0,3,19,"$220,305,215","3:12","Maddon",2019,32,16,"50%"
"Chicago White Sox","1,649,775","20,622",27.6,27.6,98,99,0,3,11,"$80,846,333","3:10","Renteria",2019,28,12,"42%"
"Cincinnati Reds","1,809,075","22,334",27.9,28.2,106,106,0,2,14,"$109,737,499","3:03","Bell",2019,34,14,"41%"
"Cleveland Indians","1,738,642","21,465",27.8,28.3,104,102,0,4,13,"$151,257,783","3:03","Francona",2019,27,15,"55%"
"Colorado Rockies","2,993,244","36,954",28.2,27.3,116,117,0,4,13,"$145,348,500","3:14","Black",2019,38,20,"52%"
"Detroit Tigers","1,501,430","18,536",27.6,27.8,101,103,0,1,12,"$100,618,500","3:02","Gardenhire",2019,34,14,"41%"
"Houston Astros","2,857,367","35,276",28.9,29.9,103,100,0,6,18,"$166,042,500","3:05","Hinch",2019,39,20,"51%"
"Kansas City Royals","1,479,659","18,267",27.6,27.9,102,103,0,1,5,"$98,183,242","3:03","Yost",2019,28,23,"82%"
"Los Angeles Angels","3,023,012","37,321",28.8,27,100,100,0,2,10,"$158,078,584","3:15","Ausmus",2019,31,17,"54%"
"Los Angeles Dodgers","3,974,309","49,066",27.9,28.9,97,94,0,5,16,"$193,553,333","3:12","Roberts",2019,34,19,"55%"
"Miami Marlins","811,302","10,016",28.4,26.5,96,97,0,1,8,"$74,683,643","3:05","Mattingly",2019,43,22,"51%"
"Milwaukee Brewers","2,923,333","36,091",28.9,28.7,101,101,0,5,15,"$128,842,900","3:16","Counsell",2019,28,16,"57%"
"Minnesota Twins","2,303,299","28,436",27.8,28.2,99,98,0,3,15,"$113,758,333","3:14","Baldelli",2019,39,12,"30%"
"New York Mets","2,442,532","30,155",27.9,28.6,93,93,0,3,19,"$154,837,230","3:09","Callaway",2019,36,13,"36%"
"New York Yankees","3,304,404","40,795",28.3,30.2,98,96,1,5,17,"$228,442,421","3:11","Boone",2019,22,15,"68%"
"Oakland Athletics","1,670,734","20,626",27.8,30.8,94,93,0,2,12,"$102,935,833","3:07","Melvin",2019,29,12,"41%"
"Philadelphia Phillies","2,727,421","33,672",27.6,28.4,101,101,0,1,13,"$141,786,962","3:15","Kapler",2019,43,23,"53%"
"Pittsburgh Pirates","1,491,439","18,413",27.4,27.2,97,98,0,2,13,"$72,915,501","3:12","Hurdle and Prince",2019,36,15,"41%"
"San Diego Padres","2,396,399","29,585",26.1,26.3,94,95,0,1,11,"$90,260,767","3:07","Green and Barajas",2019,54,25,"46%"
"Seattle Mariners","1,791,109","22,112",27.8,28.6,94,94,1,1,10,"$126,874,600","3:08","Servais",2019,38,18,"47%"
"San Francisco Giants","2,707,760","33,429",29.9,28.9,95,95,0,1,16,"$175,450,753","3:07","Bochy",2019,28,15,"53%"
"St. Louis Cardinals","3,480,393","42,968",28.8,27.8,96,95,0,1,15,"$161,120,267","3:10","Shildt",2019,39,16,"41%"
"Tampa Bay Rays","1,178,735","14,552",27.2,27.8,96,95,0,3,12,"$57,098,067","3:11","Cash",2019,48,22,"45%"
"Texas Rangers","2,132,994","26,333",28.8,28.3,111,112,0,3,11,"$104,433,499","3:11","Woodward",2019,46,29,"63%"
"Toronto Blue Jays","1,750,144","21,607",25.9,28,97,98,0,1,10,"$62,180,671","3:07","Montoyo",2019,39,17,"43%"
"Washington Nationals","2,259,781","27,899",28.7,30.8,102,102,0,2,16,"$203,016,595","3:12","Martinez",2019,31,15,"48%"
"Arizona Diamondbacks",NA,NA,29.1,27.7,99,100,0,0,9,"$88,176,667","3:08","Lovullo",2020,24,10,"41%"
"Atlanta Braves",NA,NA,28.2,28.5,106,104,0,0,20,"$130,705,000","3:13","Snitker",2020,14,4,"28%"
"Baltimore Orioles",NA,NA,26.3,28.3,103,105,0,0,9,"$52,190,000","3:04","Hyde",2020,24,8,"33%"
"Boston Red Sox",NA,NA,27.1,29.1,108,108,0,0,11,"$171,984,429","3:20","Roenicke",2020,21,16,"76%"
"Chicago Cubs",NA,NA,27.9,30.3,100,100,0,0,13,"$181,560,000","3:06","Ross",2020,17,10,"58%"
"Chicago White Sox",NA,NA,27.7,27.6,100,100,0,0,14,"$119,066,333","3:10","Renteria",2020,15,11,"73%"
"Cincinnati Reds",NA,NA,29.2,28.6,109,109,0,0,10,"$120,781,165","2:58","Bell",2020,23,11,"47%"
"Cleveland Indians",NA,NA,28,27.6,101,100,0,0,6,"$101,991,668","3:06","Francona",2020,26,10,"38%"
"Colorado Rockies",NA,NA,28.7,27.3,114,115,0,0,13,"$144,730,000","3:10","Black",2020,17,7,"41%"
"Detroit Tigers",NA,NA,27.6,26.6,100,102,0,0,10,"$88,385,000","2:59","Gardenhire and McClendon",2020,18,12,"66%"
"Houston Astros",NA,NA,29.2,27,102,100,0,0,15,"$217,000,000","3:08","Baker",2020,13,4,"30%"
"Kansas City Royals",NA,NA,27.8,27.1,104,105,0,0,8,"$68,600,000","3:05","Matheny",2020,7,5,"71%"
"Los Angeles Angels",NA,NA,28.5,27.4,101,102,0,0,9,"$181,254,762","3:14","Maddon",2020,23,13,"56%"
"Los Angeles Dodgers",NA,NA,28,27.6,99,97,0,0,16,"$216,508,333","3:09","Roberts",2020,19,11,"57%"
