"Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Time","Managers","Year","Chall","Succ","Succ%"
"Minnesota Twins","1,782,929","22,011",26.2,27.4,101,101,1,3,15,"$24,130,000","2:56","Kelly",2001,NA,NA,NA
"Montreal Expos","642,745","7,935",27.6,27.4,101,102,2,1,7,"$35,159,500","2:51","Alou and Torborg",2001,NA,NA,NA
"New York Mets","2,658,330","32,819",30.4,31.1,95,95,1,2,10,"$93,174,428","3:02","Valentine",2001,NA,NA,NA
"New York Yankees","3,264,907","40,811",31.3,30.9,101,100,3,7,17,"$112,787,143","3:09","Torre",2001,NA,NA,NA
"Oakland Athletics","2,133,277","26,337",27.3,28,98,97,0,1,11,"$33,810,750","3:03","Howe",2001,NA,NA,NA
"Philadelphia Phillies","1,782,054","22,001",26.9,28.9,97,97,1,1,10,"$41,663,833","2:55","Bowa",2001,NA,NA,NA
"Pittsburgh Pirates","2,464,870","30,430",27.8,28.1,103,104,0,1,11,"$57,760,833","2:48","McClendon",2001,NA,NA,NA
"San Diego Padres","2,378,128","29,360",28.9,28.7,91,91,3,2,8,"$39,182,833","2:59","Bochy",2001,NA,NA,NA
"Seattle Mariners","3,507,326","43,300",31.4,30.8,94,92,2,8,19,"$74,720,834","3:03","Piniella",2001,NA,NA,NA
"San Francisco Giants","3,311,958","40,888",31.5,29.2,93,91,0,3,13,"$63,280,167","3:06","Baker",2001,NA,NA,NA
"St. Louis Cardinals","3,109,578","37,922",28.8,29.3,100,99,0,2,13,"$79,373,333","2:57","La Russa",2001,NA,NA,NA
"Tampa Bay Devil Rays","1,298,365","16,029",28.1,26.9,97,99,1,1,6,"$56,980,000","2:52","Rothschild and McRae",2001,NA,NA,NA
"Texas Rangers","2,831,021","34,525",29.9,28.5,104,104,1,2,15,"$88,633,500","3:04","Oates and Narron",2001,NA,NA,NA
"Toronto Blue Jays","1,915,438","23,359",28.2,28.5,102,102,1,1,13,"$76,895,999","2:59","Martinez",2001,NA,NA,NA
"Anaheim Angels","2,305,547","28,464",28.3,30.2,100,99,0,1,11,"$61,721,667","2:59","Scioscia",2002,NA,NA,NA
"Arizona Diamondbacks","3,198,977","39,494",31.7,31.7,111,110,1,6,14,"$102,819,999","2:59","Brenly",2002,NA,NA,NA
"Atlanta Braves","2,603,484","32,142",30.6,31.1,102,101,4,4,15,"$93,470,367","2:58","Cox",2002,NA,NA,NA
"Baltimore Orioles","2,682,439","33,117",29.2,27.8,95,96,0,1,8,"$64,493,487","2:55","Hargrove",2002,NA,NA,NA
"Boston Red Sox","2,650,862","32,727",29.9,31.1,103,102,2,7,17,"$108,366,060","2:53","Little",2002,NA,NA,NA
"Chicago Cubs","2,693,096","33,248",30.2,27.6,98,98,1,1,12,"$75,690,833","2:57","Baylor, Lachemann and Kimm",2002,NA,NA,NA
"Chicago White Sox","1,676,911","20,703",28.9,25.8,101,101,1,2,13,"$57,052,833","2:49","Manuel",2002,NA,NA,NA
"Cincinnati Reds","1,855,787","22,911",27.7,28.7,104,104,2,1,10,"$45,050,390","2:58","Boone",2002,NA,NA,NA
"Cleveland Indians","2,616,940","32,308",30.4,28.1,97,98,2,1,20,"$78,909,449","2:53","Manuel and Skinner",2002,NA,NA,NA
"Colorado Rockies","2,737,838","33,800",28.7,28.5,115,116,2,1,9,"$56,851,043","2:59","Bell and Hurdle",2002,NA,NA,NA
"Detroit Tigers","1,503,623","18,795",28.1,28.3,92,95,0,1,10,"$55,048,000","2:45","Garner and Pujols",2002,NA,NA,NA
"Florida Marlins","813,118","10,038",28.4,26.1,97,97,1,2,13,"$41,979,917","3:00","Torborg",2002,NA,NA,NA
"Houston Astros","2,517,357","31,078",30.1,27.3,106,105,3,1,11,"$63,448,417","2:55","Williams",2002,NA,NA,NA
"Kansas City Royals","1,323,036","16,334",29.3,27.8,110,111,0,1,7,"$47,257,000","2:54","Muser, Mizerock and Peña",2002,NA,NA,NA
"Los Angeles Dodgers","3,131,255","38,657",30,31,92,92,1,3,15,"$94,850,953","2:55","Tracy",2002,NA,NA,NA
"Milwaukee Brewers","1,969,153","24,311",29.9,26.8,98,99,0,2,8,"$50,287,833","2:51","Lopes and Royster",2002,NA,NA,NA
"Minnesota Twins","1,924,473","23,759",26.6,28.8,100,100,1,3,11,"$40,425,000","2:54","Gardenhire",2002,NA,NA,NA
"Montreal Expos","812,045","10,025",28.2,27.7,103,103,1,2,9,"$38,670,500","2:55","Robinson",2002,NA,NA,NA
"New York Mets","2,804,838","34,628",30.6,30.3,96,97,2,1,11,"$94,633,593","3:01","Valentine",2002,NA,NA,NA
"New York Yankees","3,465,807","43,323",30,33.1,100,99,3,6,16,"$125,928,583","3:09","Torre",2002,NA,NA,NA
"Oakland Athletics","2,169,811","26,788",28.6,27.4,98,97,0,2,10,"$40,004,167","3:01","Howe",2002,NA,NA,NA
"Philadelphia Phillies","1,618,467","20,231",27.5,28.5,94,94,1,3,13,"$57,954,999","3:01","Bowa",2002,NA,NA,NA
"Pittsburgh Pirates","1,784,988","22,312",27.9,28.1,102,103,0,1,6,"$42,323,599","2:49","McClendon",2002,NA,NA,NA
"San Diego Padres","2,220,601","27,415",29.1,27.8,90,91,1,1,7,"$41,425,000","2:53","Bochy",2002,NA,NA,NA
"Seattle Mariners","3,542,938","43,740",31.2,30.2,97,95,2,3,20,"$80,282,668","2:58","Piniella",2002,NA,NA,NA
"San Francisco Giants","3,253,203","40,163",32.1,29.2,95,94,0,3,12,"$78,299,835","3:02","Baker",2002,NA,NA,NA
"St. Louis Cardinals","3,011,756","37,182",28.9,30.2,98,97,1,1,14,"$74,660,875","2:56","La Russa",2002,NA,NA,NA
