"...1","Batting Against...2","Batting Against...3","Batting Against...4","Batting Against...5","Batting Against...6","Pitching Ratios...7","Pitching Ratios...8","Pitching Ratios...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Win Probability...14","Win Probability...15","Win Probability...16","Year","Batted Ball...14","Batted Ball...15","Win Probability...17","Win Probability...18"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2001,NA,NA,NA,NA
"Anaheim Angels",".263",".331",".412",".744",".288","2.7%","15.3%","8.5%","24.5%","41.8%","27.3%","0.74","4.0","2.5%","54.6",2001,NA,NA,NA,NA
"Arizona Diamondbacks",".247",".311",".404",".715",".288","3.2%","21.3%","7.6%","23.2%","38.3%","29.8%","0.65","14.0","15.8%","119.2",2001,NA,NA,NA,NA
"Atlanta Braves",".250",".314",".384",".698",".287","2.5%","18.6%","8.2%","23.0%","42.5%","27.8%","0.77","12.6","12.4%","125.8",2001,NA,NA,NA,NA
"Baltimore Orioles",".269",".337",".439",".777",".291","3.1%","15.0%","8.4%","24.4%","39.8%","28.3%","0.68","-7.5","-0.4%","-66.5",2001,NA,NA,NA,NA
"Boston Red Sox",".254",".329",".393",".722",".302","2.3%","20.1%","8.7%","24.1%","42.0%","26.0%","0.75","3.8","2.8%","47.2",2001,NA,NA,NA,NA
"Chicago Cubs",".249",".321",".398",".719",".299","2.7%","21.8%","8.9%","25.2%","40.8%","26.6%","0.72","4.1","1.3%","40.8",2001,NA,NA,NA,NA
"Chicago White Sox",".266",".334",".427",".761",".288","2.9%","14.9%","8.1%","24.2%","40.1%","27.6%","0.70","0.0","-1.9%","1.9",2001,NA,NA,NA,NA
"Cincinnati Reds",".279",".341",".455",".796",".302","3.1%","14.9%","8.1%","25.0%","40.8%","26.6%","0.72","-7.6","-1.2%","-69.2",2001,NA,NA,NA,NA
"Cleveland Indians",".270",".341",".417",".757",".319","2.3%","19.3%","9.1%","24.5%","41.9%","26.6%","0.75","1.2","1.3%","-29.9",2001,NA,NA,NA,NA
"Colorado Rockies",".275",".350",".480",".830",".299","3.8%","16.8%","9.5%","26.3%","38.1%","28.2%","0.64","-12.5","-4.6%","-80.2",2001,NA,NA,NA,NA
"Detroit Tigers",".289",".357",".461",".818",".311","2.8%","13.5%","8.7%","26.0%","40.2%","27.3%","0.69","-11.1","-2.7%","-119.0",2001,NA,NA,NA,NA
