"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Year"
"Kansas City Royals","","6176","-114","6","5","50","-4","-58","-5.2","230","172","16.8",".497",".500","11.6","5.2","122","$31,970,000",2001
"Los Angeles Dodgers","","6169","-6","-6","1","-33","63","19","0.0","180","198","17.4",".501",".501","21.4","-3.8","231","$101,272,620",2001
"Milwaukee Brewers","","6148","-64","-8","1","-7","59","-19","-3.5","181","162","14.0",".499",".500","15.5","-1.2","169","$43,670,833",2001
"Minnesota Twins","","6185","-2","8","5","30","-7","34","4.0","230","265","25.9",".502",".503","22.8","3.1","235","$23,895,000",2001
"Montreal Expos","","6026","-145","-6","-7","-46","54","-151","-16.8","178","27","0.4",".493",".497","5.7","-5.3","73","$34,934,500",2001
"New York Mets","","6156","-91","-15","0","-1","59","-48","-6.6","180","132","10.8",".498",".500","11.7","-0.9","133","$92,444,428",2001
"New York Yankees","","6233","10","6","3","-57","-5","-43","-3.7","230","188","18.3",".497",".500","23.7","-5.4","245","$110,181,143",2001
"Oakland Athletics","","6385","54","0","1","19","-8","66","6.9","236","302","29.4",".504",".506","27.2","1.8","283","$33,810,750",2001
"Philadelphia Phillies","","6219","-50","9","1","42","61","62","4.6","180","242","22.0",".503",".503","18.6","3.8","201","$41,663,833",2001
"Pittsburgh Pirates","","6027","-157","-14","3","-3","55","-116","-13.4","177","62","3.7",".495",".499","4.7","-1.0","64","$49,535,833",2001
"San Diego Padres","","6278","6","10","-3","-46","59","25","0.7","184","209","18.5",".501",".502","23.9","-5.3","255","$39,182,833",2001
"Seattle Mariners","","6474","155","18","7","104","-7","276","27.6","238","515","50.3",".515",".514","39.9","10.2","410","$72,745,834",2001
"San Francisco Giants","","6408","92","-18","1","6","63","144","12.0","186","330","30.0",".506",".506","30.3","-0.1","324","$61,105,167",2001
"St. Louis Cardinals","","6177","-6","8","-3","61","60","120","10.2","180","300","27.7",".505",".505","22.4","5.3","239","$74,013,333",2001
"Tampa Bay Devil Rays","","6104","-80","-2","-3","-28","-4","-116","-10.8","228","112","11.0",".493",".496","13.5","-2.4","140","$41,980,000",2001
"Texas Rangers","","6388","79","11","-3","-47","-4","35","3.8","236","271","26.3",".502",".505","30.7","-4.2","318","$87,213,500",2001
"Toronto Blue Jays","","6284","-44","1","4","-4","-4","-46","-3.9","231","185","18.1",".497",".499","18.3","0.0","189","$73,695,999",2001
"","0","186976","-742","0","1","68","869","193","-2.5","6147","6341","588.3",".500",".502","590.8","-0.1","6271","$1,860,563,273",2001
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2001
"Anaheim Angels","","6327","42","3","9","98","-8","144","14.6","234","378","36.6",".508",".508","27.1","9.3","280","$61,521,667",2002
"Arizona Diamondbacks","","6318","-47","-8","3","-4","60","3","-1.0","184","187","17.2",".500",".501","18.0","-0.7","191","$102,819,999",2002
"Atlanta Braves","","6224","-62","-5","-5","77","55","59","4.7","182","241","22.6",".503",".503","15.1","7.8","165","$90,960,367",2002
"Baltimore Orioles","","6096","-69","-1","-1","43","-5","-34","-3.0","227","194","18.4",".498",".500","14.4","4.1","151","$47,704,697",2002
"Boston Red Sox","","6332","50","8","-2","62","-5","113","11.2","234","347","33.3",".506",".506","27.5","6.0","285","$107,311,060",2002
"Chicago Cubs","","6242","-50","4","-1","-55","59","-42","-5.8","182","140","12.2",".498",".500","18.3","-6.0","195","$75,487,333",2002
"Chicago White Sox","","6208","53","-3","-3","13","-4","55","5.7","231","287","27.5",".503",".503","26.6","1.1","274","$57,052,833",2002
"Cincinnati Reds","","6254","-86","-2","0","1","52","-36","-5.0","184","149","13.2",".498",".500","13.5","-0.2","148","$44,269,890",2002
"Cleveland Indians","","6099","-18","-6","0","-49","-6","-78","-7.7","227","149","13.7",".495",".500","18.8","-5.1","198","$76,903,949",2002
"Colorado Rockies","","6165","-103","11","-3","34","52","-10","-2.6","182","172","15.3",".499",".500","12.1","3.3","138","$55,201,043",2002
"Detroit Tigers","","5920","-110","-6","-4","-41","-4","-164","-16.0","221","57","4.8",".490",".495","9.1","-4.2","98","$54,830,500",2002
"Florida Marlins","","6263","-36","4","4","-13","53","13","0.0","183","196","18.1",".501",".501","19.7","-1.5","209","$41,777,917",2002
"Houston Astros","","6252","-55","-5","-5","-44","58","-51","-6.8","181","129","11.0",".498",".499","16.0","-4.9","173","$62,698,417",2002
"Kansas City Royals","","6206","-133","5","3","-21","-5","-149","-14.7","231","82","7.1",".491",".496","9.4","-2.2","102","$47,257,000",2002
"Los Angeles Dodgers","","6146","-12","-2","-1","44","57","87","7.8","180","267","25.5",".504",".503","21.2","4.4","223","$85,228,453",2002
"Milwaukee Brewers","","6083","-96","-19","-3","-14","53","-79","-9.5","179","100","8.1",".496",".499","9.9","-1.7","114","$46,532,833",2002
"Minnesota Twins","","6196","20","-12","5","21","-6","28","3.1","231","259","24.8",".502",".503","22.9","1.8","238","$40,200,000",2002
"Montreal Expos","","6250","-47","1","-1","-13","62","3","-1.2","180","183","16.5",".500",".502","18.3","-1.5","196","$38,245,500",2002
"New York Mets","","6150","-52","2","-3","-23","52","-24","-3.8","181","158","14.1",".499",".499","16.8","-2.7","180","$91,550,260",2002
"New York Yankees","","6377","116","10","-3","-56","-6","60","6.0","231","291","27.8",".503",".506","33.5","-5.8","347","$125,498,583",2002
"Oakland Athletics","","6291","45","6","-1","-6","-10","34","3.6","233","267","25.6",".502",".502","26.5","-1.3","273","$39,781,167",2002
"Philadelphia Phillies","","6323","34","-1","2","24","56","115","10.6","183","299","28.6",".505",".504","26.6","2.5","275","$55,004,999",2002
"Pittsburgh Pirates","","6049","-137","-9","7","11","52","-76","-9.4","178","102","8.3",".496",".498","7.5","0.8","91","$38,321,099",2002
"San Diego Padres","","6178","-36","-9","2","-71","53","-62","-7.8","182","120","10.2",".497",".499","18.0","-7.9","191","$41,190,000",2002
"Seattle Mariners","","6362","63","0","7","5","-8","68","7.0","235","303","29.1",".504",".503","28.9","0.1","298","$80,282,668",2002
"San Francisco Giants","","6298","88","3","-4","38","60","185","17.2","182","367","35.2",".508",".507","31.5","3.8","328","$78,299,835",2002
"St. Louis Cardinals","","6246","12","3","1","49","57","122","11.2","181","303","29.1",".505",".504","24.4","4.7","254","$74,260,875",2002
"Tampa Bay Devil Rays","","6198","-87","6","4","-8","-2","-87","-8.4","230","143","13.3",".494",".498","14.4","-0.7","150","$33,878,000",2002
"Texas Rangers","","6332","30","9","-7","-22","-8","2","0.4","236","238","22.6",".500",".503","25.1","-2.6","260","$103,359,455",2002
"Toronto Blue Jays","","6230","-32","13","1","-7","-3","-28","-2.5","230","203","19.2",".498",".501","20.2","-0.7","210","$73,064,333",2002
"","0","186615","-715","1","1","73","813","171","-2.1","6136","6310","588.8",".500",".501","590.9","0.1","6234","$1,970,494,732",2002
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2002
"Anaheim Angels","","6119","-39","3","2","22","-9","-21","-1.6","229","208","20.0",".499",".501","17.9","1.9","186","$78,729,167",2003
"Arizona Diamondbacks","","6261","-122","-4","3","-27","57","-93","-11.1","184","90","6.8",".496",".499","9.9","-2.8","118","$80,657,000",2003
"Atlanta Braves","","6378","93","10","0","35","62","199","18.4","183","383","36.3",".509",".508","33.0","3.6","348","$103,243,667",2003
"Baltimore Orioles","","6241","-55","3","1","-1","-5","-58","-5.2","231","173","16.7",".496",".498","16.8","-0.1","174","$53,547,500",2003
