"Cluster","ab.rOBA","ab.Rbat+","ab.BAbip","ab.ISO","ab.HR%","ab.SO%","ab.BB%","ab.LD%","ab.GB%","ab.FB%","ab.GB/FB","ab.Pull%","ab.Cent%","ab.Oppo%","ab.WPA","ab.cWPA","ab.RE24","ab.RS%","ab.SB%","ab.XBT%","Year","ap.BA","ap.OBP","ap.SLG","ap.OPS","ap.BAbip","ap.HR%","ap.SO%","ap.BB%","ap.LD%","ap.GB%","ap.FB%","ap.GB/FB","ap.WPA","ap.cWPA","ap.RE24","tf.#Fld","tf.RA/G","tf.DefEff","tf.G","tf.GS","tf.CG","tf.Inn","tf.Ch","tf.PO","tf.A","tf.E","tf.DP","tf.Fld%","tf.Rtot","tf.Rtot/yr","md.BatAge","md.PAge","md.BPF","md.PPF","md.#HOF","md.#A-S","md.#a-tA-S","md.Est. Payroll","pvb.PA","pvb.Rbat","pvb.Rbaser","pvb.Rdp","pvb.Rfield","pvb.Rpos","pvb.RAA","pvb.WAA","pvb.Rrep","pvb.RAR","pvb.WAR","pvb.waaWL%","pvb.162WL%","pvb.oWAR","pvb.dWAR","pvb.oRAR","pvb.Salary","pvp.IP","pvp.G","pvp.GS","pvp.R","pvp.RA9","pvp.RA9opp","pvp.RA9def","pvp.RA9role","pvp.PPFp","pvp.RA9avg","pvp.RAA","pvp.WAA","pvp.gmLI","pvp.WAAadj","pvp.WAR","pvp.RAR","pvp.waaWL%","pvp.162WL%","pvp.Salary","sbm.R/G","sbm.Outs","sbm.RC","sbm.RC/G","sbm.AIR","sbm.BAbip","sbm.BA","sbm.lgBA","sbm.OBP","sbm.lgOBP","sbm.SLG","sbm.lgSLG","sbm.OPS","sbm.lgOPS","sbm.OPS+","sbm.OWn%","sbm.BtRuns","sbm.BtWins","sbm.TotA","sbm.SecA","sbm.ISO","sbm.PwrSpd","sb.#Bat","sb.BatAge","sb.R/G","sb.G","sb.PA","sb.AB","sb.R","sb.H","sb.2B","sb.3B","sb.HR","sb.RBI","sb.SB","sb.CS","sb.BB","sb.SO","sb.BA","sb.OBP","sb.SLG","sb.OPS","sb.OPS+","sb.TB","sb.GDP","sb.HBP","sb.SH","sb.SF","sb.IBB","sb.LOB","sp.#P","sp.PAge","sp.RA/G","sp.W","sp.L","sp.W-L%","sp.ERA","sp.G","sp.GS","sp.GF","sp.CG","sp.tSho","sp.cSho","sp.SV","sp.IP","sp.H","sp.R","sp.ER","sp.HR","sp.BB","sp.IBB","sp.SO","sp.HBP","sp.BK","sp.WP","sp.BF","sp.ERA+","sp.FIP","sp.WHIP","sp.H9","sp.HR9","sp.BB9","sp.SO9","sp.SO/W","sp.LOB","Team.Success"
"1",0.327066666666667,99.6,0.291633333333333,0.172766666666667,0.0345666666666667,0.2347,0.0915666666666667,0.2835,0.428666666666667,0.207033333333333,0.765333333333333,0.295,0.533866666666667,0.171233333333333,-1.22666666666667,-0.0082,-4.00666666666667,0.311,0.741,0.425,2020,0.2443,0.321366666666667,0.417233333333333,0.738533333333333,0.2918,0.0346,0.234833333333333,0.0915666666666667,0.283233333333333,0.428733333333333,0.207033333333333,0.765333333333333,1.22333333333333,0.0076,4,44.8666666666667,4.646,0.692933333333333,59.8666666666667,538.8,399.233333333333,4640.6,2090.43333333333,1546.86666666667,508.633333333333,34.9333333333333,47.7333333333333,0.9834,1.83333333333333,0.433333333333333,28.0233333333333,28.3133333333333,100.033333333333,99.9666666666667,0,0,11.8,128118327.766667,2216.86666666667,-0.0666666666666667,0.0333333333333335,0,1.13333333333333,0.0333333333333333,1.23333333333333,1.92438657601694e-16,75.3,76.4333333333333,7.30666666666667,0.500033333333333,0.5006,7.28,-0.0100000000000001,75.3,112962409.733333,515.396666666667,265.3,59.8666666666667,278.133333333333,4.859,4.86866666666667,0.0516666666666667,-0.000666666666666667,100.033333333333,4.897,-0.0333333333333343,0.72,1.11633333333333,-0.726666666666667,5.07,54.4333333333333,0.502733333333333,0.500633333333333,49670580.1,4.64466666666667,1554.93333333333,276.633333333333,4.59666666666667,100.333333333333,0.291633333333333,0.244233333333333,0.2446,0.321633333333333,0.321933333333333,0.4169,0.417666666666667,0.7385,0.7394,99.8333333333333,0.493366666666667,0.330000000000003,-0.0500000000000001,0.7036,0.2863,0.172766666666667,40.7966666666667,45.3333333333333,27.9966666666667,4.64466666666667,59.8666666666667,2216.86666666667,1967.66666666667,278.133333333333,481.3,94.1,8.03333333333333,76.8,265.933333333333,29.5,9.73333333333333,203.066666666667,519.533333333333,0.244233333333333,0.321633333333333,0.4169,0.7385,99.8333333333333,821.866666666667,41.2333333333333,27.3666666666667,4.2,13.4,6.73333333333333,399.133333333333,25.7,28.3133333333333,4.646,29.9333333333333,29.9333333333333,0.4999,4.44766666666667,59.8666666666667,59.8666666666667,58.9,0.966666666666667,3.3,0.4,14.0666666666667,515.396666666667,481.3,278.133333333333,254.6,76.8,203.066666666667,6.73333333333333,519.533333333333,27.3666666666667,2.1,22.5,2216.86666666667,103.666666666667,4.456,1.3279,8.41,1.34333333333333,3.55,9.07,2.621,399.133333333333,1.63333333333333
"2",0.326072072072072,99.8513513513514,0.29418018018018,0.157788288288288,0.0293243243243243,0.205648648648649,0.0847387387387387,0.230945945945946,0.431148648648649,0.249878378378378,0.784369369369369,0.287058558558559,0.534157657657658,0.178855855855856,0.282432432432432,0.00144144144144144,17.4342342342342,0.301036036036036,0.74,0.40954954954955,2016.19369369369,0.242004504504505,0.307743243243243,0.388148648648649,0.695842342342342,0.289527027027027,0.0271261261261261,0.220292792792793,0.0787927927927928,0.229153153153153,0.438905405405405,0.244288288288288,0.811261261261261,7.67837837837838,0.0474369369369369,63.4022522522523,48.7387387387387,4.01477477477478,0.698689189189189,161.995495495496,1457.95945945946,1088.45495495495,13043.1081081081,5965.33783783784,4347.7027027027,1528.22522522522,89.4099099099099,134.198198198198,0.985027027027027,17.6756756756757,1.63963963963964,28.6081081081081,28.840990990991,98.972972972973,98.3603603603604,0.279279279279279,3.08558558558559,13.8108108108108,136139463.824324,6160.4954954955,-0.31531531531535,0.932432432432433,0.0990990990990988,15.5765765765766,22.1756756756757,38.6486486486486,3.67477477477477,202.689189189189,241.405405405405,23.2801801801802,0.501923423423423,0.502869369369369,21.7968468468468,1.54369369369369,225.693693693694,129827131.765766,1448.98513513514,663.621621621622,161.995495495496,650.333333333333,4.03972972972973,4.45945945945946,0.157432432432432,0.0040990990990991,98.6004504504505,4.26851351351351,34.8468468468469,4.56036036036036,1.16432432432432,-0.961261261261261,17.2432432432432,169.828828828829,0.507022522522523,0.502481981981982,60901391.045045,4.48887387387387,4340.01801801802,751.391891891892,4.62612612612613,98.463963963964,0.29418018018018,0.251792792792793,0.253243243243243,0.321436936936937,0.32127027027027,0.409545045045045,0.41027027027027,0.730995495495495,0.731518018018018,99.963963963964,0.50590990990991,1.58423423423425,-0.0225225225225216,0.68727027027027,0.263977477477477,0.157788288288288,117.609459459459,49.1081081081081,28.6013513513514,4.48887387387387,161.995495495496,6160.4954954955,5496.67117117117,727.162162162162,1384.56306306306,274.662162162162,25.8468468468468,180.256756756757,693.400900900901,92.9189189189189,31.4369369369369,522.288288288288,1266.12162162162,0.251792792792793,0.321436936936937,0.409545045045045,0.730995495495495,99.963963963964,2251.68918918919,118.882882882883,62.3063063063063,35.2477477477477,42.3423423423423,32.1891891891892,1114.92342342342,26.7927927927928,28.840990990991,4.01477477477478,88.954954954955,73.027027027027,0.549171171171171,3.71391891891892,161.995495495496,161.995495495496,158.54954954955,3.44594594594595,12.7252252252252,1.74324324324324,44.7432432432432,1448.98513513514,1323.38288288288,650.333333333333,597.828828828829,164.396396396396,478.675675675676,28.6261261261261,1337.17117117117,57.0630630630631,4.71621621621621,53.1711711711712,6075.18018018018,109.63963963964,3.86990990990991,1.24349099099099,8.21846846846847,1.02207207207207,2.97342342342342,8.30765765765766,2.8245045045045,1083.54504504505,1.6981981981982
"3",0.348182692307692,102.855769230769,0.302331730769231,0.170475961538462,0.0310144230769231,0.172649038461538,0.0894663461538461,0.213879807692308,0.419149038461538,0.277802884615385,0.751586538461538,0.2825,0.531673076923077,0.185831730769231,3.79326923076923,0.0231875,54.6956730769231,0.318461538461538,0.711634615384615,0.406634615384615,2006.38942307692,0.261961538461538,0.329375,0.419168269230769,0.748548076923077,0.297644230769231,0.0279759615384615,0.180076923076923,0.0838990384615385,0.21125,0.425841346153846,0.272461538461538,0.773076923076923,3.32259615384615,0.0266057692307692,19.8653846153846,44.4038461538461,4.64442307692308,0.690899038461538,161.980769230769,1457.82692307692,1107.29326923077,13015.7307692308,6063.41346153846,4338.6875,1625.78846153846,98.9375,150.346153846154,0.983663461538462,6.42788461538462,0.610576923076923,29.2706730769231,29.1677884615385,101.658653846154,101.182692307692,1.09615384615385,3.09134615384615,13.9423076923077,94718678.2884616,6306.23076923077,21.4903846153846,1.12019230769231,-0.120192307692308,5.52884615384615,23.2259615384615,51.2836538461539,4.81442307692308,210.461538461538,261.870192307692,24.9730769230769,0.502485576923077,0.503346153846154,24.5596153846154,0.506730769230769,256.269230769231,91964594.7115384,1445.96682692308,616.360576923077,161.980769230769,752.360576923077,4.68346153846154,4.80067307692308,0.0431730769230769,0.000528846153846154,101.139423076923,4.81043269230769,16.0721153846154,2.50769230769231,1.16408653846154,-0.880769230769231,15.5211538461538,166.480769230769,0.504245192307692,0.502067307692308,40398685.3413461,5.08,4335.80769230769,868.644230769231,5.3625,109.245192307692,0.302331730769231,0.270384615384615,0.269048076923077,0.340990384615385,0.338711538461538,0.440850961538462,0.432600961538462,0.781846153846154,0.771298076923077,102.701923076923,0.531942307692308,21.80625,1.85480769230769,0.750052884615385,0.281596153846154,0.170475961538462,121.760576923077,44.7980769230769,29.2572115384615,5.08,161.980769230769,6306.24038461538,5585.5,822.817307692308,1510.63461538462,305.326923076923,30.5384615384615,195.293269230769,785.456730769231,93.0721153846154,36.7548076923077,564.259615384615,1088.16346153846,0.270384615384615,0.340990384615385,0.440850961538462,0.781846153846154,102.701923076923,2462.91826923077,127.855769230769,59.4278846153846,48.0625,48.2692307692308,44.5528846153846,1166.25480769231,23.125,29.1677884615385,4.64442307692308,88.0961538461538,73.8605769230769,0.543947115384615,4.31947115384615,161.980769230769,161.980769230769,156.375,5.60576923076923,8.86538461538462,2.24038461538462,42.125,1445.96682692308,1456.27403846154,752.360576923077,693.913461538462,174.153846153846,522.860576923077,38.6923076923077,1120.34134615385,58.0961538461538,5.07211538461538,50.6538461538462,6230.17788461538,104.206730769231,4.31793269230769,1.36874519230769,9.06153846153846,1.08028846153846,3.25384615384615,6.97163461538462,2.17673076923077,1139.57211538462,1.65384615384615
"4",0.320203448275862,90.3241379310345,0.294879310344828,0.146810344827586,0.0259068965517241,0.201248275862069,0.0794862068965517,0.221758620689655,0.436941379310345,0.251820689655172,0.808448275862069,0.276493103448276,0.538386206896552,0.18511724137931,-6.46379310344828,-0.0169586206896552,-51.9120689655172,0.293,0.711379310344828,0.401137931034483,2011.98620689655,0.264731034482759,0.335120689655172,0.429879310344828,0.765027586206897,0.3016,0.0297620689655172,0.184968965517241,0.0880413793103448,0.224875862068966,0.4265,0.259741379310345,0.772586206896552,-4.73689655172414,-0.00969655172413793,-63.4651724137931,49.9758620689655,4.90096551724138,0.685851724137931,161.920689655172,1457.28620689655,1117.90344827586,12934.2386206897,6003.38275862069,4311.41379310345,1588.14827586207,103.820689655172,147.879310344828,0.982713793103448,-15.7758620689655,-1.44827586206896,28.2789655172414,28.0962068965517,99.7034482758621,100.486206896552,0.341379310344828,1.50689655172414,10.7586206896552,84049868.2310346,6129.55517241379,-67.8655172413793,-1.52413793103448,0.0206896551724137,-14.3275862068965,24.8206896551724,-59.0620689655172,-6.46172413793103,201.413793103448,142.548275862069,12.9734482758621,0.496662068965517,0.49908275862069,14.6055172413793,-1.5551724137931,156.779310344828,79656292.9931034,1436.91586206897,653.751724137931,161.920689655172,793.579310344827,4.97124137931034,4.63451724137931,-0.08,-0.00641379310344828,100.577931034483,4.74503448275862,-38.2103448275862,-2.89448275862069,1.12310344827586,-1.03103448275862,9.61551724137931,99.9655172413793,0.495551724137931,0.500275862068966,35174498.4413793,4.22593103448276,4360.80689655172,714.796551724138,4.38103448275862,103.134482758621,0.294879310344828,0.251251724137931,0.259651724137931,0.316434482758621,0.328668965517241,0.398041379310345,0.419972413793103,0.714462068965517,0.748620689655172,91.1137931034483,0.462841379310345,-71.2372413793103,-7.09103448275862,0.66108275862069,0.245696551724138,0.146810344827586,113.105517241379,50.2793103448276,28.2703448275862,4.22593103448276,161.920689655172,6129.56551724138,5501.29655172414,684.231034482759,1382.6724137931,274.544827586207,29.0689655172414,158.348275862069,650.993103448276,93.2310344827586,36.8137931034483,487.265517241379,1231.9275862069,0.251251724137931,0.316434482758621,0.398041379310345,0.714462068965517,91.1137931034483,2190.4,121.896551724138,56.3551724137931,43.3689655172414,40.1034482758621,30.9275862068965,1104.3724137931,27.4344827586207,28.0962068965517,4.90096551724138,69.751724137931,92.1551724137931,0.430834482758621,4.56820689655172,161.920689655172,161.920689655172,158.479310344828,3.44137931034484,7.68620689655172,1.28620689655172,36.8344827586207,1436.91586206897,1468.49655172414,793.579310344827,729.172413793103,185.651724137931,550.344827586207,37.8586206896551,1154.45862068966,61.3241379310345,5.59655172413793,57.0793103448276,6249.41379310345,93.8931034482759,4.46603448275862,1.40499655172414,9.19793103448276,1.16241379310345,3.44827586206897,7.23137931034483,2.12162068965517,1147.53103448276,1.01034482758621
